"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,24826.95446090275,21267.829182581692,16773.013965924256,15603.84328269226,14144.572618570002,12276.358664543608,8949.245130744499,8423.279556299089,7403.136902900576
[8.0-8.5),,,,,,,,,,28011.144517596058,22667.707207644013,19556.80128277926,15533.130735580477,14286.520311337814,11474.460265989077,9542.919104534685,8003.820556998552,7678.148948423752,6212.736688826792
[7.5-8.0),,,,,,,,,,23319.512809095846,19444.51407019796,16900.79885957806,13865.01253987902,11144.605495627926,9583.022247098701,8383.588572736038,7153.054937669812,6270.539681621109,4780.46266086788
[7.0-7.5),,,,,,,,,,20399.132024488525,16089.650506736858,13951.480462204136,11639.036684718842,9517.21754550602,8034.75766777519,6816.69599069578,5936.214262666692,5347.567101882074,3913.8175777076876
[6.5-7.0),,,,,,,,,,17252.10094155883,14468.920249672945,11789.7873699149,10054.726696724108,7868.944145343949,7254.926475318054,5687.371124617196,5051.658391460703,4133.263823791451,3426.311386367897
[6.0-6.5),,,,,,,,,18596.322148357936,14257.57250723479,12097.850484376027,9998.617282488587,7856.209889775764,7002.343191485765,5936.062195875621,4913.381664749691,3784.9888091439666,3341.6632619495704,2877.2253280574328
[5.5-6.0),,,,,,,,,15505.867011816808,12889.237861934971,9906.087511566213,7892.576413569815,6455.552655794886,5409.95188196722,4534.228997459857,3852.2362599792505,2907.0502273981824,2618.523773849215,2244.8293534166214
[5.0-5.5),,,,,,,,16383.016343996065,12784.21287234709,10267.311073824763,8063.993828992365,6314.0071506706345,5325.408168841168,4262.681575502198,3555.9064331174823,2825.439350917815,2300.7700085683623,2039.6296543702958,1652.1218083513795
[4.5-5.0),,,,,,,,13427.839663062408,10061.922563554625,7591.101961739776,6289.370451852385,5101.763624527077,4029.685766339057,3334.6928615327893,2818.796017150916,2191.4807790612795,1900.620033493836,1509.2393219679561,1235.8859789914648
[4.0-4.5),,,,,,,13949.474792370445,10504.133887077449,8377.507604280028,6097.390255308576,4950.948908859926,3977.3245996053683,3117.238293104931,2521.2275573779602,2165.3392144435434,1668.5001457099706,1389.69223732816,1114.8015926514063,1047.5187578623008
[3.5-4.0),,,,,,14141.049591307756,10679.37228565717,8046.330962198799,5865.194690911492,4812.7269676636515,3754.743340111104,2939.518770444982,2307.3265859253274,1931.7598396214244,1472.3380784396443,1254.3190472672475,1015.1054019613035,811.0471278073138,724.3792128338857
[3.0-3.5),,,,,,10739.507530095178,8167.1048189268,6015.952293988634,4469.203946921037,3389.723379254054,2581.5523308502025,1979.7025979802647,1635.8376144480926,1316.6822878362177,1035.9665830783536,864.179375401003,719.5131056081566,552.4413891380143,435.39128536536055
[2.5-3.0),,,,,,7739.435006546029,5712.009064209589,4275.019247599813,3295.6885713007628,2324.7170312046014,1806.3192294793623,1392.2628666259461,1092.9098971927988,878.2365134211716,665.8093476128853,547.7848774768995,455.8843722093879,343.9979148875631,302.1010215036298
[2.0-2.5),,,,,7088.242277147197,5246.168594910541,3837.070542778878,2752.354672681669,2084.092791026818,1606.2585331713346,1163.599528848517,874.8942234947875,658.30952579837,526.9601401510342,410.2751407673114,332.94186163331574,268.45028052401665,203.24273293057186,174.34391106201673
[1.5-2.0),,,,5426.319262618173,4431.803331219859,3237.0540904141258,2283.361836726731,1682.241389492485,1261.5832038438775,906.5119886155638,658.4850685123217,488.09608317866935,384.93244108902445,295.3567718843389,237.08203780102926,184.26727089263443,141.82287856069144,117.22767096019544,94.32637991026874
[1.0-1.5),,,2892.2965882727062,2911.023011939805,2345.426380100765,1750.7614663266336,1228.9005105176293,862.0744477201729,618.4917457946383,446.888198829603,324.81093462714847,243.78367674107133,189.6261163734502,140.59494369296524,106.48169502265988,85.3729052285837,66.95648716421798,52.90760796411365,41.99700796490291
[0.5-1.0),,763.7122999515312,1079.6161550415661,1103.7494403392423,913.3282696935782,659.5270519973684,462.12405540434736,329.27996792512204,225.77193740592483,164.96033012501888,116.87969392635024,86.4698892881051,64.90550014531001,48.469145681413735,36.55635683940652,28.827225508361227,22.411097711457167,17.29847130337491,13.605240234308178
[0.0-0.5),22.097390295748422,89.5686113955805,125.93748140793208,134.55502520742496,116.03615681642485,84.73451006762649,59.72803685111089,40.31563933189129,28.183672244960725,19.721298816835702,13.70228852648777,9.911795229143822,7.412661910484366,5.495827876585471,4.1509938689568795,3.183293822494493,2.467225826356263,1.89278348091928,1.4867894763158003
