"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,405526.4365903168,579331.1611282735,432683.9242850479,311592.26949168043,200868.31036207295,341313.67712199455,183705.4520303562,174017.71515618038,155607.01318333088
[8.0-8.5),,,,,,,,,,557877.5683417306,356752.05404213595,441343.4241063349,249643.67169952934,268641.5546759264,180694.57988068945,184418.42904532934,147481.2527153924,254382.11896256803,135217.10992571042
[7.5-8.0),,,,,,,,,,633416.5534805796,320757.2253618159,304476.007937445,255685.6071870854,236571.15881859342,299582.9684982913,185053.22415947655,128869.75884485609,131585.66315854798,119999.15484315941
[7.0-7.5),,,,,,,,,,413299.13350431627,319952.64672469837,211591.94479291418,242878.3859102796,260934.11313696564,203085.5439527691,116578.3276612081,136530.9190347653,120105.35552256799,80521.68616799629
[6.5-7.0),,,,,,,,,,298340.76039472484,358518.55674546026,184784.0609481231,150199.76750251156,163253.02119715104,120375.0133574837,111934.36498569051,79616.98765097342,90861.7698420582,65312.22334579221
[6.0-6.5),,,,,,,,,232519.5625119168,255854.1761364886,252839.20880817514,183062.478939301,153090.9736330374,138914.66723548196,172049.427436969,86022.76458984353,99958.98033445678,59177.321244424806,112746.57797076722
[5.5-6.0),,,,,,,,,191401.79105105688,216945.45689037838,294667.24755160365,127261.35052844115,128630.53805566397,103016.55255246238,109416.29783102091,86630.17469079077,55353.4085219783,51519.44467887827,71566.59802457374
[5.0-5.5),,,,,,,,185450.4358902997,223752.91417229336,194268.61522912164,154067.3737089006,141230.7611139351,105427.28147385245,74208.9077559811,69436.95741861463,65476.55343936493,48108.76891625493,36765.997367256336,35178.29324862528
[4.5-5.0),,,,,,,,168478.77975538486,231489.04391010036,113943.89031822229,101600.54381089432,100988.16138977619,65966.93904400035,68013.15384008372,62926.609273199545,37821.939707432124,45586.33410342823,30949.370718008624,20435.39947595093
[4.0-4.5),,,,,,,173049.82379629946,142701.3597144829,109098.41046857831,91115.54015692338,75277.1967237807,59263.19040792142,58109.39842024312,42833.38596104835,50346.60807690543,35773.00958563604,24585.524664926164,27549.55699762178,18028.089195147168
[3.5-4.0),,,,,,203570.62424318143,158047.52324921713,127193.96420368548,94938.46701923951,64789.062238585815,39990.599050773264,44485.65974459161,49697.740543129294,40660.68872557607,37861.998760075636,24039.41636080257,22341.698101293372,25701.943386122188,13779.717727273615
[3.0-3.5),,,,,,143046.45823372394,114581.72080082049,81720.88903753458,61662.74887763099,54735.5468115683,29534.415075990473,34317.08235490098,22200.706431702118,20635.00300925149,17686.770463545025,15067.328932593822,17247.117559594153,16484.69570060566,9521.891810107996
[2.5-3.0),,,,,,97541.67067161326,83778.68087264814,65689.63669237087,53540.84258027026,39178.34833199054,26003.248421531523,19057.49256978053,19060.249983675087,14907.846256642551,13483.091420080531,9708.342626009162,10312.090859229873,6211.160662349466,6366.0478838231875
[2.0-2.5),,,,,85267.89145551794,60296.08479239757,53341.961276332964,43707.049896336015,45022.25612075098,27092.809712715043,23636.79695336285,11935.570546446952,12486.316145237477,8978.004279848354,6921.783887060585,4950.063702808819,4347.094948700035,3739.394177263347,3331.443498538682
[1.5-2.0),,,,70286.28882489327,52426.28968857624,55080.135449083995,27767.20255308315,28402.952999845547,25334.530533802725,13649.82018806015,8395.685314311484,6934.675182246512,5989.869793344603,5306.867716805428,4336.331646117889,2387.0361569931415,1929.1706280202632,1823.5315428296292,1300.4073328121308
[1.0-1.5),,,45381.0514339514,39632.92399150316,31747.462559292864,22625.414648384372,20994.04712410046,11766.49500790895,11279.309448420541,5727.53264761967,5050.014758462716,3247.0313876064747,4662.599156415054,2191.665571841187,1740.952261155777,1486.6524414508285,1114.5687706988888,906.229092171221,610.281170018497
[0.5-1.0),,11046.756533951993,15819.87650191904,12868.28586004431,12234.645661251083,9313.995217655682,6223.304655657203,3690.106617757986,2669.956547150836,2268.4437454503236,1414.596463282671,1298.0301439184418,814.0192146664122,690.1539934794474,451.8308523467272,408.73652784323355,299.79738617186626,217.36605731955663,210.96421892822235
[0.0-0.5),290.93569145972486,1388.1150976855242,1816.1837739577545,2509.370159866195,1468.2992324305346,1675.0349144273737,922.4269872339723,651.3253073683699,422.14261791822673,317.3321838967729,189.57860143145106,162.38566436362356,96.57877625613408,79.35370421903275,74.07583097237801,45.50778816532494,35.37130473823122,27.118430554524043,18.661381330077806
