"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-2.7993533859229864,-3.2683723603939394,-3.9338863638119395,-3.2511233457906856,-3.482482542408454,-2.974245554295345,-2.6590306251954057,-3.371039959301208,-4.026297825372379
[8.0-8.5),,,,,,,,,,-2.5676052367609934,-2.3249884406515804,-2.491660467228131,-2.917034714331299,-2.7582166478858072,-2.2790753689826513,-2.9501148842460143,-3.057018130693714,-2.866891771914152,-3.197976063962719
[7.5-8.0),,,,,,,,,,-2.9607922087701333,-2.280138515843814,-2.8931279470278004,-2.6198906764875862,-2.944994766852041,-2.2755483227033015,-2.9207010149278445,-2.8016068681058868,-3.068333810135708,-3.1290092367016955
[7.0-7.5),,,,,,,,,,-3.2931006605628634,-2.324299578781983,-2.3090942401254884,-2.381096930176908,-2.937968148445009,-2.503236930539417,-2.489713496236505,-2.827340254948687,-3.0285243189048043,-2.1124674955104683
[6.5-7.0),,,,,,,,,,-2.282442161824762,-2.2476716980775904,-2.033488080079764,-1.9529950817751347,-2.232388875777728,-2.1594440585546097,-1.9388250390730994,-2.138285732221061,-2.378990441399172,-1.8708167186999638
[6.0-6.5),,,,,,,,,-2.033366406572646,-1.903270976503451,-2.3144844926316597,-2.2272967492036027,-2.132907003393249,-1.5761599122978474,-2.4417443891477983,-1.941064565983143,-1.4075271634848976,-1.702282734196917,-3.027122742240571
[5.5-6.0),,,,,,,,,-1.5963187165891124,-1.5820576532951667,-1.9534162198262497,-2.037419108823741,-1.8859598035569007,-2.0805541743462816,-2.0296673774255356,-1.9006572553109928,-1.5564476068534383,-1.8437316752974329,-1.7919628442427888
[5.0-5.5),,,,,,,,-1.475880908892296,-1.5070401040531003,-1.7184194767957175,-1.8162808873537823,-1.535246437046327,-1.6101465562895596,-1.5834996842687767,-1.7009371613753712,-1.4807702485937968,-1.2452806743256692,-1.5675875345982042,-1.2899274631456685
[4.5-5.0),,,,,,,,-1.5574970413816258,-2.0859061232219873,-1.3960417935785474,-1.3025055156426704,-1.6676312013263912,-1.4022270086385868,-1.0664359427282482,-1.4539826994278324,-1.4052740263473986,-1.2536609315777836,-1.2523845906798245,-1.2348111403683844
[4.0-4.5),,,,,,,-1.221463702453595,-1.49273468418633,-1.3096072449030052,-1.0639941463162952,-1.449612385526365,-1.3881857080208173,-1.4637440467058782,-1.0661076631330682,-1.5144435007226433,-1.1916163600008796,-1.0452240596450282,-1.3034009393640138,-1.1416677152314885
[3.5-4.0),,,,,,-1.2291183446354812,-1.2290150843080245,-1.06437059892854,-0.9690092151326913,-1.068847321929296,-0.9490229222704122,-0.9869237165768224,-0.9725473582449814,-1.1583169461985912,-1.4796120262210242,-1.2027194351447061,-0.9604903928481897,-0.8591893930764724,-0.9449102564316693
[3.0-3.5),,,,,,-1.0655515978381775,-0.9747666112036713,-1.0455930848523722,-1.1357408626218575,-1.039034854978336,-0.7489286686151706,-0.9056390790796949,-0.9259736396191435,-0.9216441978444496,-0.7548265899214486,-0.7834065540008766,-0.805676964447352,-0.618104472127099,-0.7736467793029133
[2.5-3.0),,,,,,-0.9284584365080986,-0.7263097355917165,-0.9012491686392488,-0.8834899226363172,-0.6489329393244598,-0.7159248648478456,-0.7524132194256153,-0.7255691037393995,-0.7046067198183164,-0.6117503377880255,-0.6294656488335612,-0.6182482455471743,-0.5857222016788427,-0.6256284485518404
[2.0-2.5),,,,,-0.784004242291157,-0.6742746410731536,-0.7197775434079696,-0.7065838850488079,-0.7022830249255881,-0.5681782378456057,-0.8529051413325377,-0.5657261648197995,-0.4077775697809833,-0.6250322272635284,-0.4711964323830058,-0.4090861987076121,-0.5046609087280393,-0.45138771853660475,-0.5466473402188724
[1.5-2.0),,,,-0.6027589215397746,-0.5943417827278062,-0.6353886341365791,-0.47561591578793166,-0.49289502156767145,-0.6653851106202412,-0.3883601292137551,-0.34764290595566083,-0.3669292871289881,-0.42628808635710175,-0.38782347586881843,-0.48879599860299144,-0.2407107597203376,-0.252655246394061,-0.3649258174043764,-0.30417807762137805
[1.0-1.5),,,-0.5108555834186002,-0.4447758843194497,-0.4498427988300573,-0.3641953895173823,-0.4333576911228147,-0.30682120757160175,-0.2925341465058269,-0.26285563124179556,-0.24981092345276235,-0.22237726044754877,-0.3354714330769401,-0.18231934215226758,-0.18036839799260415,-0.21388805524540158,-0.20611876264039874,-0.16818782285905598,-0.15608778850862692
[0.5-1.0),,-0.2707569606208846,-0.30784143555724053,-0.27935096345544935,-0.2512674894405449,-0.2062764276069406,-0.23247886980480625,-0.18214711087260074,-0.1550933437344971,-0.13075426770813764,-0.1247009655858513,-0.1526603314894027,-0.10036394504214012,-0.11093977049374287,-0.08076063217592207,-0.09031031101556027,-0.0751932181684999,-0.0683208366861445,-0.08056430759488381
[0.0-0.5),-0.04775350066800262,-0.10555704407480111,-0.09790809250034938,-0.11082036476258908,-0.08344953093221687,-0.09481838895084985,-0.06967309735995873,-0.06312413665860245,-0.05221479721795951,-0.042849109286316585,-0.04440510681279844,-0.033522183457086005,-0.03176700544250805,-0.02670200073071506,-0.026001879772283885,-0.02260532505769691,-0.01962494676819736,-0.01712917857904697,-0.016780378855690715
