"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Maximum [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.7732007108163008,2.1981559308090786,1.9241127749812836,1.6768076993682661,1.3846462555789483,1.77941724708914,1.3241712218084416,1.348522562105176,1.2751934382557415
[8.0-8.5),,,,,,,,,,2.104614576916931,1.663150505488072,1.918595326863043,1.4615222245571322,1.5569566411750535,1.3132750249199645,1.3079860403035224,1.1864557114109127,1.630439830415589,1.1887138166139364
[7.5-8.0),,,,,,,,,,2.242579402150033,1.5770175811053824,1.5935716343478865,1.479102543875767,1.4610693181723653,1.690992503371751,1.3102352457463144,1.1090691632828986,1.1726428847940613,1.1198260849701798
[7.0-7.5),,,,,,,,,,1.811487626213421,1.5750384653867853,1.328448177737168,1.4415827507385943,1.534459224483171,1.3922673147114393,1.0399437767028223,1.1415597013414738,1.1203215050839308,0.9173137773217351
[6.5-7.0),,,,,,,,,,1.539073712988917,1.6672630703461735,1.2414444917973697,1.133652038504316,1.2137256659940348,1.071892658799252,1.0190199105640938,0.87173803112317,0.9744332213400211,0.8261496440239987
[6.0-6.5),,,,,,,,,1.3426971267370995,1.4252773366702016,1.4001369674208788,1.2356478612470607,1.1445109066221346,1.1196027942887286,1.2814738201570366,0.8933212145368289,0.9767738652365033,0.7863920911625603,1.0854583668911482
[5.5-6.0),,,,,,,,,1.218207614263491,1.312436815504473,1.5115212048746764,1.030251643852023,1.0491007227604348,0.9641473863889851,1.0219370164746793,0.8964695546700107,0.72686759342692,0.733748240040954,0.8648019745818822
[5.0-5.5),,,,,,,,1.1991188779448332,1.3171421902165301,1.241950957637154,1.0929584465723396,1.0853247379832522,0.949776997160538,0.8183101574359822,0.8141013290081264,0.7793703062390822,0.677634087013059,0.6198472258709249,0.6063157759140776
[4.5-5.0),,,,,,,,1.1429333759588605,1.3397184292532138,0.9511491980271599,0.887557150583367,0.9177624506281525,0.7512912130286276,0.7834050724756507,0.7749974755070409,0.5923424384297107,0.6596300877582022,0.5687054596065205,0.4621181774802703
[4.0-4.5),,,,,,,1.1583342334717301,1.0518707209970348,0.9197240065182137,0.8505490258549113,0.7639765529157679,0.7030521912644708,0.7051286045273297,0.6217003695403066,0.6932154457200543,0.5760745500472423,0.4844208894374576,0.5365606208196568,0.4340465764130745
[3.5-4.0),,,,,,1.2868882716675694,1.1069860759332222,0.9930738876392237,0.8579646975352585,0.7172226091187568,0.5568359497611064,0.6091231005933435,0.652098896533704,0.6057274950919604,0.6011528229209786,0.4722401515342077,0.4617864780761027,0.5182561533934892,0.3794736692297786
[3.0-3.5),,,,,,1.0787525698846785,0.942553436344176,0.7960032708785022,0.6914483612158994,0.6592313541915147,0.47853366732980973,0.53499562525516,0.4358414593834596,0.43151131731834136,0.41087280047349445,0.3738686799029299,0.4057339828170333,0.41505146710251467,0.3154446072869243
[2.5-3.0),,,,,,0.890796257104534,0.8059629354299948,0.7136688495650179,0.6443041248465992,0.5577328001959541,0.4490163068586662,0.3986831966887375,0.4038400985815037,0.36677301460286643,0.3587383959873003,0.30010518391323704,0.3137303166392314,0.2547697538964085,0.25792678004875624
[2.0-2.5),,,,,0.877167806705795,0.7003705001533735,0.6431063545447688,0.5821354644732069,0.5908291825932726,0.46379936298295743,0.4280974325613696,0.3155125540997928,0.3268603989745232,0.2846294452116007,0.2570349264219264,0.21429219028848337,0.20369608659087668,0.19767971656489305,0.18658542322908794
[1.5-2.0),,,,0.8709105184827453,0.6878036619108072,0.6693924172592357,0.46399614800327527,0.46927785285448637,0.4432050920756782,0.3292051265348047,0.2551387285902898,0.24049614212532175,0.2263882248101664,0.21883110499118713,0.20344375699695758,0.14880942841576397,0.1356964365090354,0.13804418783434308,0.11657386369418228
[1.0-1.5),,,0.8327780034008564,0.6539827401153177,0.5352349101343019,0.4290239748334006,0.40345620100724244,0.30204515129556847,0.295726039359991,0.21324895475816366,0.19787668890482668,0.16456531130370441,0.19973730394700492,0.14062970475593808,0.12890701550106914,0.11743719622111014,0.10314223964950525,0.09731515662621515,0.07985947872755636
[0.5-1.0),,0.5861394149307391,0.4916924196792944,0.3726478151997406,0.3322657834527834,0.2752651899522563,0.21966397687763914,0.16914835095479921,0.14387999288870776,0.13420451636763045,0.10472843047001401,0.10404888756539844,0.08345694274696412,0.07891561127754314,0.06567061200295363,0.06157758827839993,0.05349301092198361,0.047660363461694596,0.046953274698117935
[0.0-0.5),0.1441565843746021,0.20777642721907363,0.16659879817992995,0.16455860384457413,0.11510580013857517,0.11673342299777893,0.08456960677503755,0.07106361357563183,0.05721078548583937,0.050194968350568824,0.03833919311608635,0.03680178599109811,0.02874656731701887,0.026759224579183793,0.02659018680348881,0.020546782029592082,0.018374209435819015,0.016834249587405765,0.013964756894460851
