"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Peak To Average [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.121653389422111,6.66443961622205,6.499772209585564,5.712304626287209,4.86721556593406,6.893235392869807,5.831324901286938,5.990956312846998,5.981658296908624
[8.0-8.5),,,,,,,,,,5.675950112472769,5.003460367835359,6.028351563393582,5.059162419862575,5.613948823344589,5.118088467445193,5.649357138306705,5.505728454872451,7.495746902276266,6.134324791596922
[7.5-8.0),,,,,,,,,,6.6006500879985825,5.138811850441388,5.442742501471139,5.452299052947164,5.922006795345299,7.131162867099342,6.119975482806581,5.566298239972643,6.01413069085358,6.528147569073566
[7.0-7.5),,,,,,,,,,5.640302636135939,5.621911115591399,4.972458989605722,5.8315683518939325,6.736431462719812,6.44900132006818,5.268396252930198,6.291559964056859,6.232581034310557,5.896501768965216
[6.5-7.0),,,,,,,,,,5.258638127256191,6.329663339694468,5.019233588984832,4.980287405854779,5.893516454502919,5.238316806426714,5.714453972656402,5.096448619881516,6.110540577637688,5.725181076407019
[6.0-6.5),,,,,,,,,4.424521056945739,5.404502149319568,5.75048525334882,5.494269431137716,5.5863677871411985,5.677959761787147,6.94845932462171,5.422319220917437,6.61975167062569,5.498664590823654,8.329791248053652
[5.5-6.0),,,,,,,,,4.399279281780177,5.153815587486142,6.958963441434093,5.11796530925927,5.681925882921363,5.572259046691043,6.356044971426487,6.151956117889189,5.576585120659104,5.71060089502288,7.420536741199138
[5.0-5.5),,,,,,,,4.189650681309649,5.257302350888177,5.5327913536036615,5.5127259464899545,5.976729290019415,5.712351721217309,5.321143916779348,5.690333988573976,6.216285102211604,5.8599418866660065,5.474702145177371,5.9772537858402375
[4.5-5.0),,,,,,,,4.413862310952955,6.044455114660671,4.8406693316061435,5.118500110213836,5.609438359221726,5.139020427055292,5.75590536491688,6.05385221847287,5.295541126050639,6.257517318724255,5.864226554554706,5.204795137001667
[4.0-4.5),,,,,,,4.373149983617103,4.6257851374961545,4.534145476846275,4.831534188416194,4.932787544217776,4.922618134209926,5.539766725860699,5.23246749183034,6.195662920883605,5.911603804040975,5.448586843858341,6.435682613746688,5.3715342957178525
[3.5-4.0),,,,,,4.700633220231486,4.816504937751217,4.935419981100703,5.072112385179728,4.618631815717704,4.075658843838383,4.949504653145133,5.892699392501689,5.8025141320448865,6.482819406088204,5.595233674054642,6.053152753530631,7.318065128682971,5.674946457420153
[3.0-3.5),,,,,,4.529784349311172,4.70888891086048,4.572925385709335,4.6594341162534,5.026589313433531,4.2356836595311735,5.2752346955567,4.622826474626636,5.04949266120067,5.216891624019848,5.281105562571637,6.215238681130717,6.896105045789136,5.950169301720587
[2.5-3.0),,,,,,4.417157552508909,4.762138817923588,4.904151862633345,5.0913286207562125,5.198906346739133,4.808755028385473,4.632176168448266,5.281086374999928,5.261623610541391,5.704263141148952,5.346889816583822,6.147173571290077,5.400911299106458,5.807558282180247
[2.0-2.5),,,,,4.307088460821921,4.183495947738062,4.661648458091783,5.016396653197768,5.864087965106745,5.139349954530769,5.679791946092437,4.615098853980641,5.465162903758769,5.212096093547298,5.143001876731259,4.844164533146216,5.1049009321612155,5.444501640028678,5.50903946121336
[1.5-2.0),,,,4.465723971430111,4.265810145829342,5.125897457908048,4.372830867817375,5.125667886531054,5.585797647442237,4.858165934581274,4.462433030019265,4.712958062443208,4.989603499882557,5.3274332633889605,5.369137701937829,4.576952923780571,4.636395616161631,4.9828744021541125,4.672618346053381
[1.0-1.5),,,4.920258968859784,4.605360750566207,4.58570001294583,4.48785522111399,5.166561968117434,4.618575920162592,5.341701572903623,4.493669105539975,4.903245239297036,4.589309939123301,6.260206911719853,4.955693113267426,5.09441726141223,5.234428520669857,5.1135781693634375,5.176684692859068,4.801019001568954
[0.5-1.0),,4.702050619201857,4.79918914493101,4.219957565134836,4.575441820026528,4.669158095357151,4.588874182059432,4.168943635188446,4.278047840670079,4.626013058348438,4.334587540804837,4.8389604277604255,4.444325491364867,4.681560395968024,4.401585593604362,4.680797235457495,4.565134469036231,4.40286101546743,4.944323717025487
[0.0-0.5),4.535448500877922,4.8905287792649945,4.773403774576576,5.429563385033522,4.436304242020319,5.546831780950145,4.94972147949908,5.038197660875723,4.82460143059405,5.022599799468582,4.669570678868427,5.104233028960247,4.525536830241176,4.769799405979244,5.293050306072043,4.683419450056769,4.7187775036501725,4.72200505209478,4.4228861464932905
