"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,16.481992759934062,25.597213527146447,21.685523711666395,19.299550473873772,18.66336996956375,28.800375377745013,22.088939629386942,22.359997613410815,17.644828524784838,19.65429484241108,16.768268360116725,17.33228608273855
[8.0-8.5),,,,,,,,,,23.084446292379294,18.321895607932053,23.09346542803596,15.950833592479613,17.28743852759556,22.554712767395937,21.874380097963236,18.156945219208254,27.31870258663054,21.96634239442149,25.947978958535295,21.335894682928632,24.760351297176804
[7.5-8.0),,,,,,,,,,19.19422886579678,18.082203848152258,15.799217770813287,23.96869748674091,23.31599875535079,25.435422884984842,29.617340779707188,22.769691162479848,31.852335900476678,16.502618285295885,29.129846856658943,21.62476496683711,21.695168702579085
[7.0-7.5),,,,,,,,,,16.352570465196543,18.783057320431983,23.256846658663925,16.852504320066625,20.92363469974066,20.88117999907105,21.195154995084486,26.841044325298785,26.008585808828393,21.96824432226414,27.55320308793675,28.29733960131617,22.546021213178474
[6.5-7.0),,,,,,,,,,33.806632888271835,27.439179127611038,20.91422736528008,21.40335274966243,18.846038448415797,18.396049616269742,17.510710921715376,22.091613176838656,25.315699884525653,20.463643251961685,29.672076122148805,18.0164846417175,20.963726146127673
[6.0-6.5),,,,,,,,,18.170062770331555,16.88982038563934,21.362122268669765,17.171986055726247,18.27512882290637,27.11635847346525,26.112454454344697,22.406305548705244,17.299689695549525,22.787588093853575,28.14439447910445,17.976715287015917,22.991555324028866,18.49868073734568
[5.5-6.0),,,,,,,,,25.854848568116417,22.04395495868097,33.96623157060718,16.21185487603861,21.866587621188064,22.482840174887013,23.079317500220945,23.870948606572725,22.493455195035075,20.086876832667,28.808999049029545,23.588115631726506,31.45208312362487,25.723736042894156
[5.0-5.5),,,,,,,,16.71739143050673,24.933483677294376,20.759227583042335,20.87717083168186,16.055638651255705,22.377277952860293,23.1206848211815,19.66077380917133,25.119063923458267,16.268674256629943,20.964558338504677,21.761080491003156,21.525157158434098,27.435640431068858,21.879441029231952
[4.5-5.0),,,,,,,,17.939143199016844,18.15242538090422,22.35880331525581,17.1718079298365,18.081781758705237,20.488931468390586,15.204358466429227,21.130893236643878,18.546248378780444,25.197373702942087,21.381408552202455,26.798667984722833,21.387386254667664,20.681347534892645,26.738615124514688
[4.0-4.5),,,,,,,17.299663217818363,19.132202585122336,17.58721509446822,20.378403577995794,23.185775913832448,19.552767478315975,19.210693472615187,19.186784525247486,24.08016899848508,23.069477298777638,23.899053422209477,24.62885582996959,24.626420736716405,29.56778369883378,24.70313674763676,19.529834689574145
[3.5-4.0),,,,,,28.020534965153338,26.397988974997137,20.725631817695053,15.528061195161197,16.882085676615326,14.933017018901388,18.18613206975,27.99506895278779,20.40278017943837,27.705007840667594,24.6907064987221,21.114292248577055,24.431695968764537,19.16907082633455,17.635054411267475,29.561507524098083,25.58977452768546
[3.0-3.5),,,,,,20.51792755516476,16.56957743483542,15.23220426194181,17.948551123959362,19.156319487869325,15.770076067409548,26.213804289573115,19.093567161437637,22.713796218144683,21.475206008324605,17.23350269642202,27.126395154565344,17.37325702773763,17.239956967791883,21.003010076820697,26.396098443602938,23.80956779561295
[2.5-3.0),,,,,,22.130559289310508,19.538385729096085,20.845230982488776,22.36916223285463,19.802860394204554,15.681529163868886,17.27937737219722,23.711602303113743,22.06949696208475,15.124737192283204,20.977813576128465,25.186974492209913,26.252160702777594,27.918038923389755,20.171138357688474,16.936167904657843,26.50759048528078
[2.0-2.5),,,,,17.969356644470707,20.909828010512616,18.435544093219253,18.538958806776268,25.898458005543095,24.110089653015862,26.954329356171268,18.739378735473363,18.27981647197576,29.5263890327834,17.278139996298012,24.717548136264366,33.858901337125175,21.965101491743912,33.7878588085239,16.927038903919797,25.057424391458206,16.851370426524316
[1.5-2.0),,,,21.46360728056021,20.09032245155181,20.6907466511386,17.61934727857483,24.244564497164394,17.86034083057083,18.726073923533683,20.249539898801714,18.06947527913844,20.595363539891277,21.43247468717653,22.399750282280316,24.827784668441755,15.06113378038613,16.18070722751308,25.034285561394984,22.838715368133137,18.88644975601294,24.312555794494344
[1.0-1.5),,,27.884211283890604,20.381854780507194,25.13856421192736,27.727444755324058,20.66438321261346,18.644969388045194,17.32996917205403,24.167633533821533,20.629449576884497,18.04910081151288,24.097519290037095,17.726796278249754,19.66209444974142,21.401227980000346,21.25056322786583,17.706958048749396,13.534312268705778,17.77052826764262,20.853753628652953,21.706437465503186
[0.5-1.0),,29.079287102107024,22.706189730175776,30.277840243121044,21.71738608701729,22.139175068141675,20.43894599171583,17.778869145363675,21.55638638399602,16.291278359048633,19.17097442518027,23.684501627176697,20.602615882424224,21.11617389512036,23.117495165214972,20.241832520298267,16.49511403575969,14.542880384766502,18.658658186163056,16.185752188019755,21.252941944649667,23.61486049472496
[0.0-0.5),6.490058835820327,32.17982637717666,26.673282212265978,18.811418217586933,19.848370056715222,22.324142449407034,21.510310966436716,18.920415503312096,20.291581302167266,15.26210804977639,15.12786534037318,18.806592314077818,21.991341109944095,24.553689825435224,18.863732914480035,20.029155580914466,18.870125311614643,21.10058866078507,17.594109930076996,19.69347614695624,21.723420854141207,19.565158684599066
