"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1978416.605617645,2678534.9961158806,2018308.4028924867,1819649.800039104,1693232.0622207127,2462470.751484854,1587148.8809746874,1732605.9686838964,1338111.9400065304,1534566.0853322123,1199679.577054959,1044261.8785742987
[8.0-8.5),,,,,,,,,,2961143.264622453,2041562.619162314,2317387.6042559883,1414882.9881199398,1519381.5315638594,1760754.5178728164,1579206.7878552608,1260701.3811693273,1920211.365532826,1374348.443002678,1555073.9517885316,1294627.099628697,1437995.174500908
[7.5-8.0),,,,,,,,,,2031259.1027947722,1751073.3616113346,1388140.336287728,2027285.3757785675,1674877.808997058,1726146.9841215948,1885497.8499711351,1451162.5914992983,2004234.1548927464,887661.3293076926,1551986.3680751638,1101096.816765368,1093714.350555102
[7.0-7.5),,,,,,,,,,1556575.369321933,1600515.0734751376,1723990.6245781956,1213212.5292618074,1327034.2562098582,1258048.0203841797,1182347.9679677964,1430257.8716316826,1396166.5685702083,1030979.012912642,1203345.6148837262,1286086.7308248463,945249.8132069294
[6.5-7.0),,,,,,,,,,2839154.233610315,2100027.6613519005,1404884.2374286882,1375707.0168412859,1081335.5736730413,1018852.9108602437,911580.7045815549,1128570.096099707,1136827.51854661,835761.6855312871,1324395.3186341927,805168.7959603216,939941.631610523
[6.0-6.5),,,,,,,,,1521774.3946191717,1247751.407225911,1446760.9282145435,1028040.0457298725,1021499.888527301,1502079.936506759,1228080.04497076,1016370.677420193,715362.3223636226,885459.374932061,1100217.3211375026,649584.4519038716,844042.491726988,593824.1839996338
[5.5-6.0),,,,,,,,,1889757.7806726757,1525659.0877190684,1984106.9717013014,814935.7927147835,1052085.2437448166,971673.894284967,909872.5145027811,894167.1313292404,779715.3271099756,684384.483635085,944503.0745776242,795849.4880127385,852998.9002194727,779240.8014419595
[5.0-5.5),,,,,,,,1110883.8709978003,1494087.4672977324,1123569.6784868566,1040058.1665806666,688788.5600157573,889916.1920179669,818184.2522837087,671024.5123099819,753032.8478004945,448842.01288937405,600705.2648740346,596472.886492792,539283.3583435728,698469.6203053239,476009.88328761054
[4.5-5.0),,,,,,,,992319.3825012274,902269.9991146241,979152.6931078415,683684.3542553027,681317.8144934726,682475.8869818178,477616.08969494514,607205.8005513954,465231.50242966635,618524.2064352736,496554.68143548473,605076.4761568563,441798.4417620796,365633.4065550071,548443.5639015328
[4.0-4.5),,,,,,,793336.4603799302,824680.6286654073,736718.3199842409,774135.278513718,762237.5491122289,589312.5428426897,546006.6462916028,492787.29630236357,565098.015782888,497952.0261028619,494963.0308270004,472481.6534330927,475925.0106462182,522075.89688407193,381456.85032501095,327063.41843249754
[3.5-4.0),,,,,,1069401.6285845623,983472.5903369347,687919.7695299734,481338.1517775407,509019.5429636322,395305.54662528995,430270.42162508774,611965.5513678732,429005.38206665916,488150.2415862284,440823.9785293768,342534.7189804573,357878.27518903144,292757.9954662042,232654.77123995047,413875.2397394145,298065.50584214105
[3.0-3.5),,,,,,582936.6084933287,468088.88630829856,392662.6554687017,415108.8089961144,409040.27564740577,310942.1306169755,469517.7497455932,325764.3031051362,351237.74735987507,300910.16311507754,231814.49227053067,350642.4997120895,194260.2889025575,171108.22407851627,214422.55080987664,253292.79036736517,242960.66266377573
[2.5-3.0),,,,,,452326.57928351057,397655.94694295496,395514.78800243494,409649.24761636386,310852.5793051926,230617.42736160275,224517.13999962062,299262.86595805763,249573.0970946206,150865.8874677291,195563.84059596146,232864.6771847607,207160.4788787923,229000.73302862843,173195.85108764068,115016.37848299583,188519.02627971422
[2.0-2.5),,,,,255092.35897274868,291842.4400563176,254149.47952356836,231964.70107604298,303527.380041004,273985.7723519544,273392.9597631731,174186.50844620352,151451.64926778665,217945.5442202352,120914.2269797041,160173.5730683653,201220.28223889557,119465.98884860249,190027.47356802342,91534.96882618028,124125.36568119054,81498.22250323395
[1.5-2.0),,,,172218.6845980977,174591.20880782235,178967.8016522566,145376.5041179622,189303.66391503668,134401.49131832487,124497.66237964465,122978.57593109335,93487.52420674948,107793.0517442315,101271.027936424,99962.95650522049,99647.52240398768,58846.38660319107,57559.956169690944,83661.55517435857,74424.85218636575,57086.69624120965,70000.40003120969
[1.0-1.5),,,90781.04786650515,85527.20680028637,114183.88814234789,124457.03530363848,88162.28791739796,77195.8566254585,62987.44667075622,79653.21002232643,63258.476264247605,52057.769560441826,66879.62077906376,43092.9341252646,44618.46679729482,47467.42477339625,42834.65782863669,34093.30416585729,23377.935542732353,28367.09677787112,35342.20013511945,32817.01110620732
[0.5-1.0),,18826.785133768488,27331.058244395612,47312.56176061803,36645.15338168772,37098.92010878917,32755.980946392425,26266.504336910002,29818.61451493827,20122.16369266137,21372.985151939483,25241.675046236585,20347.815281704294,18226.712846826296,18740.800814638038,16695.564681611108,12668.778740841586,9942.534350450822,12318.94297251268,9750.643841429666,12614.422914535138,14417.95647615197
[0.0-0.5),77.9390456339403,2480.725709924534,3784.4078275613087,3476.357359719476,3972.448342764395,4348.770551410064,4061.42308350075,3374.2671189019916,3540.8403443347524,2264.29848747279,1990.519994574816,2196.9393037434043,2434.67911694462,2515.1114951762042,2004.4254043434844,1806.505896827853,1727.1317079350158,1809.9298640032189,1487.5522344345118,1521.3956487051403,1604.247926085413,1469.7243217940397
