"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Maximum [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1263573.0725987698,1592971.8986863887,1276248.522057356,1263401.7710617715,1312607.2862336654,1409701.066783143,1179930.4473163288,1416395.1892605047,1166870.8532124797,1332991.3703931326,1104864.9633229983,1099611.4464146097
[8.0-8.5),,,,,,,,,,1477123.9071554656,1283579.7016749848,1481694.919884298,1068566.9814856506,1154465.5980847937,1338523.4207928288,1128914.3382832191,1051607.5335097678,1491107.8545077988,1182564.9323380545,1341868.825249396,1147754.2662793868,1290367.019168944
[7.5-8.0),,,,,,,,,,1223403.9535812582,1188758.5639673173,1146769.5141519825,1279083.6034690638,1212101.9183730942,1325303.8385761888,1233543.612458171,1128250.6998296306,1523381.8232306356,950386.4135629362,1340536.0298197607,1058496.246936566,1125347.0976176346
[7.0-7.5),,,,,,,,,,1070957.6425479911,1136505.0565247175,1277988.3708063173,989486.6323223455,1078918.503421918,1131423.4566622952,976819.0994738064,1120094.7138960916,1271461.333074013,1024239.4075685492,1180401.4376795266,1143962.2615834128,1046183.4369331636
[6.5-7.0),,,,,,,,,,1446377.6763557408,1301829.1613347481,1153665.0128068142,1053669.6340892336,973930.1704466171,1018198.1748812341,857707.1885213827,994974.2551988544,1147312.7735811148,922184.4561921234,1238349.8572474802,905148.9183059894,1043241.8071476073
[6.0-6.5),,,,,,,,,1058918.055690221,958851.2782206676,1080537.5749319443,986880.2738437852,907947.3173550367,1147873.6774540541,1117866.4092446894,905664.9312756964,792155.7984960389,1012555.5539926358,1058073.428171728,867266.0595191977,926741.7411230283,829207.9939693863
[5.5-6.0),,,,,,,,,1180022.5004415328,1060268.7650349732,1265388.9264005714,878660.5915844179,921439.7697830945,923225.6069361392,962203.29982588,849475.462933069,827019.2339083563,890193.9067290153,980343.462239729,959953.0892124021,931645.7444789726,949883.5837734373
[5.0-5.5),,,,,,,,816481.114898428,1049240.9422296486,909886.5024309927,916157.8396024887,807797.3325910675,847453.8214695073,847175.0022630469,826315.2377725278,779558.0281656985,627471.962670881,833998.4799692307,779061.8223850587,790210.9606254256,843044.1704282976,742407.798008311
[4.5-5.0),,,,,,,,771680.5436441861,815371.4035109443,849400.3365690837,742795.5764181587,803404.6191998841,742138.8105034678,647272.3400459411,786039.7788244577,612739.7362803589,736590.1800623431,758259.8843328427,784660.3423976122,715231.4943159,609957.3982850268,796893.917718357
[4.0-4.5),,,,,,,650593.1494885049,703484.7868021816,736780.2100240783,755258.5440619186,784308.0228597369,747192.1394255899,663804.8980094177,657472.096867972,758295.4675189486,633921.1473562524,658921.9204250736,739651.2825410591,695898.3921784147,777501.725550618,623016.1119660626,615390.1289560762
[3.5-4.0),,,,,,706664.6402842283,724372.4244920098,642511.2090033427,595541.9524258896,612427.1643692931,564817.2370879252,638454.8613336807,702756.6692615709,613449.6805645828,704779.597400707,596450.0686790273,548150.5739641647,643727.7151649679,545796.7576395281,519027.68242160516,648950.0819459459,587476.3658640191
[3.0-3.5),,,,,,521739.3649573524,499740.95670492545,485424.411774653,553054.8333881361,548997.3568656382,500934.8805313898,666937.9950435177,512735.31940861774,555070.5244901634,553343.7347470043,432525.5624621917,554599.9820576306,474270.98382433027,417265.0509527013,498275.77007417794,507677.57832280215,530398.7863467035
[2.5-3.0),,,,,,459588.3320676849,460611.22749266314,487184.17901268223,549405.8736791137,478590.92026669375,431407.3594650324,461194.58845555986,491437.05909696216,467892.9037517519,391806.9134450071,397269.9967346046,451959.3573413284,489765.278654422,482719.6802994766,447819.79011346534,342102.6303383999,467210.0045203223
[2.0-2.5),,,,,306020.679886527,369162.147876736,368235.27665765694,373097.8653325872,472918.33725752693,449315.31613329897,469715.7809746185,406225.05766551464,349605.689320958,437241.6974026777,350764.2074206235,359531.4777997279,420129.7650819365,371926.12131905236,439728.6537101923,325557.7654439229,355391.33877403004,307191.0853173988
[1.5-2.0),,,,200739.3879749186,253170.58005785686,289088.2179858173,278501.7250043587,337047.66534633277,314694.57862108544,302878.0606913601,315033.12253677123,297602.2987072982,294942.1703720337,298050.7256021211,318930.5450787984,283579.4399849282,227199.5540735506,258163.45655756045,291769.261157451,293557.73646225804,241014.97303673383,284698.2521424739
[1.0-1.5),,,123281.22497086652,141463.56752825208,204740.8322779271,241075.27230920162,216881.3485453795,215232.9750780248,215433.98712837975,242263.98610569313,225944.0199320996,222076.30884900244,232320.9575035898,194424.32823113172,213075.6835411906,195721.85507492232,193840.81420895364,198686.83261656566,154233.83144686607,181234.9636758526,189637.1238285932,194932.4099239692
[0.5-1.0),,35665.993825187186,67643.73339600078,105215.73508410521,115987.26895213079,131620.5115479128,132198.3649707208,125548.91179368977,148228.23852160448,121765.5840447147,131333.06507603845,154638.82382272818,128144.62107927447,126445.02600924722,138092.6746567037,116075.89587293178,105418.0430844539,107295.89085915101,111960.10351481455,106255.4430832289,113294.8744635097,129207.10475726523
[0.0-0.5),7930.837104509687,12946.596739448594,25170.874911245253,28520.33805699064,38188.37511732057,45063.63155017713,46550.022511456424,44998.86329734436,51078.76519377053,40846.42535710603,40079.727506874224,45621.38664415908,44326.38899169463,46970.6094665945,45161.828597992164,38182.22036270267,38923.35820529986,45778.906317021974,38905.65051578202,41971.6096223407,40402.87893879657,41252.7096905664
