"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Average [m/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.0003162345245951462,-0.000660539131629334,-0.0002450629979559387,0.000293298357055517,2.846486608216884e-05,0.000444962121361779,0.0002669066669795285,0.00032064273625934857,-0.00019159005301144392,0.00016562426561569557,-0.0006180519421720676,0.00012375993700419096
[8.0-8.5),,,,,,,,,,-9.054670879147925e-05,-0.000569986912981474,-7.706289476980499e-05,-0.0005082032757734419,-0.00010359887571455326,-0.00020712204106960436,-0.0004732645186238263,-0.0003045235427848713,-6.254864868022829e-05,-0.0004447239306106198,-8.966677788261438e-05,-0.00034356781546631044,-0.0002018279098197042
[7.5-8.0),,,,,,,,,,-0.0002099389152777329,-0.00041543557726552875,-1.1678986270353743e-05,-0.0008779515723766822,0.0001350155868407661,0.00010874719916289818,0.00010383757731117089,0.0003899470865377412,-0.0001897134884906744,-8.226335433772375e-05,-0.0004480862820500075,3.362461611939013e-05,-0.0005042107763070481
[7.0-7.5),,,,,,,,,,-0.0003456257588093837,-0.00016129251501416188,-0.0005179603574251269,-2.8185479367351263e-05,9.713138719318867e-05,-0.0002018276998936557,3.650718692480666e-05,-0.0002019398440645201,-0.0004556596283649676,0.000406523377574132,-0.00031024203741393747,8.83431619584597e-05,3.7882615361952814e-05
[6.5-7.0),,,,,,,,,,-0.00024299575820543878,-0.00011995464132726923,-0.0003347500791419312,-0.0003526453106897197,-0.0004214872918993668,-0.00014055628208388803,-8.764918118415878e-05,-0.000192174401721275,-6.486459469389071e-05,1.9215816090317504e-05,-0.00025784871637001244,-3.431264044396632e-05,7.90301653383753e-06
[6.0-6.5),,,,,,,,,-0.0005105334667529577,-0.00017129712574714856,0.00014934084119965245,-2.3824942621473335e-06,8.435153421750998e-06,2.7206616475486968e-05,9.640988039616076e-05,-0.00018236409040361696,0.00018182005641929327,-0.0005923675115887181,-0.00012268680112594436,-0.00024018201110421314,3.8070325882601925e-07,-0.00041363203722132486
[5.5-6.0),,,,,,,,,2.3697628068857312e-05,0.00010337457381853048,-8.06664173813779e-06,-8.351791578043763e-05,-0.00012010463590187068,7.342576513129071e-06,-0.0005978119608007536,-0.0001790878800784421,-0.0001952608855539262,-0.0004303479732908145,2.949718525324464e-05,-0.0008153364721355443,-0.00014793076050295423,0.00020515466387232932
[5.0-5.5),,,,,,,,-0.0001403228351858655,-0.00037028376722266876,-0.00039571528053674676,-3.381700899967906e-05,-0.0002352157128533399,-6.97631141920137e-06,-0.00022500151279075217,-0.00023809529284918993,-0.0002344107215864485,0.000131374941343431,-4.668319568741155e-05,-0.00011982236015330443,-0.0003035943222474493,0.00021010584204080368,-0.0001761065009821162
[4.5-5.0),,,,,,,,-6.101565950601922e-05,-4.443405046060718e-05,2.223295442709631e-05,-0.0002722909397138616,-0.00024121679334514196,-0.00034878819540833783,0.00019464013553579802,5.226117274234638e-05,-0.0002054680805007322,0.00010437960366929233,-0.00011541720092549317,-0.0001086802789491496,0.0003035374956563828,-1.0783884052569277e-05,0.00022616131929060188
[4.0-4.5),,,,,,,-0.00012031454067336067,-0.00014790650275186036,-0.0001377380592937755,-6.456421124999223e-05,-0.0004536184107055244,-0.0004018524042335162,1.4334792854252394e-05,-0.00014871169888893972,-0.0001356592366919844,0.00012099980183788164,0.0002888483636869585,-0.00021241657380532999,-1.3742549119224199e-05,5.770445572890113e-05,9.659968097534468e-05,-0.0001096027686695662
[3.5-4.0),,,,,,-2.7165922560791302e-05,5.6040948609116224e-05,2.095322441596625e-05,-0.0002482368702433542,-0.000139175121968513,-3.123623103188103e-05,-2.1322628080481088e-05,8.661197951245478e-05,-0.00012040071664092087,-0.00018906587243577248,7.127478343201597e-05,-8.749710539908561e-05,-0.00019079980098740313,-0.000220650402642347,-0.0003884925907923579,0.00010511232111261751,-0.00015086623904039912
[3.0-3.5),,,,,,-0.0002448152959350562,-3.600458493284695e-05,-4.9164692922267564e-05,-5.850337640219851e-05,6.19470816631544e-05,6.48779804628955e-05,-0.00015732765506129088,-4.3275377459512446e-05,-3.859755956130709e-05,-0.00012179215364559016,9.435032007384151e-05,4.30217929165576e-05,3.712886225169674e-05,-5.9690095051197605e-05,-0.0001072284419979449,2.6286168522386674e-05,-0.00014540044755733119
[2.5-3.0),,,,,,-6.45691077475442e-05,-0.00017900006155220326,-1.665168960892527e-05,-0.00010112022489297098,-3.351437798870982e-06,-2.544740051301e-05,-5.225663375182363e-05,-9.879250692378581e-05,-0.00016031307542700102,-0.00021393431819631613,-0.0002049646725812318,3.3444670701148225e-05,0.00011359367091505246,2.9731017155830203e-05,-2.5694279797121875e-05,-3.696206944210097e-05,-1.1689591711700465e-05
[2.0-2.5),,,,,5.8748540131172936e-05,-8.374186005253399e-06,-0.00015609989796741048,3.5895688889322785e-05,4.837426164405146e-06,-2.028068408823387e-05,1.8043633058595145e-05,-6.335107208445404e-05,-0.0002551058549620286,-8.367621458447649e-05,-8.194768095140338e-05,-0.0001292042365574496,-6.523749191881598e-06,-0.00015378882514661648,2.4304920922405933e-05,4.689830885448236e-06,-0.00012069718632844226,-9.373066130999528e-05
[1.5-2.0),,,,-2.1401337673473053e-05,5.9778862234162935e-06,3.112021196411427e-05,-9.497123983448381e-05,-9.684453321472213e-05,-8.776851372063338e-05,-0.00022060861355967107,1.810279339088864e-05,-8.660610828918337e-05,-3.9353775207332524e-05,-0.00023562742506549536,4.6569073422281886e-05,-2.0622133107468315e-05,-3.0020205594081416e-05,6.78230355055139e-05,-9.528837753554407e-05,4.683337031245642e-05,-6.305699930657175e-05,-0.0001355495413893758
[1.0-1.5),,,9.271134198485533e-06,-1.0118081320427315e-07,-8.051062085403868e-05,-9.789215164266397e-05,-0.00019754421893770178,7.49818178043688e-06,3.2207925006143014e-06,-3.525262029687431e-05,-7.480301175521874e-05,-9.867857649773082e-06,-3.515763908243258e-05,-1.6199531447090845e-05,-1.3530456308847447e-05,4.1953421107217676e-05,-2.972494667019533e-05,6.689396021073027e-06,-8.569660518460471e-05,-1.4563130669790549e-05,-6.746309675007628e-05,-4.427278791607696e-05
[0.5-1.0),,6.1136299657509374e-06,6.5903420011983154e-06,2.161544337055554e-06,-3.733894820267194e-06,1.2144062248364345e-05,-3.246693732090669e-05,-1.1476449964548282e-05,-5.5486773978690014e-05,-3.86292694279423e-05,-1.5928945153290475e-05,-2.3407330098054486e-05,-8.045849479477954e-06,1.894112777408258e-05,-0.00013174929427259893,-5.89215561827097e-06,-2.0471843151112105e-05,3.513357484209862e-05,2.255440196290207e-05,-3.809958670269953e-06,1.4255933909703924e-05,-1.8244463240187332e-05
[0.0-0.5),7.513469594755485e-06,1.991942582576034e-05,1.0903158132652113e-05,-1.159103053393778e-05,-1.4239811145811454e-05,4.758101292031361e-06,-2.1480038700625e-06,-4.540077788051219e-06,-3.6084608241786147e-06,3.087676144131778e-06,9.742992460530464e-06,-2.0117587402813796e-05,-4.317349972024516e-06,5.977910651650529e-06,1.0991817734593086e-05,-3.453628090857488e-05,1.1023427252271103e-05,-6.196665751594416e-06,3.260786827350197e-06,1.0215935071844288e-05,-1.8391533011655047e-05,-6.781354724222743e-06
