"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,6.029155468083181,7.547036428262392,7.0891669811626095,6.830107493411453,6.8084927847390935,8.646234301756024,7.311348180640405,7.57865412935466,6.645284275382395,7.139320949088565,6.727381273927692,6.660931563431019
[8.0-8.5),,,,,,,,,,7.270664025617472,6.447207639683357,7.26020056803476,6.066118089085801,6.405350383350216,7.40240837431523,7.293545507966168,6.7159784313899955,8.286887335780568,7.44693992138213,8.110950617139396,7.570941467706017,8.060954615258119
[7.5-8.0),,,,,,,,,,6.581101135456822,6.3832041990497865,5.924300558213761,7.497679644085387,7.360212087111264,7.676983080852186,8.60173755865677,7.7220811827069245,9.101379983361541,6.590906683040409,8.584006413246454,7.508380450440575,7.4950073204292975
[7.0-7.5),,,,,,,,,,6.035700414979928,6.4444039265394,7.262406142523998,6.28316066632517,7.030270600818043,7.039391050179945,7.205349180617516,8.233419422947428,8.018906675534152,7.4401021132873355,8.479323171573872,8.590653310076,7.721677773104431
[6.5-7.0),,,,,,,,,,8.598439425527278,7.8440802050598535,6.8521775084421215,7.0801663191592175,6.625230029059064,6.702807094145873,6.615763189349505,7.447252898351484,7.84657859288625,7.170532817836727,8.653132285349571,6.974521396192647,7.412028085563254
[6.0-6.5),,,,,,,,,6.290839124554534,6.062024124034206,6.959757091731403,6.202303783490786,6.510027666860045,8.018497707845766,7.926819565874962,7.507977870204489,6.585691313533667,7.477660233264404,8.553094961673137,6.820381678795585,7.798121708319159,6.949137675866026
[5.5-6.0),,,,,,,,,7.53204897125786,6.950402961108458,8.857729656026123,5.931694550250078,7.124651956800313,7.201846841022048,7.354183933390894,7.74293950778564,7.447398141389117,7.051372539907897,8.639105560213011,7.741306638773373,9.182189517334738,8.14019356992386
[5.0-5.5),,,,,,,,6.068809408211028,7.369459490836078,6.811347146542377,6.806461840816935,5.914354709867724,7.1885355008702065,7.248804969550318,6.761707040041186,7.808739021641265,6.2662596031792335,7.1047699483764415,7.4242009118783105,7.233421743292804,8.468063988642815,7.369331057677529
[4.5-5.0),,,,,,,,6.330868617229746,6.251633104016967,6.9208282350583525,6.157454274916132,6.275951268250203,6.83187516605049,5.880001686912492,6.9516866801937,6.740436081048659,7.808480094940088,7.245697270195845,8.309271340670485,7.2617601998317864,7.223093337374197,8.170584109206244
[4.0-4.5),,,,,,,6.224489332412123,6.529834907695956,6.214544364521846,6.688024161110114,7.1342132950285935,6.5285748478266195,6.566091092323637,6.621800839534682,7.513613520783492,7.419415229212565,7.868888327023406,7.7710132997007095,8.02609896229537,8.545336233164177,7.998780332270355,7.1206467025509665
[3.5-4.0),,,,,,8.048312848284699,7.751116947244816,6.755522242139111,5.833673122431775,6.115933741370614,5.6896495770885585,6.282271862953746,7.949392945397271,6.791284889255822,7.913115509282364,7.7435459100472706,7.253107247658971,7.673537503966749,6.989729589487075,6.553228918654665,8.819529267053321,8.113814339833423
[3.0-3.5),,,,,,6.736901544894215,6.047576236085592,5.798349495490743,6.264476917846028,6.447291199327493,5.854384200242299,7.545981051714397,6.61841421496837,7.172897026391112,6.966970055477971,6.392722832194704,8.198171140398243,6.342681564857676,6.494009856892047,7.302095497220822,8.21221994683286,7.838619478432084
[2.5-3.0),,,,,,7.111967109182453,6.617632967146685,6.864503452245828,7.0420223301204095,6.650836775249523,5.889596532308167,6.174565143622711,7.301173633334755,7.094927129703615,5.851993039531609,7.085179593345051,7.867123952495471,7.945692621777533,8.218589059821264,7.046662717521045,6.505203278638993,8.425956366008377
[2.0-2.5),,,,,6.5174982795037195,6.853884524745971,6.5144992717371215,6.415725253751401,7.535240559245086,7.334006559998979,7.739805618278387,6.396415643594724,6.407073530274103,8.14567610771686,6.2332004617936665,7.806616074529459,9.028327550162638,7.223626876767993,9.133196093603445,6.448611610900144,7.983133776494519,6.473632197728659
[1.5-2.0),,,,7.369271456727825,6.892882872925532,6.844566082347166,6.238606463565162,7.4062772498545355,6.211726042512984,6.361757966397077,6.701679241721578,6.29839377590577,6.831267867273849,7.029402159064282,7.126284597083769,7.836787040115717,5.922356438847041,6.146405976045661,7.678671682827727,7.460839709215693,6.907609101292512,7.914098182941713
[1.0-1.5),,,8.871666893253733,7.190497564448868,7.728738455122252,7.918269040218364,6.761246677064064,6.446891074282216,6.1510010079692945,7.334529959606,6.769220821613116,6.231673141810168,7.43338442241677,6.33446830986161,6.682709452661971,7.172277410094549,7.255861300935059,6.463034140489975,5.663335446865887,6.444817092427251,7.124012440032199,7.250838324744656
[0.5-1.0),,9.680431672558807,8.027985014141128,8.696067600070482,7.2421578791325665,7.131289592558726,6.745677938425741,6.244807542119559,6.824415485326443,5.955656814520819,6.503897127008912,7.223828601522451,6.908179808728271,6.949962791007145,7.168700095291669,7.013207847867019,6.255705875976009,5.715736384072972,6.661005716873582,6.148372602211095,7.328180488041811,7.546984585618967
[0.0-0.5),3.5798209387307547,10.220842541114832,8.60714894248052,6.970181674374637,6.81508057092804,7.051322794402433,6.905970020993726,6.453713100674289,6.708517036156556,5.7777853297539865,5.768144230395004,6.437995137219497,7.148625255507082,7.472602994816052,6.669850259643337,6.912615875363993,6.810727795407832,6.95323770259052,6.567965179018716,6.801911102626729,7.373865280489763,6.839952421794743
