"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.206547455292697,8.077050756280395,7.474212547310188,8.283742833723679,7.634450055543621,9.814001461186784,6.541319552969636,7.637803943221028,7.219852308042994,7.924745605318245,6.950021832162345,5.6110207568421595
[8.0-8.5),,,,,,,,,,7.523175807280922,7.111329588692591,9.27910730659245,6.218457399392438,6.884289304598073,7.470929512539087,6.715179464719637,6.329599661725659,7.0044009538306025,6.250857464759491,6.728696269202053,7.298873425195587,7.368742985168395
[7.5-8.0),,,,,,,,,,6.300114243521363,6.336550644250965,6.481372067296081,6.8022767925739505,6.2474195067097265,6.588189235320875,7.0874475816423965,6.839814687501585,8.185087260493644,6.705611505773458,8.156288751439213,6.256680818197199,5.405267653497481
[7.0-7.5),,,,,,,,,,6.132377906385619,5.295522731156989,7.103765471625767,6.814645209649154,5.835933832518283,6.491982656690784,5.834320185757152,6.812858654510967,6.924992041821611,5.853081880380687,6.349299008941344,7.145745232996387,6.227214249288256
[6.5-7.0),,,,,,,,,,8.20920604054603,6.24676485186692,5.828459068878495,5.9853304643291665,6.1731376885940605,6.273375796431254,5.995915009555094,5.124152504181201,6.0607903587492,5.0442822574795425,6.142038071595635,5.667087126804409,5.477232082953913
[6.0-6.5),,,,,,,,,5.78340536851015,5.431731176663968,5.366428449709245,5.620664305566757,5.755775729728493,6.438662906698892,6.440867513717117,5.799538989737979,4.650828740962617,5.324217714161018,6.153070713435707,4.978278046128731,5.65469205809643,4.542494621080168
[5.5-6.0),,,,,,,,,6.12207871022872,5.5594920758278406,6.115152828431315,4.744174167758648,4.936350119973041,4.907563609005865,5.646593592891955,5.809671377487978,4.793959885735387,4.4514104153639575,5.786638118972885,4.934142401637479,5.436162109776324,4.910015131226873
[5.0-5.5),,,,,,,,4.580894331355716,4.562797237850664,4.523734410495555,5.046471646991162,4.317827470795816,4.743171617054902,4.227338765583386,4.70230292790356,4.843025180922603,3.9775754758655397,4.7867924179136025,3.907423947018377,3.8819812629733796,4.33802780375244,3.6850845446092215
[4.5-5.0),,,,,,,,4.230237872455741,4.249955947807326,4.934412055089602,4.3465592208454265,4.1527679553934975,4.535380700447931,3.786492929179402,4.090241704031306,3.999183125394851,4.354918027609083,4.3188157208002345,4.421142060008954,4.278452569276946,4.293200803697538,4.662475930705237
[4.0-4.5),,,,,,,3.5288943457144843,3.548156253887235,3.648831029607485,3.648787257598983,3.9015378522441035,3.6841711277446674,3.6135493661402363,3.826261303335182,3.6056750723063993,4.079444817199925,3.5122828304466758,3.6975901893856538,3.8331693436205163,4.009262848137627,3.8765049851329083,3.217075614763413
[3.5-4.0),,,,,,3.447798475430452,4.143918054895987,3.2903241642497885,3.2649152136537696,3.5488438801621522,3.2372666382855564,3.05980757874958,4.335873529519947,3.2155955380440524,3.5788019839248677,3.5517329506019992,3.159751681813169,3.2149568515225173,3.397862926671807,2.969535685787691,4.171521968440733,2.881923793392991
[3.0-3.5),,,,,,2.8745204852260944,2.624672233713411,3.081870501340897,2.9928723587965966,2.9405063407759084,2.9980870796550687,3.543247563724272,2.9493580646540942,2.8128277534456245,2.5122552350077445,2.8313287969853698,3.0062012987419022,2.6320468764562452,2.579734685567275,3.0199301405777983,2.754324347857298,2.82063173426341
