"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,8.524573171985939,8.036637621756388,9.253221870766145,9.55362345733706,8.599878478128794,11.135173615223437,8.873086236595896,9.334625430950746,10.010038901225222,10.864977410523482,9.046073580750242,9.261327025665018
[8.0-8.5),,,,,,,,,,8.80724278372098,8.632464075648983,8.342778311281823,8.044631115241136,8.427967189423718,7.82404557047042,9.066952966204418,9.195102663707878,8.781506905029504,8.407729910393275,8.431000745268994,9.06304433411899,8.34007959930016
[7.5-8.0),,,,,,,,,,7.930477542455439,8.513158311416932,7.638848927744973,7.7600033587285235,7.928680264630348,8.044304221729726,9.814137900594629,8.759817393036961,8.819776724129147,8.575511589439158,8.278827073230593,8.254936478243977,7.553049966163042
[7.0-7.5),,,,,,,,,,7.594388048361345,7.239327937815474,7.026979036127347,8.455823246517326,7.228345376478277,7.178047963017276,7.023731824901229,8.92022542140921,9.332401212146216,7.7565325451311935,7.541248458735318,7.842132179919508,7.751260438109778
[6.5-7.0),,,,,,,,,,7.182192833009941,7.953172416412915,7.077222713563508,7.619667118314082,7.4597541029458405,7.079860938339843,7.88756964813621,8.158996850562858,7.585661851643188,6.674837718492221,7.249888933681172,7.089698988534076,7.477868918462731
[6.0-6.5),,,,,,,,,7.2711194796437315,6.987230767859561,6.857975981913605,7.4879186310938355,6.663876403668562,6.446503084948852,6.439894861552905,7.053840563362026,6.188354472309282,6.092337281039517,7.213025906554254,6.395708565834643,7.589817474801414,6.15615660682684
[5.5-6.0),,,,,,,,,7.295509874596181,6.429014494928214,7.571035179458445,5.513342674005056,6.537608998720206,6.821735069159326,6.285738942447825,6.413807946245035,5.914458469670496,5.694930321522597,7.70703532335948,7.583511439412556,6.361419467214887,6.796041797408494
[5.0-5.5),,,,,,,,6.079370452047137,6.381529319183439,6.056997614273468,5.958875261651222,5.753654573461607,5.8926676901681,5.1781125587674595,5.024217417565001,5.640956192455049,5.507154337980459,5.409476799923543,5.6146561708512,5.499241116998299,6.412911002227244,5.351344578222211
[4.5-5.0),,,,,,,,5.461319414086655,6.4923320677223355,5.032236360227058,4.9133807488999945,5.03271210297638,5.250814592441254,4.748265263688205,4.5548975549984,5.275829272247514,5.144118663918149,5.178816683622803,5.071916181235012,5.097501550166998,5.17355185059546,5.962664245546144
[4.0-4.5),,,,,,,4.944554313841243,5.5869578419640575,4.578990112601148,4.7997213858757775,5.087809602491888,4.790068990338094,5.043463500602019,5.092174804473996,5.197476189877261,4.995826083240768,5.0671126358226415,4.581908295282661,4.8795423440161665,4.484491801385109,4.672336269311253,4.381669687504139
[3.5-4.0),,,,,,4.735515812649071,4.564143077478738,4.248595593722415,4.099973165378657,4.756307233592469,4.334379853393774,4.0238033042990935,4.563533771730664,3.9927528600247206,4.158100864100386,4.978199200570163,4.484977348066048,4.015941245299133,4.706567982421355,3.8337037001847305,5.2318577313079775,3.594469891205964
[3.0-3.5),,,,,,3.7592330232043527,3.7875977546336377,3.860709300461904,3.9426993923169533,3.365408459158563,3.64302197302198,3.577220555231419,3.9040891239946527,3.657659845789932,3.2462544205935355,3.848019426202284,4.0297218118307585,3.3018602911248633,3.393780428806198,3.3601391721042426,3.713801067764284,3.823620829510056
[2.5-3.0),,,,,,3.371931340142621,3.413092454236948,3.7763729494835054,3.4068116797003505,3.606529675601537,3.0394128274446723,3.189892229689712,3.4548383213151106,3.4030839607247465,2.858987496845853,3.5084525570325633,3.3472641187707923,3.0548641688636406,3.11453442301371,3.6992771314395414,2.8425877497418206,3.1452786364552905
[2.0-2.5),,,,,2.3569452747094997,2.6296316250300196,2.9662867397506947,2.638008570176342,3.448100657867329,2.9017095555325634,3.355279890023618,2.4408453006036357,2.5935584204706403,2.550637375134804,2.3407777934125327,2.7759844237046627,2.772907692654666,2.4611738473870357,3.3153474517680595,2.6020958093946236,2.4581397991426543,2.4654122725999237
[1.5-2.0),,,,2.0160735173800983,2.1685029807578915,1.9759341227622544,2.018843013426361,2.1898126642287137,2.5955832750034755,2.2020784738725956,2.2419558815674336,2.0551598272330454,2.220318105686558,2.3425943703006125,2.201601915630704,2.123156819845931,1.9467394715963313,1.9084157779834081,2.0457879943895456,2.1010292459580384,2.0192753155194696,2.0387647834436518
[1.0-1.5),,,1.3669293919525478,1.3318685067258542,1.5258211740074674,1.775242194085781,1.709906474144001,1.553248771627734,1.4457685031695322,1.6109405208964556,1.5780014437699779,1.3230913444316241,1.8172589219655908,1.4989967348435813,1.447741342476393,1.5869943138154152,1.5357639053151466,1.5007270493203682,1.4222321259473762,1.5501895198365094,1.4980045225756116,1.3846077218861597
[0.5-1.0),,0.5515307541243746,0.7697951034499093,0.9695072519796398,1.0471905828087507,1.0370988469891032,1.0277005135806239,0.9633188015701785,0.989490782330015,0.8592001948271482,0.9106837007293422,1.0786064226159162,0.8877185290432654,0.9577225452113894,0.9049271428765862,0.945967517343596,1.0260152742723538,0.8432777225504082,0.8593929750340406,0.7927082358344881,0.9892330064463104,0.8602939242274474
[0.0-0.5),0.05561097617463659,0.2416436455174107,0.2825794523935455,0.3291203082868303,0.3355268262478687,0.34514865369343617,0.3623820156235785,0.32158223349866233,0.3377595262282956,0.32861218396178193,0.2957818712572694,0.27827964715764747,0.3236262600813295,0.3034233962486488,0.33465894841517696,0.33929881419611596,0.3417557881769741,0.32233897921979143,0.3154858026556353,0.2956209196426122,0.3327185701279336,0.3267188204044199
