"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,1643170.2930764973,9608443.403258586,1647629.241788905,5290516.724180697,3923109.561312963,5029158.173986405,3394589.9371834192,2736574.47246914,2907035.9167215503,373527.92579274887,2118144.138649976,2953138.419440644
[4.0-4.5),,,,,,,2023971.4420238016,3779621.6764611662,995724.1466858094,1159570.057560058,1075875.2508720106,695320.7853337481,3082050.6024637073,507115.1042352616,3190883.6959223705,1063158.3169189964,347105.5859715716,1669829.478392467,1526368.4018050707
[3.5-4.0),,,,,,2794348.3259315975,1801527.6678896805,1083439.4494140923,1028896.2054541006,722924.0847079762,590601.559554098,472874.2833001422,619635.5991657124,500109.1267573316,363115.83055876,1653158.8082306036,311228.933605765,296930.3797865371,267863.9026087704
[3.0-3.5),,,,,,1556416.4904996427,1605275.3234215504,1069261.5514436476,1011653.6320938598,663398.7949557349,400331.71620851837,473631.4530285798,330009.86948489264,301063.5316796811,258093.41472283215,270571.1116917937,227140.49029104903,221749.2155307769,187670.48688346666
[2.5-3.0),,,,,,1404052.2075537192,886899.5571779921,971013.3491706278,640021.8729826579,514770.29488563974,355559.9058009692,331449.4569269461,286159.06279335386,266394.2779269673,284373.9441852741,187582.11113447457,154974.16362380004,136869.3836833849,150213.16848008195
[2.0-2.5),,,,,687734.7775254169,877439.7539543513,721106.6549127572,588329.4123844698,539166.9247439973,353167.93484692037,429019.99286063487,231568.80275385038,192930.6286930841,183939.04776367685,160126.34483257154,121753.61079035883,153723.59676545023,153582.29441340527,110872.13683488012
[1.5-2.0),,,,512095.0514934267,582907.3136839363,434976.744353001,436072.05992924504,334744.6991478942,415327.7329151809,205747.87158224126,199567.65976425546,143236.57023567538,130749.54371087631,132984.62804378787,179204.16299853448,94496.64320574928,85563.81953179759,83730.85152498995,75615.34869289158
[1.0-1.5),,,191103.13131238872,232228.57033274096,282740.93740966683,276635.59641061287,247713.8012438228,235902.42425887153,141686.93046554844,170783.30876496024,116079.08842154345,92182.6599201308,114944.20492513866,76125.3772229079,71200.82674014775,58289.51841069827,51425.211456026336,51083.433588458436,38974.24284902442
[0.5-1.0),,57181.17220372103,90957.52821171276,117958.91304878342,109101.22897550427,121136.13971671692,114399.69668269387,76566.66162848892,83010.8586409445,56127.12637518809,52549.75723033696,45326.34262699716,34154.569438945924,39134.34168413928,34315.585787920165,30912.11732620517,22070.694139006242,17059.05542833849,15316.700446331204
[0.0-0.5),2221.6271901214222,5353.26746945669,9085.861907019193,9691.751366408967,13583.732553454534,11630.22810299902,10799.242483695967,13943.485700891806,11370.834654843544,8494.448861475339,8469.644587691759,7659.685047857851,8536.012771806036,5969.342988782666,5881.541508806188,3370.2012787778813,3509.1190402167103,2740.5488518607067,2401.905482056682
