"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,16.492356406325808,117.39200021314514,24.244535656625366,92.62110271787466,76.83780666619785,112.84391583518153,80.3121187510209,74.05106479757733,91.86400329625243,12.784705428788197,83.06365186312249,128.36018884307646
[4.0-4.5),,,,,,,18.663563210102957,42.84896689445986,13.90747856768728,18.336541518041006,21.065202516563694,16.004918227329014,78.14811799210689,13.584419208506537,97.98505837391262,37.64376789324567,13.721185480147378,76.17483328385866,74.07048005465577
[3.5-4.0),,,,,,22.986278433771627,19.079517447467932,14.011359086759187,16.286118240900862,13.202195328979624,12.83892138875381,12.246402951190273,18.84302943750866,15.289600531353862,12.953915424212909,65.10990900167523,14.272244797488238,15.793124394977609,15.41204786765979
[3.0-3.5),,,,,,15.119452736732276,19.654298124552724,15.91367513076039,18.094580373518358,14.543021986539273,10.275625907653142,14.176875543852013,11.361191293402385,11.123856408846175,10.986984687701725,12.615408766453447,12.21092477619349,13.68138784232459,13.037562408114583
[2.5-3.0),,,,,,17.873677369571954,13.171978251112561,17.238970641696238,13.955782620817331,13.70293870056894,10.985966523963494,12.063014536246856,11.691914751634506,12.052989952730034,14.934654130503505,10.971435610400496,10.476663424932598,10.687181707802852,12.75010161069936
[2.0-2.5),,,,,11.925518031267877,15.143860921069104,14.610022412410887,13.83958774219439,14.840263083033708,11.39070529693729,16.528097755268828,10.63843130021068,10.189784266322095,10.969676476287507,10.666256102712927,9.656131304626843,13.152730071288786,15.084291581713135,11.956316265900279
[1.5-2.0),,,,15.018244429487028,16.775422154660745,11.838527149415043,12.830940977357749,11.21496114844165,15.451473583561388,9.3124689291557,10.487066086584322,9.1631039299832,9.34861558933903,10.966624779655142,16.75066349106904,10.379613062331957,10.121957669986132,11.796659211773292,11.953946358298408
[1.0-1.5),,,12.757805185004361,13.24468858229083,15.670141879492633,14.73242484618404,13.27216295387536,12.874654687180955,9.043666293216804,13.117777386783091,10.042901912623478,8.939445312958036,12.977689575923284,10.159064727026008,10.746779073009177,10.1921608459442,10.492299416585134,11.604945253428056,10.20276220045784
[0.5-1.0),,16.88990183252693,16.883568078706695,18.702574054777454,16.48639422801417,17.644231666744094,15.64150839416927,10.825150624781074,12.055784846806148,9.308938242252774,9.948216927410591,9.817001619949782,8.514604474782466,11.939743353477276,12.637630152578183,12.291731945983807,10.196979316643128,8.965674167790134,9.144989509416236
[0.0-0.5),15.905705358674656,14.156531697454106,15.012014477508455,13.595977930840712,17.99783381211857,15.508201683001406,13.492167012193438,16.488042911587296,12.14630354529765,10.861338939378808,11.586982435306325,12.678168048583565,15.766863681830475,14.171833256997031,14.519080464395014,10.804481863452235,12.357079252190106,11.863308024832342,11.027562314172826
