"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,3.4920286715897992,9.649537650314556,3.31944536665378,15.719891829000044,15.655240176278532,34.5226508398591,21.596670835911976,15.280749529775527,9.173797338139378,2.9080876843822994,27.928035564706946,21.690034766406352
[4.0-4.5),,,,,,,3.5696472868987144,9.58519911218295,3.2889060241977743,3.261100475084336,3.18606123460096,3.098905916077396,9.151755592404417,2.8590048722515498,9.1244570402246,9.175136533492108,2.8858878874801794,9.06216943819207,21.228315677657875
[3.5-4.0),,,,,,5.077491843372757,3.4528955733811992,3.313658670332486,3.300936667305535,3.1651749803710016,3.068312374612115,3.0465896257851077,3.060687710860802,2.8647566750708857,2.758806641540569,8.99942363640426,2.783969600401292,2.8124255723042433,2.686512403808712
[3.0-3.5),,,,,,3.1964689459174602,3.4353466748955164,3.2264629978125585,3.196540441283499,3.0937234161691016,2.957113249522826,3.0239164106495013,2.8257989103929564,2.78591064614721,2.7171309387176805,2.6617915787885407,2.6849303730869045,2.5536930647202882,2.5767400866978383
[2.5-3.0),,,,,,3.246031203046706,3.2306064776230414,3.2127925202971896,3.104796001758265,3.0404752302396423,2.9086280304035736,2.823646043655084,2.8677529484247186,2.6788747142756737,2.6368013248602864,2.5771842110292247,2.5524211007405846,2.471620305541875,2.5089500131419253
[2.0-2.5),,,,,2.3947621239864576,2.9738431829742025,3.140517576212029,2.991038991851349,3.081433140543401,2.8768772675885295,2.9078685721360555,2.7512358614540715,2.6495655219125656,2.5355771022163873,2.427807944927349,2.408388046188439,2.5033209217867136,2.348617871045521,2.3992577692295303
[1.5-2.0),,,,1.460057662146299,2.159247553817711,2.630262406786045,2.8763850626923775,2.856452351737904,2.85920561331928,2.6683561683836667,2.577159105561,2.522122605035091,2.491422115324416,2.38641677515615,2.3886520494226176,2.1323690365342034,2.145674559677354,2.233926337455613,2.1603892130925897
[1.0-1.5),,,0.6733040346995207,0.9817030916278255,1.5687404984854827,2.3734894112373217,2.6346077364584897,2.6456244823125283,2.45491243294566,2.424277283777978,2.3991370222686,2.2093644452127994,2.4152585783980816,1.9297638941297992,1.9376276570825448,1.9841118294275883,1.8203517519580998,1.8000578048715719,1.652819600587519
[0.5-1.0),,0.2497156491715541,0.45358111644551385,0.6687859375816025,1.0061825706792038,1.5958874483512542,1.933227276017262,1.8451835729720383,2.037083495777445,1.736351049377634,1.8286393699043035,1.9641319510710562,1.6638809390595521,1.6075392049374564,1.464134429004193,1.4384184288287714,1.2895174486607601,1.227411703129593,1.2643253842811761
[0.0-0.5),0.040982953521905605,0.08236010635277745,0.14830782863589836,0.20547515195828775,0.3125784371905693,0.48008074701110337,0.672725097281933,0.7835502056705075,0.8332452431051434,0.7524823351605773,0.7940869886890534,0.7512993855820709,0.8013008085339672,0.5996194533823285,0.629784857487574,0.5523208774726224,0.5283012160292404,0.5776239701531005,0.4383990588101242
