"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,1.5579151268863665,1.5219340956957437,1.5046279249864447,1.4441645232487064,1.3935272005331447,1.4100376926772111,1.2864331996148974,1.2162628927465908,1.2970537721656312,1.322915279956254,1.3102578805272618,1.2786468827447817
[4.0-4.5),,,,,,,1.57870512808282,1.5815730789374385,1.5313688282624847,1.5020243350513054,1.4463066177457915,1.4326748245256238,1.44067751022135,1.3233079672549581,1.3310005426261673,1.2998351958980763,1.2889347220370533,1.3033457726315718,1.2312693122671134
[3.5-4.0),,,,,,1.5213213751655004,1.553038292096589,1.5037290648029111,1.4910166568292154,1.4605905501866019,1.4146954587351517,1.421644100958119,1.3866729286925819,1.3129062683809114,1.2498421847291503,1.2559136729719484,1.3044091092091636,1.306064396089348,1.2242914014543382
[3.0-3.5),,,,,,1.439077832831386,1.5300652603492704,1.47614184778809,1.482967302818547,1.4144272897126342,1.3557474244237633,1.3930264149035603,1.2926920306290033,1.2863638425124977,1.270158176692276,1.208249540664176,1.2523503094959334,1.2286286184920405,1.174473808981019
[2.5-3.0),,,,,,1.4691057918653354,1.515801213218219,1.4508244463730255,1.4119626939110423,1.417085837532158,1.352160632794575,1.288668395138176,1.3207387491403664,1.2350393910649078,1.1873166553116445,1.2047055329578398,1.1934775848461558,1.12365922439744,1.1508545310056468
[2.0-2.5),,,,,1.0956603680001906,1.346751284191465,1.437816654260961,1.3712972700787933,1.411417967033679,1.308444202278467,1.3310094877692005,1.305158638523924,1.2608153941142515,1.1810474681343013,1.118679097844481,1.117068014017802,1.176361054799202,1.0389085282138637,1.0475683068140869
[1.5-2.0),,,,0.7583139184013369,0.9912016887207236,1.2362167981045447,1.3168682003621117,1.3641175095729525,1.2713780441068343,1.2468217656936276,1.2043477311978181,1.1515909818665664,1.1706244119143694,1.0813106223751792,1.0341011168354104,1.0397568008154037,0.9632433978066005,0.9940519287344158,1.0022514421779627
[1.0-1.5),,,0.33862102756260287,0.4710598144707399,0.7950355316953017,1.1521615148158642,1.1964684282550362,1.2026258383365278,1.167265392905098,1.1856451379490562,1.1205001355357382,1.0340976373077442,1.077758384997218,0.9244945951330632,0.9284427579560194,0.9182967195901482,0.8587144676267876,0.8377451232090284,0.7837994946940051
[0.5-1.0),,0.12542346172253377,0.22096783061643735,0.29494750150887133,0.4477387404283555,0.7033327076091771,0.8470723199768612,0.8750408409561234,0.9565128727823806,0.8054722872689998,0.8567024136337732,0.8749787995500435,0.7736848634636785,0.742553100638089,0.6992877735686669,0.6725807624588448,0.6179748884999481,0.5753090454644149,0.600846880930081
[0.0-0.5),0.019854592171127762,0.03952279473233249,0.0721543488890539,0.10254770922556501,0.15380888254369965,0.22732053519083856,0.3157239463196261,0.3791896619081842,0.3808673623439533,0.3444586854877603,0.36126622691826693,0.37067159789877285,0.3789771433597779,0.3154550285246966,0.29116070314274056,0.2646221954851493,0.2598138667028242,0.2858996194314998,0.21669556828902076
