"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,73.149671778481,28.973962376586027,9.958567367554885,3.9462981286788086,4.010079440913031,9.837094034266535,3.3529585223937324,3.291248154348771,3.574308360815621,2.1675885994101285,2.4248282317212158,2.182391223387818
[8.0-8.5),,,,,,,,,,91.94376428706067,54.37320842330098,22.598942754740293,3.8128554577850116,4.15210183103808,3.656822581645418,3.289118757269702,3.3620633424101993,3.391778924486036,3.3447636761949,1.8135954693625869,1.8633647640461386,2.231546961168928
[7.5-8.0),,,,,,,,,,47.641591388236705,51.30987524365822,28.99285611816659,9.98103940202688,3.6038915828474303,4.063738899023399,3.54407470806969,3.4643449461974973,2.298794829551577,1.709461937698969,3.391169518599024,1.986900802627748,0.8526622072297926
[7.0-7.5),,,,,,,,,,41.39674471723409,16.173335629877187,10.336001589706449,4.201962213847252,3.4413453656434516,3.7677346201513604,3.766106589107532,3.539994106704319,2.9337109445945466,1.795142310899418,0.8173997006003698,2.1887515000428293,0.9618159563547817
[6.5-7.0),,,,,,,,,,22.678767672831412,16.289359705882557,4.086755547305802,3.4596294411714497,3.0928631730615033,2.220360890378561,1.9178736283779545,1.866447078584653,2.3070463506226333,0.8023178224215857,1.4437064329246587,1.1327501217623224,1.1757997879694542
[6.0-6.5),,,,,,,,,21.354963375043408,15.922144385718546,9.865382132304418,3.920800583975387,2.31906997612044,1.9905915031524088,3.7894191577890286,1.9342224228892966,1.5678884922148828,0.9564506025556134,1.720861477715191,0.557099345915057,0.6804032791739673,0.24866669595053997
[5.5-6.0),,,,,,,,,10.256951387481488,9.836792045875033,6.7532376793832265,2.630124952078745,2.2541045140858245,2.5323879969915093,1.883639615373717,1.819625405820241,1.5347945201896693,0.683640652180301,0.48464524788388397,1.1968241627072904,0.22172484436421655,0.29774142582512886
[5.0-5.5),,,,,,,,1.7397833143941626,14.440028770711978,2.741379643645677,3.8479033482820992,2.8393105187231287,2.1238360094976527,1.9144231454527287,1.35338544733418,0.9310712345439472,0.4969736155205793,0.7767831190680785,0.3252595413953699,0.16463579023577987,0.1919567244986736,0.17583060601723438
[4.5-5.0),,,,,,,,0.8598974502327901,9.841913130858032,2.4895264775452075,2.1608114866189103,2.3552380724626616,1.9361797266695526,1.6356837567331703,0.6007436479443484,0.8360292242678303,0.25038918278521166,0.48503089711898173,0.1842693471799761,0.2279924654091136,0.15987338815166718,0.2297104370734515
[4.0-4.5),,,,,,,1.578354372385455,0.8478082987671898,3.1822050346823927,2.284738389058495,2.0767461005091556,2.039744232049793,1.5090063845764512,0.7454935546559992,1.711057257156348,0.3195565925963953,0.2531346893180697,0.23522430367776492,0.31818159077922076,0.10363510336197253,0.10725364879827312,0.10318556079731807
