"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,86.09563329427122,81.924698150414,62.03951188531885,68.51922072570147,69.34732634932648,82.00860707985662,57.89044485014364,59.49181126017269,81.18334538489034,49.59955521346181,53.70973053673675,49.03091670332228
[8.0-8.5),,,,,,,,,,85.48234068993153,104.16265313074092,83.67589081193783,56.81846290400747,64.58522483585669,53.55908385560347,59.91948877191948,74.32934999895636,52.54986001677319,73.82790666925949,46.44620362666934,47.71138057519332,54.576002471858565
[7.5-8.0),,,,,,,,,,73.21159088761326,56.90477688607451,55.284024500490375,73.72011265675745,50.79523698787363,70.70029104769996,67.76912205748253,63.51098771930488,39.44040132399444,33.076781126078274,81.24740256397087,51.20744153121571,16.9765793739261
[7.0-7.5),,,,,,,,,,59.774042609467074,56.00888539637225,68.69774870539177,71.30897703134076,48.8548284399083,61.1736694425036,38.162819306238234,66.53028429819184,47.11366391488153,36.101610683855306,16.043926267649876,47.763137502673366,19.65290644091925
[6.5-7.0),,,,,,,,,,100.3111758986159,72.3621948128261,52.36344844160954,49.51717627539379,36.45870288139906,41.40250289170849,34.51330616966509,37.09908713254085,46.16241456921445,15.430415325757549,27.604395440485227,22.631266684781735,21.198566826191037
[6.0-6.5),,,,,,,,,190.94033717304987,56.4891988340252,45.624166003451165,46.58559173121757,43.048883934519274,36.12683118271058,62.79395043213166,35.14569851395516,28.91126605206339,20.3034746822286,31.422753612897022,12.498848276148856,10.850094748898183,6.814772770325913
[5.5-6.0),,,,,,,,,59.08358703842234,46.37887523869892,60.11483102892951,39.91645285439158,31.953829205958385,41.82993065757868,33.30848175913916,31.629613848418575,25.46235713040977,15.527786079681109,12.62979934298642,22.018405529646127,5.60797985425893,7.45098889339224
[5.0-5.5),,,,,,,,161.12401328139694,50.558298505805126,49.49573629718845,43.239316853621276,40.40922218897457,35.78662330770192,25.3781817668165,21.999940802754878,17.190759382835623,7.96709551450695,17.789739359281985,7.162899798528289,5.240328685291138,4.699865361414138,4.52245974976598
[4.5-5.0),,,,,,,,94.44201865519199,41.40780270884813,47.142326975681044,38.93318145992077,36.891863945825214,28.030789365876107,29.643438348715787,11.3579999136334,15.478020964985205,6.3391810321380975,9.56782311926567,6.054075397816343,5.516859009443049,5.5988601914625455,5.78200837863919
[4.0-4.5),,,,,,,126.15162261234752,91.34014864582365,40.16210266003998,33.16017286470216,31.170544094679503,31.124353492420507,29.003521255890707,11.640579924994405,23.67738021864994,7.045135389697719,6.660859396797833,4.869293767084974,5.28408596256129,4.437070007004948,3.550871550710463,2.702873669597787
[3.5-4.0),,,,,,159.0127422983972,99.87631692556614,51.61748700967069,34.70563334958929,39.719418351981666,25.5525381051759,12.107369932062158,8.738884071466979,12.289669459078425,24.815633805909233,5.756994258665554,4.945929600851208,4.0425261094641085,3.8071515864534597,3.1779529265947004,3.062428356927442,2.4031313250018638
