"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,79.09286615719888,29.39645930521572,10.423704479433175,4.452139111502098,4.369764985694097,10.050126752752025,3.5813687362879443,3.5552692605359333,3.7550636248812848,2.3130490930733973,2.565311062666278,2.3452112661015323
[8.0-8.5),,,,,,,,,,92.6602722350087,55.09529809469775,23.05110512766727,4.254666734307814,4.542423331350107,3.9836952654019706,3.4975972519523952,3.2775938342990067,3.6092057810157994,3.5203103748028752,1.9698782055137314,2.038287170761129,2.3668950697816107
[7.5-8.0),,,,,,,,,,48.2822140277371,52.16010949855552,29.556437361303164,10.383989722384284,4.049117159554405,4.3611483304190815,3.7821606712618365,3.70660212773716,2.4887222093031416,1.8916910901297688,3.5400017692473953,2.1325243515613335,0.9944606847323493
[7.0-7.5),,,,,,,,,,47.07805800931242,16.731345608963245,10.886786215781312,4.753884077932685,3.7422766885907794,4.109392115317589,2.503763927103906,3.782967559173962,3.0960548831866666,2.0012019076472756,0.9695372345865219,2.3297763184069584,1.0926249786812976
[6.5-7.0),,,,,,,,,,23.33514032888648,16.991318093123873,4.594632453135545,3.8770922559221916,3.482211560593002,2.466576904932081,2.1666512926603887,2.078198231573378,2.4612798491559236,0.9681878413729751,1.587512504443059,1.283079574413349,1.3264738365593938
[6.0-6.5),,,,,,,,,26.58649017672245,16.478343983345972,10.378447463112439,4.198721900187122,2.601844770365178,2.272545941425187,4.0826686975828945,2.1761167616082813,1.7930459549916118,1.148252609101984,1.8816677433067655,0.6745719256120664,0.7982754999428588,0.3628858649827443
[5.5-6.0),,,,,,,,,11.693231131425252,15.465920853970259,7.335214720373813,3.142147679871547,2.582969474847447,2.816325766407611,2.1509225798051297,2.0592534920979033,1.7223956927482031,0.8333483970616257,0.6462355167424718,1.3273426305705847,0.340605337120945,0.4119685627057833
[5.0-5.5),,,,,,,,1.9263654405852835,15.08504302763158,3.4130358215088337,4.4042802729561945,3.099690988361855,2.4387999903321016,2.064374738300276,1.6143752370416047,1.1196679261513354,0.6446160272098467,0.915145153649217,0.4495400986463586,0.2739757539691718,0.3018120828247235,0.2739336794219319
[4.5-5.0),,,,,,,,0.9625002315831226,10.756320065106822,3.174716665297304,2.677461019792627,2.663730942216761,2.180419262734395,1.8616459773984315,0.8214141683662742,0.9904627974544531,0.39475842784335724,0.6185750134754578,0.3006608886807426,0.3490364252871617,0.2665025151296291,0.32017563005554467
[4.0-4.5),,,,,,,1.7672337350585159,0.9644152746492319,3.960043472221249,2.8840951197702642,2.476393324098618,2.358675761580347,1.7410215108271654,0.9698075245732373,1.895889973057377,0.49613125277547354,0.4117305581947528,0.3723500441318896,0.425749902963473,0.19778673862299434,0.2055454477331824,0.1905774096221125
[3.5-4.0),,,,,,3.172268000090469,1.6053047843011952,0.5559252914791497,2.924040944244616,2.6245955772740284,1.7745050460049516,0.8961122844483441,0.9482776390718131,0.8011766419090829,1.9365421700185226,0.4863238158434326,0.29332752575859233,0.2867356386221913,0.2520073180572972,0.17036937776987982,0.16862275830658374,0.15254452131673024
[3.0-3.5),,,,,,1.0911292060975273,0.837397465292209,0.4857133311534907,2.7225557650310046,0.8709682835200122,0.9278448216665056,0.513495991652024,0.4070639172326406,0.4058414540113307,0.30617826907481865,0.27263482855205623,0.2341649775974036,0.19959574436425476,0.207325498311134,0.15330721748744008,0.13376993716681318,0.15499163201197008
[2.5-3.0),,,,,,0.8287907980360305,0.5579429572331399,0.3960751636174889,1.608279116318597,1.8684174428287461,0.5638719878139318,0.40224640699935293,0.3329596716919054,0.2928038011898271,0.2866502810738454,0.2160125368654644,0.18011975474643283,0.17270332937711783,0.14955263297192017,0.14883703004697046,0.1320461590820502,0.11885393186865328
[2.0-2.5),,,,,0.8207540645425121,0.6384288914617701,0.4186496759915188,0.2394493595808097,1.836619804473161,0.49707324132667824,0.664969654711429,0.29260327397965935,0.2543763725628205,0.24160996881700736,0.1953622064802229,0.1845389729325152,0.17047808447149274,0.1543964186131721,0.12456092801173733,0.11392505884154391,0.11348796833977207,0.1112416452870985
[1.5-2.0),,,,0.9872989773664931,0.6176144355931432,0.43543239633396735,0.2907203896952554,0.18215309087357795,0.5382779221769423,0.3896725952602891,0.3145060363759506,0.26410063986471954,0.22632253095277138,0.20465101098882746,0.16632526876433004,0.13539799023828156,0.12428066050809468,0.11497184336469621,0.09619028499898516,0.11014031376758639,0.08999676500655948,0.08539336792706287
[1.0-1.5),,,0.8752195483342478,0.6569091077037151,0.4460400458207189,0.3156397511113241,0.19136944217420776,0.16116131597061606,0.37602171698329534,0.2771819785396755,0.2175711774322005,0.1807477039984372,0.165955849649829,0.12966696226054655,0.13172642420034403,0.11187154590420653,0.10233137806482293,0.0869590636136612,0.07694304023769619,0.06451380519784056,0.060170018888042034,0.057863582297261115
[0.5-1.0),,0.9447434293717959,0.5129656825118788,0.35469369218180624,0.2548744849992698,0.1959298676420933,0.1096743486299093,0.07000051546122082,0.21493116414243393,0.1523124016242388,0.1366409986267171,0.11594971828006681,0.08668325038934652,0.08485915954736249,0.07072570543839882,0.05871719277136044,0.053061223839605626,0.049111593733001724,0.04836640814654672,0.039489041372291,0.03523753107820509,0.0341648109521753
[0.0-0.5),0.5514482225719012,0.33740240426169477,0.17703377312804824,0.1354934708832525,0.09527468528278896,0.06739613782967964,0.038648748791926146,0.02645949578391074,0.07500945493883751,0.05374921648933768,0.049560510346269335,0.041321685450878026,0.03270729853090648,0.028648678334587577,0.024225119060610846,0.019420287036431106,0.017336732396839923,0.01778785951756094,0.01396536842534081,0.013357115329120402,0.011347224078143224,0.011705559223003509
