"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,14122.853724286462,11849.086776989514,10730.73117924237,9266.057951546625,5893.891866058454,6188.991081803067,6065.101148183453,5711.222709783887,5008.392643721132
[8.0-8.5),,,,,,,,,,17159.32030464053,13473.730284983616,11308.572808634057,10170.451629990523,8706.52790983482,5607.022667554829,5871.355137787936,5667.6444972972195,5401.199498807152,4723.846063652283
[7.5-8.0),,,,,,,,,,15984.212184836173,12486.635836305564,10531.585457481537,9539.259483351481,8221.66286848001,5273.8823657229395,5491.197934121928,5358.687594702084,5116.807642706828,4440.3096256060435
[7.0-7.5),,,,,,,,,,14962.339287224233,11848.245749064745,10038.099600066416,8972.531909073963,7727.529770485098,4967.429699233659,5142.619212428652,5012.6252177137385,4777.3535609664605,4156.059255479243
[6.5-7.0),,,,,,,,,,13919.970319781574,11012.471124332213,9258.572696322579,8395.691864926051,7213.729553372426,4648.565176469223,4793.136397327999,4656.9145632808995,4426.818164479306,3894.3203477731695
[6.0-6.5),,,,,,,,,15976.352710586141,13123.402471589887,10213.5272001791,8595.954487687182,7768.122108908883,6708.316052614025,4323.591543862199,4487.8016248292915,4324.663052410454,4098.5427667720805,3580.4082600234615
[5.5-6.0),,,,,,,,,14666.410963385393,12014.92056376393,9438.93588980758,7923.35078428023,7189.190594127364,6156.940482312719,3998.9896919227695,4127.370717573383,3983.9985505216823,3790.5886971270356,3319.6256993892275
[5.0-5.5),,,,,,,,17395.48355274669,13442.511729278218,11075.70944206166,8621.202175451603,7313.145170212959,6554.379497760491,5641.732402842264,3653.648543875476,3774.395633026026,3663.4493738359643,3454.899063783786,3016.4776652646156
[4.5-5.0),,,,,,,,15683.563851482655,12187.419486381468,9986.794915791403,7837.131298654694,6630.533133335052,5980.895596832375,5097.309626123959,3346.4776912482366,3430.2412991166057,3309.1150615868796,3131.8657224846706,2735.1565006337387
[4.0-4.5),,,,,,,17945.772287729218,14203.635503673662,10988.436685715606,9025.148449040777,7115.566153836669,5985.146768802694,5352.741067547562,4603.50451772812,3005.9226533795327,3082.160471655118,2964.3543370297843,2794.5653499337222,2461.250146370466
[3.5-4.0),,,,,,20103.562428934292,15851.397837405437,12679.662254539162,9695.709578296455,8042.514930643146,6305.801845958188,5273.0094956942385,4784.3092832771445,4079.7370790497275,2662.5962800838856,2738.777690145962,2630.435274045101,2482.113803073665,2169.4023281136415
[3.0-3.5),,,,,,17702.134956033555,13837.734200651237,11082.771651196592,8480.329160938545,7009.938622714619,5460.660576635548,4600.777012808212,4145.000437173033,3513.004401976853,2335.4575662892103,2382.7144442895074,2275.735056214983,2158.8705135606847,1871.2933618659856
[2.5-3.0),,,,,,14886.503249196701,11827.756667309737,9527.483053951235,7220.8273097375495,5936.506284008734,4624.140538527972,3912.25108421289,3506.485409769613,3010.2658625171994,1983.340138218967,2013.6609645726526,1929.7905191998457,1812.9357117925822,1597.647237182137
[2.0-2.5),,,,,16205.755694117479,12389.321188246102,9822.364561916214,7779.852947172992,6039.050188952134,4922.149686376759,3843.333328803583,3239.867168400429,2883.4426850001746,2485.945487430567,1647.7339254451763,1658.8209481780161,1576.27017262672,1485.622673253708,1305.1495576152743
[1.5-2.0),,,,16381.28968849571,12707.132876021711,9785.446646545672,7623.437519459629,6166.614512745927,4699.301322103086,3830.35804762276,3000.733543425533,2509.621272001775,2257.0796889629773,1918.871279011461,1299.3568268371043,1294.6390705431447,1230.6273557469895,1168.1089876219526,1012.2784243910986
[1.0-1.5),,,14801.339722900468,11877.008307481176,9281.226540142061,7164.4657770415015,5599.791198850736,4410.88893348917,3380.267662636635,2784.483518302054,2169.017057563648,1819.5587704992602,1613.7177990828025,1382.0226490442856,932.5765726483809,928.2132096877023,879.1001934972986,824.9931897186608,723.8051159005225
[0.5-1.0),,8217.55994018475,9191.13280485975,7328.123374946729,5626.527616983678,4357.095092605775,3352.3199060583934,2676.227155953178,2034.5894362247686,1692.603174302393,1312.9119488763047,1092.5251018357694,977.6699186093072,833.191388618106,567.4326719813885,560.2691554721212,529.7028571284457,498.3859390732382,433.91693770229716
[0.0-0.5),1361.8867935964438,2733.3230700635813,3202.984464748727,2565.6447126586745,1948.3010822083384,1500.0494610833275,1152.1388246052868,896.5166833001579,693.7039682262979,568.1508832062244,440.577965430972,369.08652454412464,328.18380744656235,279.4252650681523,192.15352323354213,188.43405745404806,176.57376681895303,166.57800196982404,144.75125833432588
