"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.344650640760134e-05,5.929096044722603e-05,5.253357761398453e-05,1.7097022721288412e-05,3.1497521386777726e-05,-8.171192873557088e-06,1.177212321077907e-05,3.5863098223226765e-06,1.7784140214674613e-05
[8.0-8.5),,,,,,,,,,4.7874545462513776e-05,5.316465359215369e-05,4.767215054373234e-05,2.871341248712685e-05,2.1805087694986495e-05,1.8785222341999413e-05,4.870876444238182e-06,-7.364702022241523e-07,1.1761313665520262e-05,1.891812552801961e-06
[7.5-8.0),,,,,,,,,,8.354769056251882e-05,3.483401122199433e-05,5.908012483930448e-06,1.90217695076775e-05,2.7009101295799675e-05,8.735434673173739e-05,1.2262813948107372e-05,-1.829314716674472e-06,1.8198246429724497e-05,7.407399648657079e-06
[7.0-7.5),,,,,,,,,,1.8102044788037784e-05,-7.121841773004229e-06,3.660984366409968e-05,1.5596267648228926e-05,1.4430375264023506e-06,6.976603910550021e-06,2.992521896578655e-06,9.368260605350788e-06,1.6166702677746194e-05,1.130525233748185e-05
[6.5-7.0),,,,,,,,,,1.8625099470943135e-05,-2.869946980190263e-06,-1.8219316557100207e-05,2.3179433929078633e-05,1.939290669032214e-05,4.436763564691383e-05,1.4187380209312937e-05,-7.580469295066805e-06,8.553772453475012e-06,6.077568430307851e-06
[6.0-6.5),,,,,,,,,3.469036430892822e-05,3.51083249610661e-05,1.949832744401349e-05,7.771652921293712e-05,2.3130022573222467e-05,-8.885086511490601e-08,2.9474766308543516e-05,5.514928239316291e-06,9.876219943065053e-07,4.5549391279865663e-07,9.782397180050871e-06
[5.5-6.0),,,,,,,,,2.7275854301110683e-06,1.0054784102369158e-05,4.345117073744015e-06,-7.010495530520663e-06,3.161658353350862e-06,3.27987600511592e-05,1.9269852313516305e-05,1.446638736598683e-05,7.108619276001665e-06,7.386391042383588e-06,2.0068690114760877e-06
[5.0-5.5),,,,,,,,7.926098658216031e-05,7.1718979115567535e-06,2.019951617746528e-05,2.0373435637173832e-05,8.46083567563867e-06,-5.75815111932124e-07,1.4497022430387382e-05,1.7911866774166945e-05,1.8516881732376401e-06,8.08800725592947e-06,3.3738982435305472e-06,-4.792012627493457e-06
[4.5-5.0),,,,,,,,-1.888607959521024e-05,-4.398320159396547e-08,8.754322024612755e-06,5.1138579641104866e-05,4.472794154690006e-07,1.5759753957148083e-05,1.0680377091041346e-05,1.09399780201675e-05,-8.77168907028546e-06,6.168327120908311e-06,8.240082175828527e-06,2.864604597136752e-06
[4.0-4.5),,,,,,,4.572241552093319e-05,1.1578033720047975e-05,-5.294783672173115e-06,1.0003641731341715e-05,1.4008190397637874e-05,1.2577334078946568e-05,1.1932931732016119e-05,3.886686589957263e-06,1.3603594137851658e-05,-1.9531218617914303e-06,8.08961328157791e-07,-2.629177691785051e-06,-5.568017028580769e-07
[3.5-4.0),,,,,,2.9710697787692975e-05,4.496749268133083e-05,1.6724857987378916e-05,-8.588671383015917e-06,1.5369558798896662e-05,1.4712310565231151e-05,1.961747449622852e-06,5.084803673029521e-06,1.6646116476992503e-05,-1.1149852327948057e-05,5.706446815159464e-06,1.6522054419853341e-07,6.392102270790061e-07,4.851126441885597e-07
[3.0-3.5),,,,,,1.181249563160302e-05,2.902404334116201e-05,1.8001602928461645e-09,1.156375847595821e-06,3.163689633150897e-05,6.043584342878911e-06,4.3739318669055815e-06,1.1052636024288207e-05,4.41702161889305e-06,2.2457256953927405e-06,-1.8980177896642806e-06,1.4353116768124571e-06,-3.724420270881827e-06,1.7755432995460004e-06
[2.5-3.0),,,,,,4.483998814537801e-06,5.2839850146457e-05,6.210453984176543e-06,7.855174372867343e-07,1.4300283204708849e-05,5.758964275691069e-06,2.3140085383933575e-05,1.4668439086518417e-05,1.1611295772764128e-05,3.189469367477643e-06,8.520191493542468e-06,-1.3083046630159596e-07,4.63539010275459e-06,4.102459307439327e-06
[2.0-2.5),,,,,3.0907164851141846e-06,2.1303723586286377e-05,1.4051799400852947e-06,4.5848816134005865e-06,6.442738348371247e-06,-6.501494864631981e-07,2.89930154839954e-06,1.4277806020392287e-05,4.210230294474419e-06,5.205340013815791e-06,4.4984702226097654e-06,-3.7435673517641196e-07,6.106967463109672e-06,3.7202692778091642e-06,1.4697148579965028e-07
[1.5-2.0),,,,4.480373562287933e-05,7.373903021256264e-06,9.415873920568135e-06,3.440326059129347e-06,-3.1718089610843896e-07,7.591001414030205e-06,1.729585571878628e-05,8.639882348050259e-06,1.330939625138833e-05,3.0305382474223026e-06,1.878584460724075e-06,7.582459289895982e-06,-5.000812464706817e-07,3.0049935199432583e-07,-1.0356931556325847e-06,1.516439482937359e-06
[1.0-1.5),,,1.5380733560365502e-05,1.7612311990477547e-05,2.1683438829973233e-05,5.773762037441575e-06,4.61633193348696e-06,8.027711638350085e-06,1.0500581908166473e-05,4.8495806905304994e-06,5.321518098748596e-06,5.376749393448384e-06,3.1493053152814927e-06,4.120234745515342e-06,7.4805546300382825e-06,4.669017366745972e-06,3.381607292084039e-06,1.4621502080893768e-07,1.1373570078802116e-06
