"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.5730118641790639,0.5864525388904075,0.4047393518422343,0.335155990141621,0.4359687492229761,0.23668283929751685,0.16908599049865752,0.14616592455117192,0.08595584215137707
[8.0-8.5),,,,,,,,,,0.6292671896195952,0.5380511950118348,0.4382232154501567,0.3587240140321574,0.28133626127994993,0.3475467459350798,0.2150650313626989,0.17421068140976256,0.10783554415328155,0.08854450520057938
[7.5-8.0),,,,,,,,,,0.6405741549516352,0.5691558246778582,0.4912394722431586,0.325521728918861,0.27987375763421646,0.33982482135544545,0.21935976492017825,0.15015897771622452,0.09340580957341092,0.07101274341893075
[7.0-7.5),,,,,,,,,,0.5242806460048017,0.43928865341782375,0.41332691449072023,0.3288373167593162,0.26701013327821754,0.3242594460786489,0.19935863671315507,0.1423463284753943,0.08763493407241711,0.06933113803799192
[6.5-7.0),,,,,,,,,,0.5059397159563266,0.4566358002926132,0.39185265462384944,0.32586683221381074,0.31132029202125516,0.27878109613113383,0.2508668811778554,0.13089371981377432,0.08708989225869232,0.06796276889826615
[6.0-6.5),,,,,,,,,0.570248371310587,0.4814403149544032,0.4264079763032924,0.3635542455228208,0.27802677113079394,0.23554758434934084,0.26874946266205,0.1751183021131232,0.11661473460080486,0.08537624799748514,0.061686966382382837
[5.5-6.0),,,,,,,,,0.5791606699846896,0.5232317105902787,0.37870074334775095,0.344388450847961,0.2714051952025575,0.20743587785253131,0.283946725207685,0.16279556262667336,0.10247110181372734,0.0759803133723997,0.0539582456652991
[5.0-5.5),,,,,,,,0.5514241372216928,0.4579177635879251,0.3938014983321751,0.34550191086740345,0.33181566522868305,0.23600616043815795,0.18521167864176247,0.2291825707063458,0.15965412814685417,0.09581514389053378,0.07082120199917254,0.04858234849416437
[4.5-5.0),,,,,,,,0.6362959141159308,0.482249118326792,0.37292021063066744,0.34431808972886363,0.23372582962243466,0.1905224771247836,0.16916138002522274,0.1935743361683312,0.12700056362052778,0.08463396076239595,0.06067745222591134,0.04422898329656745
[4.0-4.5),,,,,,,0.5671153079577141,0.5108732204553146,0.3903718696221043,0.35047296471790945,0.26895631208873855,0.2560061317898401,0.18469149334393,0.14198604081222932,0.18355061367656136,0.13118000202516544,0.0823706924606125,0.0530721556898198,0.04301386664149817
[3.5-4.0),,,,,,0.6783369408848374,0.6065810626344609,0.3946736511576686,0.35741148927161975,0.30377866254559854,0.2657507543460819,0.20481706358633942,0.1664588738815715,0.12428855314734015,0.1644309581466562,0.0988454466135213,0.07549631474843568,0.05131455947548462,0.034773778654157234
[3.0-3.5),,,,,,0.6106140707160994,0.5050001358586629,0.35022137004634485,0.28709591765573894,0.2816344401743746,0.22144282036336754,0.1893111909950872,0.1393647204323935,0.12454834120874778,0.12491659532804864,0.09916755265956394,0.06347731076316232,0.040882947618100116,0.029768312490763747
[2.5-3.0),,,,,,0.5256625938632573,0.42639331987996193,0.30940840874380604,0.28246020669431066,0.24109893744551905,0.19607068758787463,0.14886933483978454,0.1255454240177235,0.10442983905836378,0.12995604430628938,0.07818881816666544,0.05202957065808678,0.03564422740082221,0.025371520424445664
[2.0-2.5),,,,,0.5312237956411489,0.41168882145049873,0.31672072231828513,0.25138672194555306,0.23020383306472708,0.1590038986582744,0.15139737521808033,0.11419282312625655,0.09862213365446504,0.0802344961828434,0.0971938082818981,0.06586301914487584,0.04389805839575188,0.029920342426792177,0.020510669414373905
[1.5-2.0),,,,0.6070726904831062,0.46503912919045237,0.3512344275321003,0.24684136666765982,0.24783961767156457,0.1563251968994669,0.14271916710953775,0.11431063483451163,0.09351303971130752,0.07873243473247783,0.06282114666479803,0.07591695762045196,0.0487380645931985,0.03133999144384685,0.02327490378700518,0.017293813265716832
[1.0-1.5),,,0.47220647495825047,0.38946274462390557,0.30261491321399214,0.2121330194839957,0.17683971076984029,0.13802555032066374,0.13330749458807845,0.09507395517288804,0.09021728888446164,0.07583965265140023,0.05653584092851014,0.05122891961135465,0.06011547187264514,0.03498086324630403,0.023012019621353217,0.016335755396378625,0.012471462648111862
[0.5-1.0),,0.2701177309572677,0.3071077248222964,0.23418386379281933,0.21140740944396294,0.17171006381771284,0.10970231726829813,0.08568135321669179,0.07916817236332568,0.053692881745158974,0.04920373536502244,0.043965408168348465,0.033397296387326456,0.02496756716730269,0.03336321473377097,0.02205330674738334,0.014335457312354725,0.00888936347176023,0.007705334705806728
[0.0-0.5),0.02802393236562314,0.09632719065514626,0.11576384933273645,0.07858411141083534,0.06925596612789739,0.04951545283329675,0.041274401678099544,0.029614671193694625,0.025657061917435227,0.020596988155147683,0.016809759058803237,0.015577463807697263,0.010987436416925872,0.008571136337315705,0.012011144711206397,0.007062304138726119,0.004985946911004756,0.003069822909065875,0.0024473679804882576
