"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,35680467.929260604,68328964.42903942,9717915.159350004,56543380.31021634,24680803.064680923,70815541.15087491,6952020.678134568,30572907.602483872,40209567.41289159
[8.0-8.5),,,,,,,,,,44842799.48524171,13037358.514584428,12890219.589895908,18698689.250640262,29342525.647660244,23138849.494196694,6054886.664392477,5500117.614991033,41518621.33780383,21120355.151526973
[7.5-8.0),,,,,,,,,,17443742.68283127,15775170.03187044,11144839.512217153,7785277.563444535,8614972.649489183,38337934.592994876,24051324.16314359,21608536.537582327,27196418.639904913,13851581.182499241
[7.0-7.5),,,,,,,,,,15693353.411538547,10926173.060586672,8357265.500131803,8472064.824059615,10290931.88417194,10741497.687741833,4686480.976793743,5640307.37883875,26183355.08557078,23074273.495032992
[6.5-7.0),,,,,,,,,,15192644.951859942,10384915.327260064,6891541.958930251,6575913.679786129,4974901.056814339,5034516.980752682,5275066.184684028,3502575.203766258,3999813.4141136827,4320116.596440566
[6.0-6.5),,,,,,,,,11780834.209814066,10289878.399230259,7655166.211701787,8270131.480406451,6590104.798457561,4586270.322291732,31930944.34072703,3316477.2378624054,2728010.985796713,2343466.851849909,3975710.2475431394
[5.5-6.0),,,,,,,,,9053429.895050226,9034968.353892474,11910001.53228172,6499512.867185471,5368022.5534537705,4962821.961782441,5512437.610043231,3386364.1117675183,2789539.8647103603,2247714.9866517,2081046.7127760875
[5.0-5.5),,,,,,,,10794933.313919544,7590876.153151127,6575440.513513354,7461442.288606886,6979642.370670273,4070793.178664866,3923298.3295199815,3122253.788736867,3371326.946426355,2311850.782540587,2516256.50779162,2366412.479726319
[4.5-5.0),,,,,,,,6281780.791219111,7651316.811346797,8454557.121729061,5312179.273165163,4677629.985103909,3398204.987128518,3188096.763033353,2905666.0048662266,2436176.677027437,2103561.4001628985,1738704.687348879,2770181.367561725
[4.0-4.5),,,,,,,7374617.6995553,6299656.521964422,5374552.228457066,5394921.574029668,4515903.390344577,3806565.905243436,3275605.384330894,2968732.710685213,2935088.89742422,2285188.388723511,1850447.5657843964,1799748.2744095605,1742152.4960214067
[3.5-4.0),,,,,,5173749.7246215725,10066576.96391392,4258596.267636953,3663871.7892605285,3936838.6968779787,3047679.940017453,2851283.3547538407,2368171.041712194,2500485.14382443,1819069.5577484495,1510578.390940675,1628900.1773929896,1666451.7729335893,1343229.7329351632
[3.0-3.5),,,,,,3384347.519992591,3568397.421611526,3874132.658701888,3382451.446352903,2790144.0462553077,2156274.6625872073,2361452.7952018194,1563480.2876712105,1615140.3131991143,1485585.8187261587,1429212.6257484735,1080403.5150818364,962525.834557945,885368.6511779939
[2.5-3.0),,,,,,2653388.869522429,2964518.834071745,3572723.006640974,2687675.2124438486,2584260.0024298136,1894386.033570909,1580542.1716084254,1315126.8534167379,1723233.9008326032,1293680.1461042522,1240120.3486885503,919386.8876808899,746222.9665102889,743611.0349965444
[2.0-2.5),,,,,898540.6013151689,1410520.4374808394,1767671.9415940205,2072703.326818673,2050128.5068556098,1869089.1856424874,1972679.296664595,1090389.871070257,1063545.0372231347,1005988.8509386862,786425.5753568081,795483.8772153995,1016861.5351076459,657368.6779029426,703904.2966147608
[1.5-2.0),,,,529179.7536085668,732974.3107098897,992886.548712795,841934.845576195,1122659.5478249833,1610160.7704729177,1059869.7200865566,832012.8371433715,750233.1368808129,774969.8674793384,654231.215245025,813161.5352134476,517702.93414420955,395002.8630470768,478649.28129717836,393602.6754982778
[1.0-1.5),,,153788.8338029515,211124.44396045798,362585.20796095935,669748.7297524498,513920.31695340713,568423.93010658,618078.084921935,590577.36223275,510673.77941344905,417471.1576151855,593283.0913672233,359174.62133579364,351728.9373303983,299016.6049677124,264262.0149639961,283562.22786057106,170703.39540523165
[0.5-1.0),,66452.46827731609,67002.86628844403,115604.00666661275,122098.03649670958,227936.02770543573,228025.79796568153,142993.61525892926,251963.00403536236,177546.23546117498,195327.61516091807,257192.89706401833,143569.52882206882,212743.8205594118,153534.37019789504,152715.01901370744,88110.94767603325,83730.67803259847,76676.06838162833
[0.0-0.5),2289.3509430575596,6603.941942221331,7447.869056711467,7483.61405412377,11950.043950104162,19712.273313492733,21173.35050925305,22630.12336391952,23693.611630195177,24812.6528593964,25133.691929872548,23043.47763188277,24901.62154314083,19434.705600062927,18817.646859618497,15058.347848130803,13107.653654738155,13415.718821436256,9062.687376479515
