"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,9.559692980265766,9.388152136939826,9.348880259619513,21.969983617383146,9.250041904669615,28.08868653620199,2.933355567800624,31.783305920029584,34.42561297667807
[8.0-8.5),,,,,,,,,,15.820573858276326,3.2369040174446715,3.145518852921972,9.29427274698149,15.669464664144423,9.27602663499099,2.8980450488556944,9.57016987438475,21.598594494308173,15.373197853791586
[7.5-8.0),,,,,,,,,,3.2236364085429,3.29972357949191,3.193996137769105,3.0720293402323344,3.1824387387319426,9.144691599045807,21.69397534710108,9.148255827354397,21.661513037682028,9.150067755688173
[7.0-7.5),,,,,,,,,,3.1590712115650272,3.1059443380390928,3.093301193127849,3.083250393971153,3.1978796150089392,9.172714129497288,2.8685474719668953,2.9060150932745925,9.20786374548642,9.103571093060216
[6.5-7.0),,,,,,,,,,3.1158157887158926,3.144088319698189,3.0218355869772173,3.0700997467315405,3.0498377779954255,2.866729714668266,2.840405049061932,2.814894962019811,2.8437796480054636,2.872774052644215
[6.0-6.5),,,,,,,,,3.844170078660296,3.1450088840508172,3.0603832252177785,3.109188269379267,2.973368381171971,3.051301537968655,9.086180388209822,2.8099415416143305,2.739703892925069,2.6931459701037004,2.8913977567945786
[5.5-6.0),,,,,,,,,4.4891607479632425,3.1012643880274395,3.167520465263163,2.9488918112981297,2.9025271252932123,3.1377880553333264,2.855786818982067,2.754102468563776,2.7769017235420046,2.7187422797539447,2.7668326362889983
[5.0-5.5),,,,,,,,4.333823153564426,3.572750450194457,3.035015823542401,2.946872167592743,2.988009975340385,2.909014904673798,2.9085578953015254,2.7395106682091352,2.7651235126088713,2.657373443353349,2.66001426336031,2.756920501327848
[4.5-5.0),,,,,,,,3.5256684272592786,3.601186981223245,3.0033238236402893,2.876559974707058,2.8363627158074203,2.7668215907969245,2.880404615770032,2.70912069441402,2.6529149156406455,2.626230984557853,2.559195439278681,2.6875814250009733
[4.0-4.5),,,,,,,3.251824195077707,3.5811555454162773,3.4513887916850337,2.9123295225601993,2.8777404496170575,2.818033979682933,2.773853076922874,2.788901147649236,2.6932959409610824,2.6317613879389365,2.535268424698539,2.562217572697933,2.601386143017918
[3.5-4.0),,,,,,2.8226462168506834,3.291677275921664,3.346707240811403,3.3598031902122893,2.811415565099754,2.6967742639104895,2.6520252893471437,2.647339507269489,2.7478251337923445,2.503799527955443,2.514474408775957,2.46413856741059,2.4838038085142307,2.454090145084954
[3.0-3.5),,,,,,2.3906350267538174,2.9151436438448064,3.2543954687336916,3.2749554671741836,2.5738695826850755,2.5091640093056604,2.6588013830547705,2.4953002810037495,2.636552435592391,2.3998490231847187,2.3462464200220037,2.3859374228611054,2.200876612220107,2.357769241052795
[2.5-3.0),,,,,,2.2506093677891954,2.7912561875713147,3.245140948937073,3.136047410546812,2.5734071817316515,2.430953249845004,2.426247760305759,2.4320182635951113,2.5809980405533515,2.2333808250647085,2.2340041387913354,2.2265302335009647,2.0899202905037844,2.270054673684422
[2.0-2.5),,,,,1.475548183207551,1.6636343261683733,2.3117314927825605,2.8700093138624885,3.0473116393008794,2.440218710005149,2.524615465414017,2.2180918746701694,2.1514511139482106,2.389192884028834,2.047331605202346,2.018510978775777,2.1467450044283582,1.9255851055619901,2.2096636215335694
[1.5-2.0),,,,0.9412513739994735,1.3020059912035329,1.4465353333319244,1.655218498437263,2.6163585281145014,2.6994687537615363,2.095348167086818,1.9745731117999714,1.9297616940418987,2.0332892098506705,2.1658087669108355,1.9523160575402763,1.7155263046100142,1.5877959368844392,1.7672381465017897,1.8252482610075482
[1.0-1.5),,,0.41287427496419904,0.5746904854550389,0.8895354470973247,1.1324047609515504,1.3647315815405001,1.853352656952616,2.17476719516678,1.4553576175059986,1.413397513065307,1.5550900211976018,1.7032089952939882,1.5660925133687325,1.308332319537528,1.4453035141511197,1.3777320118480585,1.304238925406422,1.2688587379857657
[0.5-1.0),,0.1266455614458606,0.27317764663838207,0.39161734658687364,0.5945299559841319,0.6310183988962896,0.8574892492720094,1.1129519118799593,1.5196945064519742,0.8680489982065247,0.9581211818318378,1.249653601843688,0.9553183727960387,1.209494690278991,0.9068094861288464,0.9121717848281725,0.8649910472501583,0.8171112271339445,0.9098099765417302
[0.0-0.5),0.016206220437793628,0.043530559697499006,0.08112253958656299,0.12820169292258782,0.167853824672589,0.1898008720771795,0.27594598451507935,0.4112365763166616,0.4751371912739792,0.31779042705317206,0.32499048711054224,0.320225759716637,0.33847982715045744,0.37811974138187715,0.3359231056059542,0.31530035270278345,0.31099944595972273,0.3493643841399216,0.3380801193470203
