"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-8.101882015408597,-7.958796128070431,-7.918713321489128,-20.522778474614984,-7.898187919315933,-26.725986035747418,-7.883688032341805,-32.98861175704761,-33.08506829911253
[8.0-8.5),,,,,,,,,,-14.386936779975384,-1.7656353102702702,-1.7207415385837288,-7.913758426183145,-14.234755571156963,-7.937783003720577,-1.5846164425302265,-8.294661770162088,-20.344939606664312,-14.18259780141794
[7.5-8.0),,,,,,,,,,-1.7634035477598247,-1.816836048008325,-1.7709545655494652,-1.6822193329792423,-1.7326489918081165,-7.83025960088619,-20.373679218948116,-7.88091446336777,-20.362278040075616,-7.848871811465115
[7.0-7.5),,,,,,,,,,-1.7387117120433584,-1.6917199673709415,-1.668325016784905,-1.6725284332486798,-1.7620349435743055,-7.851869680001705,-1.556373091909405,-1.570547884833726,-20.497287161395416,-7.796022636536617
[6.5-7.0),,,,,,,,,,-1.6867215911206757,-1.6878289927152474,-1.6286257413021747,-1.6610641292372956,-1.6508963052697896,-1.5481408898748326,-1.546376613371759,-1.507690304424193,-1.5544077699676317,-1.5923515529619463
[6.0-6.5),,,,,,,,,-2.1531344576374347,-1.7197530268328984,-1.6831977804238254,-1.7213552723173802,-1.6339097602198436,-1.6555502857921531,-7.790177450331823,-1.5228977293333579,-1.4682236073803143,-1.4439148792726488,-1.5471284322813008
[5.5-6.0),,,,,,,,,-2.863734121620202,-1.6863786612530773,-1.745895541002847,-1.6033257827672445,-1.580551246892968,-1.7294045532042335,-1.5663283629131581,-1.511107818560104,-1.504922955706752,-1.4636221019317817,-1.484708315367643
[5.0-5.5),,,,,,,,-2.6414382851412217,-1.9319427677268006,-1.6548598421646754,-1.6015335604459668,-1.662318733238534,-1.5569349821626999,-1.5625661433824078,-1.4898286869157429,-1.516032059824163,-1.4391961895633816,-1.4698392782006295,-1.5192565158601499
[4.5-5.0),,,,,,,,-1.9168788168042783,-1.9711555975059858,-1.626018937710239,-1.558921372235449,-1.5658341591402125,-1.5003661096683056,-1.5711046055373419,-1.4814651991982046,-1.4618916207313548,-1.397218425887249,-1.3826845525801041,-1.5064208582421417
[4.0-4.5),,,,,,,-1.8056684648776913,-1.9175246441809533,-1.8904561172876924,-1.6164251827284308,-1.5913532518269504,-1.5345997414726356,-1.5381966913410212,-1.5367795276781138,-1.500222134081451,-1.4701401975334474,-1.3824491939506791,-1.3743173359077794,-1.416636849301916
[3.5-4.0),,,,,,-1.542360613215181,-1.8019759147848131,-1.7955819801430848,-1.8381650975641428,-1.5619718565329963,-1.4710903830385667,-1.4329452679513996,-1.4270265031711546,-1.484287543760272,-1.362711902177831,-1.3928656488561666,-1.3227246085364561,-1.3024582123584296,-1.3642528424449327
[3.0-3.5),,,,,,-1.2880867213288847,-1.582395813213995,-1.7896038783247474,-1.7393211005311704,-1.3614015248625353,-1.3629584972918531,-1.4244172342245771,-1.359432668875241,-1.417755271319821,-1.2684998479166574,-1.3001219783259712,-1.2691688819129527,-1.2023607820213429,-1.2965995699244517
[2.5-3.0),,,,,,-1.266227336787823,-1.5739277481386789,-1.7365926833986618,-1.6899692301142522,-1.3694692750023971,-1.3222416115559956,-1.3543142240610033,-1.298346740857295,-1.4025395496505555,-1.223178832307791,-1.2262408949622385,-1.1750898925987399,-1.1209964497686773,-1.209678219410988
[2.0-2.5),,,,,-0.7715572341849318,-0.8831268726495968,-1.2490452950161097,-1.5988229990060971,-1.6531105958068522,-1.3057480116681135,-1.3844789934089317,-1.1937402205114052,-1.1564681824327323,-1.2605317666378772,-1.1270579201832023,-1.0590628955930774,-1.1107462550295615,-1.080510434683217,-1.2472407000661392
[1.5-2.0),,,,-0.4645456816216258,-0.6732355696404136,-0.7642713139110581,-0.9201541429459399,-1.3966576898390344,-1.5329018589647934,-1.1654684575107617,-1.0697997148408052,-1.0290814593839994,-1.1334917270553555,-1.1921012823521684,-1.0899691692953908,-0.863997057891058,-0.8426740745508172,-0.9977119888896568,-0.9576357225040301
[1.0-1.5),,,-0.2046947248295275,-0.29657293425168096,-0.4743962333723692,-0.6171826460184814,-0.6842952825431508,-0.9912248380756197,-1.1494830260717241,-0.7817385159019883,-0.7915676696030691,-0.843642077525204,-0.9480562192073599,-0.8917734147798129,-0.670938301314587,-0.7544423439725364,-0.7418511374884791,-0.7275227878259043,-0.6901168363855981
[0.5-1.0),,-0.06407326512450952,-0.13412890851979065,-0.1812242116268236,-0.32001481257044884,-0.3337523253862163,-0.4182628736115706,-0.5850870831261138,-0.7713089655502298,-0.4812901885376397,-0.5024249381816001,-0.6866519423912586,-0.49679928752124364,-0.6401296087033225,-0.4636896426763304,-0.49590803540256606,-0.43922136165043135,-0.44789536362919663,-0.46532231881726377
[0.0-0.5),-0.008160036846565412,-0.02223866705238563,-0.04340243250885819,-0.06114888144953916,-0.08381523431927747,-0.09393201300697394,-0.1366320368345585,-0.19385182111720364,-0.23802289177052466,-0.157255926930713,-0.17693457500784399,-0.1656695998045399,-0.16721411148492807,-0.19470408555036675,-0.1773251835217465,-0.17330372703740246,-0.15907415561095822,-0.18451874289918782,-0.17659651095506618
