"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,14150024.571524482,26226178.53488401,6307755.017972615,26488232.6518839,10982312.291017182,25242573.628158007,4527183.496684966,12436390.305941656,17231560.83730565
[8.0-8.5),,,,,,,,,,17946288.41748577,7313780.753332347,7299882.354878012,9278085.488788156,14067852.174051186,10335974.974187795,4246614.015465372,3974895.3678942155,15456092.141296819,10018087.333415478
[7.5-8.0),,,,,,,,,,8768974.18136741,8071402.6017764155,6627848.4776216205,5080797.075927658,6119443.761017121,16306738.525432002,11004266.348040285,9441731.146450019,10054949.405569447,6979122.7251084
[7.0-7.5),,,,,,,,,,8836848.023726994,6343385.265283371,5482954.8741411725,5757755.655301429,7134744.7560106795,4571787.848235553,3566378.7298658057,4205332.771825893,11153240.585658181,11253865.079778675
[6.5-7.0),,,,,,,,,,8341934.030518288,6304237.810334133,5102857.010936908,4626746.320511529,4193543.868300485,3599124.7594216433,3631073.04997152,3372793.1089015556,3422048.4638309916,3704077.334979417
[6.0-6.5),,,,,,,,,11059621.021693919,6072955.7841858715,4475129.435483683,4922469.3247249555,4914864.727415198,4371057.342554776,12884476.383714449,3472786.6161319646,2831629.1060797526,3116155.8720312766,3565910.1556262514
[5.5-6.0),,,,,,,,,8897842.553427432,5092246.135084933,6588554.448884496,4426440.881856916,3749557.3260700637,4146288.446579178,3838590.193360013,3017258.312267449,3057526.7265864755,2619271.791792784,2727680.4222539924
[5.0-5.5),,,,,,,,10189144.688330851,7938420.605848812,4132502.7856152896,4789024.394861758,4351222.330074402,3595292.620957572,3550847.166596791,2664870.8402940426,2847947.0370845813,2347290.470151186,2626422.6271644356,2338667.4224554608
[4.5-5.0),,,,,,,,6674636.122365658,7851826.297573501,5189771.613145201,3712113.737805363,2978868.789819849,2787881.8972177478,2672207.99987882,2561113.3640016327,2497330.389105404,2654161.4044957403,2223582.2261561183,2764583.646340685
[4.0-4.5),,,,,,,4769039.886790169,6246589.657578578,5501161.533922136,3378635.210848915,3135416.361624057,2931950.0594514795,2777791.8426354234,2732394.472424289,2751141.8382875286,2327244.872245166,2028446.945055304,2334902.435724386,2037821.2487622697
[3.5-4.0),,,,,,2609339.038513907,6713358.005634662,4675038.88497946,3812586.340479087,2728990.849299495,2319451.1357432785,2372038.8805898717,2442452.4788749586,2360626.081426576,1990847.7073731509,2058391.4732769793,1919253.7040413688,2222069.6285071317,1697660.8880773466
[3.0-3.5),,,,,,1563844.0426298059,2411355.6694402248,4369463.530932344,3924606.1044302625,2095368.2861326213,1951487.0153187308,2533053.171359648,1864212.2833020855,2049426.7657974071,1814507.5664773427,1555276.835842805,1836240.982884869,1312380.8535698776,1514493.3171239835
[2.5-3.0),,,,,,1311580.6562645365,2546226.2746036598,3949687.653540195,3118807.7392212357,2033200.0283634942,1609852.7637369803,1724161.456310761,1780902.9359182925,1784654.1228171862,1363211.0609449456,1296956.6449780983,1548839.4625347913,1309139.1972912382,1407996.0753839589
[2.0-2.5),,,,,538166.4424197398,778627.9056514582,1143011.5298710708,2055674.1203387044,2787262.155505444,1778048.6296947047,1757274.5443104007,1294138.5589834831,1230977.3662195506,1632400.6224312652,1056372.3835190882,1204023.5300738737,1454279.6367899007,1009258.2780832855,1188888.748093279
[1.5-2.0),,,,348037.95578187617,425073.18089210393,652020.9844683916,649612.3826285354,1445223.872560735,1700525.6439464604,1097675.727992732,963689.2374405318,963193.2339550118,1007940.934933972,1129657.9917025382,956952.5842229023,891309.9995100789,676238.2326351405,751606.1881643864,855774.4578924548
[1.0-1.5),,,172835.63216606498,196397.41803237982,250767.50991342438,473751.3122982903,522131.04397871625,566851.2801305657,879620.9164773823,594753.2290674555,575214.9943078841,618266.1902379091,687145.5609822974,588618.2776004409,526661.7814275274,598659.5390436644,554820.6926965669,452988.01708421035,416085.6849997198
[0.5-1.0),,119270.02432201258,106448.16735774044,139767.3942350141,148919.32741245927,260591.8220534549,282850.58867367764,266309.4112529029,463588.47978387703,288548.109803295,328913.79072750744,423812.66776449303,312966.35766480817,373451.7957291839,316495.1080592303,298799.758717649,285561.9863891563,241244.87081000005,267147.44188922073
[0.0-0.5),28252.419599377015,39996.75792715107,33496.39330581865,37678.22867050671,46503.52382010517,73146.71195227675,82517.4408018116,96547.16762152617,100582.63671013557,98632.41016281981,111754.34738846285,101430.52059141714,105449.8302830047,105929.3504983215,106199.85105262347,93539.2458983568,88053.33906375672,101055.37247476095,82524.91768829468
