"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,42.80759344314667,96.32101141539158,15.842608789211894,106.8758070743173,47.907534889129465,151.34940269500365,17.821164056970666,83.08411204257557,123.2506867474939
[8.0-8.5),,,,,,,,,,49.070742354509704,16.668654412674947,19.570269143753077,31.79350543092278,61.8589822437124,49.25657702052652,14.16429102872885,15.08749121001456,120.10768751758285,72.79946790014657
[7.5-8.0),,,,,,,,,,20.86640877873764,21.895460063922535,17.689031820412964,13.896331814730463,19.76568924194478,85.14292276514533,61.349366500283224,61.53329221581984,85.06810853561447,53.39343620320358
[7.0-7.5),,,,,,,,,,19.995594448989277,15.929083160438285,14.766814817556513,16.392733410734895,25.62650620520471,26.568364461054173,12.937551110711214,17.19571447579733,89.21830982198239,95.10829371153284
[6.5-7.0),,,,,,,,,,21.424292461622688,17.213393811744176,13.171721374606673,13.87321116460509,13.164196080511598,13.819477089666092,15.961217293811606,11.624588050291521,15.36052952997248,19.210914157988533
[6.0-6.5),,,,,,,,,20.851610529315387,15.282287462169354,13.469165306618649,16.998498912392655,15.419404392592861,12.361568357546107,94.20087034904161,10.962067657855227,10.267221786332625,9.512170560304746,19.923814645058886
[5.5-6.0),,,,,,,,,16.96522746303937,14.595250803590131,23.46747906567477,14.691309020269944,13.608764137384581,15.509234078372733,17.49875828530828,12.093795553005714,11.554528203381727,10.464160569441438,11.140758811927137
[5.0-5.5),,,,,,,,20.25782752712128,16.15927662316676,12.823826153525927,16.51076330053642,17.109703667881156,11.978067937318055,13.752472370608439,11.073323306788355,14.409107696331873,10.719669652938178,12.520711307795246,13.93365989741761
[4.5-5.0),,,,,,,,13.239150064635274,18.34853884418804,18.58356267428531,13.714436451967007,12.735816327513266,11.189803878923236,12.164676632908566,11.62335839346908,11.620022625911867,10.707135947391508,10.32693107386855,18.90509043247155
[4.0-4.5),,,,,,,16.388689950424492,16.00119518041421,14.872628846689217,13.826788312447581,13.2664214476526,12.581021350822933,11.812531402253082,12.77474552920696,13.792249074012714,11.950814592931458,11.16646986954061,12.41527761734326,13.098724422893605
[3.5-4.0),,,,,,15.686467434164399,27.12533972063579,13.185176210949127,12.150583658042931,11.750750673264417,10.439046958151005,11.575049233510912,10.474709330167435,12.393783914493607,10.459627370657284,9.292605360864423,11.855985212443018,13.318322761077924,12.09331925887836
[3.0-3.5),,,,,,13.950180073294357,12.965283684536633,15.060368734509536,13.750415497407571,10.86203505723566,9.452158125331566,11.450008771125637,8.511812729615858,10.250394918645432,10.489070190936332,10.613938063046682,9.195012447307533,9.437835797662778,9.8447093749568
[2.5-3.0),,,,,,15.51076651752081,15.031269127675612,17.44155278597762,13.3089752800454,14.108711661645243,10.26382128237783,10.417916966928328,8.91100731814524,13.40540584193309,11.680439066291735,12.159348427172882,10.300805849466265,9.637807036395378,10.095092044860944
[2.0-2.5),,,,,12.394147994836315,12.267928648286464,13.994666747046887,15.717920341593938,15.197005419140522,13.187390062132508,15.698990315247547,9.53498681283595,10.742618330896942,11.757524240617363,9.70785083593055,11.333981994784216,15.771342965466776,11.796196940383407,12.778475905512964
[1.5-2.0),,,,16.167437233921245,17.2667874508234,14.145834702279384,11.27044935233714,13.984064255069969,17.418638667911676,12.427672785237103,10.343287375962625,10.840319738464068,11.297013246580148,10.857862818394306,14.880786277763917,11.01924634212477,8.930359494953958,12.41059319945069,10.843570684783945
[1.0-1.5),,,12.941883651766545,12.659791254905876,16.85960436167449,18.95717877998379,13.732602445488578,14.046166222093207,14.291288353479896,14.15834097839193,12.3557736286013,10.296105174342646,15.385736937756558,10.209960795621432,11.876276656452019,10.81797439605071,11.016474150147605,12.657869097157151,8.375683093451162
[0.5-1.0),,17.310354560980223,15.721609417123052,19.44579578147277,15.72568635490569,17.833988649467724,16.765955804202427,10.809367549006996,15.817842906882982,10.985194660058111,12.470425403363462,16.67938088470034,10.12241960053937,15.292929755888725,14.46819717234161,13.887724666838418,9.169950587753808,9.886147914088752,9.10877983335347
[0.0-0.5),16.386939341514008,15.310911215769472,15.608245878844542,11.192047805045696,13.599767523856158,14.164642148127735,14.463381308110419,15.370733474055319,12.553605923408243,13.51464564572383,13.935387468040048,14.228211915215484,15.540990741981878,12.31822949053703,12.935839308181293,12.956909708078394,11.653443648806556,14.386014970072123,8.86790660167094
