"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Average [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,77104.07109833563,76410.74686707932,70113.72062631478,70294.11569807971,67717.791216751,69085.29593479563,67202.67903440344,71102.44784715092,71478.26349816895
[8.0-8.5),,,,,,,,,,74306.48445040568,73660.39359844624,73147.70499500954,68964.45898215905,67559.97270717743,63184.61781027813,65242.97409866824,65144.47669963837,68956.13168950862,65275.01414388018
[7.5-8.0),,,,,,,,,,67339.46239607951,68294.43737905029,68990.10170627442,66272.20730371351,61566.77414376486,60074.1856097885,60136.571502535284,60398.96460996454,63003.32169692393,58709.64256839997
[7.0-7.5),,,,,,,,,,64171.93903634106,63605.40124786187,62403.7914798962,60771.26019313612,56806.59472542575,55443.75969069946,56615.32501691365,56544.26874413824,60102.51740758023,55400.551239073204
[6.5-7.0),,,,,,,,,,59887.54926357351,59803.703529319566,59204.72736419424,57433.05530204645,54132.20515022824,52667.643144576265,53407.01878796144,55132.062091593136,55487.3764611433,52503.91933253576
[6.0-6.5),,,,,,,,,59992.614192040244,56220.00510363655,55740.77161569399,55178.22305060147,53434.63749181599,52883.531451722105,48211.40435974154,49256.57974227265,48856.56152285236,50827.437703939526,50580.763078512995
[5.5-6.0),,,,,,,,,55739.5848571899,54027.0449302719,51078.07641495994,51174.591201835974,48619.19098103097,46871.73213894057,44790.91590209894,44487.145657378554,44974.77755636596,47231.07377278361,45942.08118038553
[5.0-5.5),,,,,,,,49509.51271586991,50704.06304349888,47409.28517002858,47619.420865932865,46881.27907882357,44569.84986893712,42207.39322097938,41194.63450378072,39941.79339021824,40455.42552279021,44415.328858095294,42082.12067383248
[4.5-5.0),,,,,,,,45160.75618053398,46362.280258053186,43107.00609360415,42613.729725012076,43654.71122033988,40509.79475528204,39624.32654141695,37996.65959934737,36495.20904260197,37939.33750715818,38249.318828014046,37705.12858056015
[4.0-4.5),,,,,,,40962.857918045374,40084.99835257219,42094.10919497078,39617.83224940542,38748.48492685958,38844.37414974802,37551.72242596927,35259.079759527645,33572.9987140456,34056.74050119324,33406.32595589405,34956.25025980397,34570.77439210559
[3.5-4.0),,,,,,34688.94514652081,36712.95826271059,35493.28593192175,36324.99374463927,35404.38175621832,34964.46850341201,34216.28847033292,32485.403536955637,32191.022830104666,29373.1285232394,30822.218217029105,30011.980578328952,30547.044026816082,31070.56264392594
[3.0-3.5),,,,,,30572.587881588977,32513.339317712376,31239.095188650343,31452.684334616573,29971.50348493081,29985.3508205093,29676.728600322458,28541.478746641147,27174.3719677056,26026.214931301656,26318.9249895542,26525.363915090766,27162.847734986775,25149.068543786565
[2.5-3.0),,,,,,25555.541347617575,27372.972816304886,26465.98628974621,27745.963882168435,25445.630444927217,25777.873178840273,25114.00039153145,24768.197406512554,22957.454784696718,21885.79612422158,21690.222126685316,22270.082660706637,22110.258027858752,22779.223755819494
[2.0-2.5),,,,,20375.099822575256,21262.654745603842,22306.62701417985,21774.05042203338,22309.38838398817,21717.856294436282,21353.29337080342,21367.838004553043,20066.71051939609,18668.338440584525,18266.65466434662,17839.884519725358,17959.009483348345,18404.7783063876,18710.11993887178
[1.5-2.0),,,,13282.723754141627,16000.369211049816,16762.69208971993,17590.59617223356,17088.57993433616,17994.258152859704,16835.49378856655,16494.793856022803,15920.35352142379,15942.99115598431,14862.008165044614,14405.73863615299,14013.317436749196,14809.07684241084,14952.990168984343,14461.131060065358
[1.0-1.5),,,7247.558821669829,9607.004101729717,11575.797959001951,12074.13683733212,12690.611436280144,12435.220103845399,12586.333593256024,11738.779307577683,11790.1609049687,11996.259873739893,11667.69674439645,10840.825261065773,10303.605162704158,10614.144498954181,10293.449244112482,10855.983052852083,10369.18934369637
[0.5-1.0),,2439.442888178909,4436.687712800817,5938.363076071935,7017.596820892906,7325.029669394955,7707.834705670128,7469.561719632338,7707.409531307819,7241.963146501933,7132.82824824283,7260.294124395783,6901.00899487125,6532.105080735874,6197.249603230279,6486.245793595685,6455.20695538002,6604.912983188162,6359.808644470908
[0.0-0.5),221.43459222592324,829.545866625318,1523.2120022728773,2004.3164536268685,2424.1898178532315,2517.848844672302,2621.1984090205433,2547.4425300997,2663.7715463008276,2454.053802210397,2388.5326586082087,2320.856439154105,2283.4333884057055,2135.8335905074973,2112.777451078129,2081.6301542247106,2127.853674219143,2187.808184337444,2127.7539352495696
