"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,490784.30149053124,624581.2968547657,517787.89452375314,511954.00239663007,480429.576936405,618360.462704155,476885.3837381609,578889.5421254243,497063.29603995767
[8.0-8.5),,,,,,,,,,598709.6501475723,498820.60973386676,580077.5148273022,433083.0646100049,444424.60931835097,473464.6324192109,452670.28552029736,436536.52365441655,545823.5648222147,464289.3585733739
[7.5-8.0),,,,,,,,,,494271.12869004277,461480.8288365331,428485.1194383358,524027.87234533567,456736.4319264288,499194.3287886945,506434.0706570432,459627.18017055123,592052.6249108014,379194.1664217148
[7.0-7.5),,,,,,,,,,414719.8890289997,441895.42482228245,491247.4206713428,424106.45716357895,412528.99007258884,418125.9707119659,413656.78327929147,478024.9965592631,488599.7765139414,403758.04135315504
[6.5-7.0),,,,,,,,,,548527.8370248356,498307.1015020454,418115.1673176504,410498.0097704609,377444.2241361399,367034.70697641064,382747.63213258534,393476.4800250321,422372.7673103042,379348.870255785
[6.0-6.5),,,,,,,,,417165.2483560205,373425.04668201186,416154.5889498488,387379.03314758965,372415.79886597604,427392.73530728865,447461.64728792646,399024.4713043053,335432.812269779,376076.4283336887,450914.7503612528
[5.5-6.0),,,,,,,,,455790.01728977094,398713.8784705663,471008.4323087545,355085.68822458596,355387.8724626838,356652.3377581022,352769.4252763068,359048.11055755854,344768.7499772996,344908.63475257496,378535.9884158298
[5.0-5.5),,,,,,,,327049.89131469757,396248.37833522103,356931.99661836214,384163.2945266125,303910.6114784676,339896.4817695649,316284.9548139715,294303.74077381514,314390.3902633125,266623.75295474194,314565.6691931324,304393.45400722953
[4.5-5.0),,,,,,,,312466.1778090405,318785.4088074996,326148.52793043124,308629.0785971293,312087.84141540487,302918.91259009135,261347.8129846898,286955.43387704913,264421.1944941285,295644.47975862405,291785.36117072427,316826.4204931396
[4.0-4.5),,,,,,,269349.3671293423,279794.0621530716,285155.9003289937,298484.2626299275,300054.413418952,279307.4450423427,259302.69098444685,254245.6475708152,260358.6085076801,254168.6342177667,274745.1800497955,280743.1503408295,275067.1415485497
[3.5-4.0),,,,,,304148.62767014204,294452.4932760464,248409.1722676739,238948.23867163793,239277.49872656315,231751.89886025162,236273.28133025928,275422.8360269929,235248.2755397494,247897.19984902628,246453.92320725683,221248.65447183777,258232.7848056286,221891.5975399544
[3.0-3.5),,,,,,219330.23964535038,219102.51267847666,202733.24209047202,218914.17469885616,221286.16661666808,201338.09987294488,249871.60071657074,210173.60946073238,204715.81121142991,201134.00853449854,184543.07244746428,223658.07578574013,187742.2108596378,184801.58470428668
[2.5-3.0),,,,,,201048.1532364634,197549.51177550943,192751.931287673,220919.47145943993,191064.2425783012,172277.53788515198,178885.1449096446,199444.39380810017,186133.76022192565,154750.00108000886,162445.19762961767,197660.68383766376,190953.22281581291,204301.7649574199
[2.0-2.5),,,,,146100.7425980842,159777.43160600463,163067.80414188036,156193.57883518425,184656.851762556,181727.5455220485,194282.2121627921,158872.41015636586,143507.64281325846,173496.0117080982,144243.04832221198,162610.32929867445,176843.10401099856,147247.62109103682,177898.23770780873
[1.5-2.0),,,,110071.07026527898,120241.12593011065,127826.79764780765,122070.1890375986,143381.4468405844,125353.80108158058,126790.75921602822,128294.42242345908,122519.18393867055,126105.49094972642,122895.57346850568,125521.31288299066,128182.03498883707,107547.97345714789,119298.37611188903,127838.55431694264
[1.0-1.5),,,71380.26866561102,84026.60622848844,98402.548837151,108690.36013323581,97427.89632837079,101060.72087504464,100822.64073507066,101592.24936487115,97704.49327656107,93294.5054469406,106139.68883201094,90871.55659475419,90273.73663547078,92639.01155478858,97117.38405280639,87399.68937770961,74466.1023844691
[0.5-1.0),,37823.17365854627,47508.73294869847,65340.76218061136,63912.94811502892,65427.23856326807,66813.31075757128,64308.980107990836,70294.84824723835,57609.03225997032,62960.5034281725,70840.09515174356,62625.37065918751,63792.25541714055,59157.63342793342,59195.097321644644,58458.73581904799,55142.06885129516,58236.62615166661
[0.0-0.5),17812.553996229115,23522.174160292758,27109.34025114414,28656.51076828685,32739.526985911787,32732.563242226544,32436.524480039436,32792.71683418472,32996.40876484672,30176.129831228038,30041.132572159728,32180.489788291387,31844.5666982408,32698.504934855504,30551.868193936672,28407.78788484526,30391.669167258588,33130.51134106821,29330.09694294356
