"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,8.764940145537599,8.865746532061026,9.122734864069953,11.219845190835807,9.744631151641954,12.187797708840577,8.59032618644472,9.686022927048999,10.988017015530751
[8.0-8.5),,,,,,,,,,9.426531497372116,9.097567342752399,8.342584672674054,8.509559367880838,9.074493627931798,8.270042244055505,8.897529193416796,8.733936730116987,8.718023484413099,9.434703247217822
[7.5-8.0),,,,,,,,,,9.526415863404694,8.66513890474145,8.08190232943118,8.215928434075215,8.152102151679992,8.513612015703675,9.820716610421375,9.188079987214602,9.593079265715682,9.056442939524265
[7.0-7.5),,,,,,,,,,7.558306991929028,7.659700668081746,7.0768043601275785,8.501653574143813,7.28070615629303,8.320659940984989,7.657691807580644,8.667000725032294,9.326912378080094,7.613830860208308
[6.5-7.0),,,,,,,,,,7.171614584605461,8.002935768390826,7.077898613095995,7.279790221371556,7.689695943794951,7.501958757643401,7.666199199314637,7.86003914017746,7.541493525350392,7.222539740033962
[6.0-6.5),,,,,,,,,7.496939593938539,7.028664645734161,7.277218511478879,7.399269966731673,6.911053086510239,7.137452310558352,8.104413377710951,7.048737818645279,6.2090575702337905,6.4912950466889265,7.923191435923458
[5.5-6.0),,,,,,,,,7.813363361860704,6.523190917612579,7.48942203507149,5.944075966920874,6.427952008166343,6.680443716949746,6.366230469947299,6.595791633917816,5.908109800304185,5.908638289769883,7.213067171247721
[5.0-5.5),,,,,,,,6.06134004443156,6.3001872654530935,6.201113525242633,6.540470447865001,5.9877064575248,5.829922867653233,5.1686804590900595,5.554535753397187,5.6436971161929534,5.844495178555491,5.605809054944166,5.39921690834901
[4.5-5.0),,,,,,,,5.234533489076364,6.508307465825779,5.077091720630974,5.2787033870004425,5.1789501980954284,5.372500896333911,4.980397065164659,5.170887218158935,5.239610458421289,4.804992101672042,5.131957810334584,5.193614358822746
[4.0-4.5),,,,,,,4.806331602518963,5.429374377069678,4.585825067189642,4.728832039999405,4.970573910915308,4.687255127658033,4.838893062647724,4.976299271630491,5.295618150836765,4.810217870223383,5.069957018009866,4.491982165164009,4.677243738807774
[3.5-4.0),,,,,,4.890116024623881,4.4427936692585375,4.096689833359825,4.1021090651178715,4.629589395193786,4.176046503348079,3.9612504601361795,4.43557661505272,4.127358002759457,4.4392680647074725,4.845480052418015,4.143936347397682,3.8930365185819698,4.583765740785744
[3.0-3.5),,,,,,3.8483905355279555,3.7292377089335096,3.721019065901231,3.817300111294016,3.3358691002372103,3.4825596650003963,3.7833765300696287,3.7189647825949117,3.6450745691027153,3.4832395123132924,3.6231144514255016,3.891569607727713,3.352520576693024,3.247337378146238
[2.5-3.0),,,,,,3.3458377641569768,3.3630900934115053,3.6177646918220194,3.37316274068072,3.481964185602604,2.8644777709873273,3.3067891063245543,3.260563131293617,3.4119347943190954,3.0007467594920594,3.1242596005381884,2.9879051210855865,3.2720346909995746,3.2273072773497082
[2.0-2.5),,,,,2.4488666645269896,2.7261760774949404,2.90346025594306,2.483687937569929,3.3538189146710584,2.964284246070676,3.2284055267248197,2.5969713410406623,2.33113134422602,2.5930522292454343,2.5139496946781463,2.5740198643907766,2.5156450124676173,2.5318869400784854,3.1179930825375743
[1.5-2.0),,,,2.2098585887157274,2.1935469829930514,2.0123143838997963,1.8679947760748274,2.124623624611414,2.4588074713514434,2.235408132511361,2.2027652894357876,1.9332842541732655,2.1442615809748373,2.317479193143584,2.3205514398914593,2.083646447106097,1.864216438204119,2.1321971851062407,1.9176278703802867
[1.0-1.5),,,1.5136031539202008,1.384274544007392,1.4983197539582724,1.738195210761013,1.6179050640193022,1.5383259257548005,1.5473243829502779,1.540633196747334,1.4751181700624438,1.4031108147419245,1.8935633355649018,1.467945271079207,1.4881409097067109,1.4159906114332212,1.4274111602181314,1.4646711460824484,1.325115945640062
[0.5-1.0),,0.6851602623044727,0.9116110167850819,1.0386937872265614,1.008023282267824,1.0371411366450451,0.9263238174491268,0.9193227476198841,0.9323654604441203,0.8653249416990352,0.8651600428706345,1.1029301933462152,0.8552812983455266,1.0167175797472563,0.9112409367423231,0.8560443263780639,0.9215668313979386,0.8393840900810332,0.8470405509711756
[0.0-0.5),0.14537086381394462,0.27111758167559363,0.31287667186256585,0.3373196584867033,0.34517684486072214,0.3460766225856023,0.32241190599531727,0.31486007179243525,0.3250055875810403,0.3339492999671245,0.3024219748401523,0.30118106479713913,0.3086861376598667,0.29194643891746014,0.365604184972067,0.2843922185502581,0.32060574532785147,0.3047891896174061,0.2872932436997585
