"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,10026450.93693136,13875044.40637285,5232611.772477358,11484225.466855813,8690411.807154113,14720582.730370332,4612286.122422565,9672285.00735998,10175442.795681957,6718585.033888454,5363826.956387692,7059887.978952852
[8.0-8.5),,,,,,,,,,11240310.82976216,6060755.531684282,6026457.806583542,7258343.954627594,8272934.248086801,8414563.533080125,4304410.899651772,4102482.1635045,11271511.934682043,7374612.838324596,5527761.1321221385,5630905.716348749,8736818.44979787
[7.5-8.0),,,,,,,,,,7010545.271865599,6666823.9488376295,5603622.518128057,4683483.696459824,4482680.415212925,10831162.442441916,8578872.416537,8131551.008571607,9122556.716080697,5972254.310135792,6313878.182373452,2288684.4248905946,4937328.558856066
[7.0-7.5),,,,,,,,,,6649513.007507381,5548377.4743796,4852483.4411486,4885697.764064819,4899346.754398085,5733147.732658736,3786902.66431405,4154436.2528803563,8951037.177994883,7708193.9680907065,2075113.7507079665,5205452.705749896,2571147.750382281
[6.5-7.0),,,,,,,,,,6542574.199186845,5409205.018720887,4406463.374327078,4304374.1464697765,3406458.08942653,3924999.6128793703,4017673.7703717467,3273817.362579157,3498489.5379560404,3335311.1152986097,1851156.5696494558,1858907.3866600366,6322832.263510215
[6.0-6.5),,,,,,,,,4006418.177234082,5384397.124082812,4644182.468580427,4827120.8236427205,4309016.160291602,3270699.5469999174,9884770.59332308,3185658.5422576224,2889241.010462426,2677873.8892376395,3199602.145177363,2153806.836386334,5323083.708303101,1856986.4144650246
[5.5-6.0),,,,,,,,,3512164.323035859,5045396.251741982,5792791.150835989,4279296.37946416,3889010.6125280755,3402320.1239532917,4107074.273340122,3219048.645486521,2921642.001685645,2622595.6339386753,2314885.587971558,2113365.275375221,1702101.1833599634,1693964.8594041876
[5.0-5.5),,,,,,,,3835113.641108354,3215986.4363315357,4304219.284240044,4585042.382372261,4434539.703211991,3386659.088377255,3025077.4128285307,3090970.170275801,3211893.593515303,2659748.7465123837,2774841.421386519,2468504.0278061675,1555277.6571071707,1737544.542752213,1778980.640009154
[4.5-5.0),,,,,,,,2925564.2751503577,3228764.338792785,4880646.954090373,3868729.1326923943,3630319.887149101,3094259.6127724317,2726946.22238417,2981834.665921411,2730329.766109573,2537104.2320918683,2306607.1063983934,2670808.308634568,1494261.0955017868,1413522.305297734,1807250.554213975
[4.0-4.5),,,,,,,3925933.136474764,2929723.8796815863,2706072.3218851252,3898742.3016696796,3567009.644267288,3274904.4929621047,3037929.9153127763,2631457.589943881,2996893.7295336504,2644366.931704816,2379573.396913878,2346748.755127667,2118028.016163885,1218472.5031584403,1100867.5556071724,1431739.6625900858
[3.5-4.0),,,,,,3649987.060374399,4586844.86925164,2408804.1461802884,2234284.071658631,3330471.892758398,2930330.7374764327,2834341.3435962414,2583083.7984904996,2415032.4217224256,2359311.943493326,2149969.738456443,2232584.722428815,2258172.36392105,1859789.3865457037,1090121.221831366,1040045.454474376,1342856.079557664
[3.0-3.5),,,,,,2952066.2025064616,2730924.8636987596,2297499.8906379347,2146762.7012913725,2803788.660067718,2464813.149477959,2579417.2307870486,2098834.369480745,1940957.181531044,2132109.895221643,2091265.3190808499,1818250.4657363405,1716196.1000268331,1509908.6981613603,1066377.7613175123,1198393.751779046,1068147.5742778457
[2.5-3.0),,,,,,2613900.598534737,2489145.3077733223,2206317.088849272,1913624.1733827319,2698361.0871871836,2310288.434283918,2110255.3325383966,1924933.7415873979,2004854.875967846,1989638.4714512865,1948016.4955633625,1677296.5975949285,1511106.3091395933,1383762.4128137394,982424.9607312713,856607.6365862031,926769.5944681556
[2.0-2.5),,,,,1200898.6906108467,1905804.3253474794,1922091.1419418962,1680493.4640725153,1671316.8731843666,2294811.2734052246,2357546.1646280643,1752761.6671243266,1731051.1668856533,1531818.8518276191,1551277.6220238055,1560186.0992455748,1763971.7394078048,1418290.574735306,1346311.0947262556,825254.7489833384,807523.5482968373,834227.4550363783
[1.5-2.0),,,,921592.9169333659,1084630.706134292,1598963.0586525279,1326515.6716956825,1236779.5413538904,1481163.0733208787,1728057.5616407786,1531076.8003766006,1453885.0928328864,1477659.5012461552,1235311.422095263,1577426.4793495606,1258638.541631902,1099412.9164804528,1210234.192530258,1006740.7260104587,669531.7132624328,688183.9383801129,731213.1220786298
[1.0-1.5),,,496820.9720349345,582112.302358003,762855.9882293248,1313241.40168994,1036384.8042269922,880044.0925148099,917677.1712896298,1289942.5251113994,1199509.6387680229,1084539.0664152144,1292894.0830273575,915300.3901811354,1037444.238612861,956551.5204113158,899245.1088495438,931504.3839152596,662994.1501766599,505750.63653698197,534631.6763566684,579444.4475098257
[0.5-1.0),,450937.4157558754,327932.31068766717,430748.6862428178,442681.9948645064,766117.0089101905,690343.333239537,441394.1558180071,585917.7356917788,707274.0051860103,741846.0458315369,851258.4727789038,636008.7636630323,704432.3682617289,685430.6476993561,683599.2672479578,519248.976781526,506177.7106706214,444343.19628266274,340501.8150292369,364726.28529884457,409762.27278474154
[0.0-0.5),83698.35055576742,142155.0644303511,109333.57140431252,109595.6228910108,138491.22910826223,225297.81131259084,210362.3126045606,175594.82647088537,179673.44223936083,264404.3294489509,266109.3328172011,254803.8426472994,264877.9316926937,212911.83812119695,239962.4957997241,214659.13541072566,200273.3636395483,202613.17724569383,152762.62630118255,169474.54605319016,138329.70897831724,151986.71709713433
