"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,220004.897067044,313557.0862180514,231366.41677766954,159295.07843590272,104103.93947548118,172495.8797363686,84608.1433453427,89180.98368374644,82207.98586451734,75338.98767171244,32869.62872562752,44550.079600170524
[8.0-8.5),,,,,,,,,,266110.6240857761,196596.59970194296,239942.7704994499,139847.52306422798,142994.63935068197,95519.9309202305,84122.8593120338,78083.8530316908,129947.09556582183,80726.3816548231,59962.566839319785,28394.838017106627,45899.389306269484
[7.5-8.0),,,,,,,,,,361575.1412791753,187709.5513713221,163984.50540603438,135295.66441460518,128682.79215733423,156632.93859497947,95745.81912955642,70838.925797644,68302.0652930861,58387.11460598523,50696.51877193257,43884.269663876454,27802.184789645336
[7.0-7.5),,,,,,,,,,228834.0696056876,180159.3375618646,119457.54027038523,131822.4062402749,136805.27713527944,106577.38861115933,64139.74109738365,74563.04515842775,61723.08122723448,40751.84927484872,35981.663549529316,31866.192559920644,30120.559628520317
[6.5-7.0),,,,,,,,,,154772.94017999794,197331.03448232988,101773.53689254924,81053.29258944826,86151.98496021815,68989.01460577302,58215.905216374485,41139.14949904119,47407.60219248514,33883.55889986064,43189.97431998085,18862.66791795974,20901.951772274722
[6.0-6.5),,,,,,,,,131669.63529658178,143022.92119095632,143968.37857241754,102651.56752234547,86367.0647567345,75479.53550579322,94642.29131861658,44906.27073651267,52525.9893055848,31051.313069253687,55763.9218329027,26113.12977333773,18646.94833307252,15931.402448617086
[5.5-6.0),,,,,,,,,108277.82793166536,122523.65996169162,162785.02755619533,69315.38279675016,70856.14823898753,56543.88036512628,59223.64181218083,47742.38828338062,29218.966012667403,27852.1427777949,40745.08003139519,23402.804646337478,20166.872985378926,10528.389321100274
[5.0-5.5),,,,,,,,97720.99131627633,123091.7778150805,110301.32452208894,88250.0123522333,77913.79115120441,59615.10046329023,38313.449931709394,37006.80255294366,37040.18315190926,26537.731310433133,20532.936547122863,18444.634285781798,13484.455702551755,14121.959338380935,11439.69673999034
[4.5-5.0),,,,,,,,102078.38652042818,130355.13256120049,61210.88994034299,58482.267473804335,54574.259139127484,36319.39719148813,37498.60854900868,31648.442709147886,20266.82172537023,24383.28946008566,16993.239101159357,11375.42014395002,11595.02537513079,7998.889813149248,8527.59507512625
[4.0-4.5),,,,,,,103685.3758193318,68697.55659713995,61715.58383647222,49621.698812925206,37087.864913232566,32905.26943997489,32010.221268758523,22685.395831806178,27504.938827732574,20243.559133521136,13698.017066047129,14190.161078135676,9901.064751129848,8535.016242545758,4550.94409081323,4337.218892643071
[3.5-4.0),,,,,,92163.68804796165,79798.7125240048,70683.60249981863,53603.64413868742,36033.82052209544,23067.951313027905,24881.872135523838,28912.455629136544,22147.5935620749,20577.534775145912,13890.4136943936,11900.068415731641,13390.231481504152,7206.645995454417,4533.961736089064,4981.156339586871,4383.331476117974
[3.0-3.5),,,,,,70045.26003189043,58444.617787003735,46749.06299346715,32241.315422230717,31018.682844161147,17954.651400877538,18174.82404183278,12397.674580600938,11701.367561195604,9750.65919985146,8710.789829051828,9140.138749443597,8504.962906805558,5186.347311769584,3646.4265217010206,4424.3647238052445,1973.0301476705272
[2.5-3.0),,,,,,47560.12384746278,44109.90154267735,35521.21329986386,28868.695760986284,21114.524475011724,12295.708691509806,10397.51236557014,9321.918824206437,7984.036602691182,7035.933893517999,5911.281842384909,5387.569855587427,3121.5877019380946,3695.0253000994057,2465.581234743797,2105.125756650931,2028.0646042881026
[2.0-2.5),,,,,42408.49653937323,32657.03224766244,24183.5915197719,22455.729493043837,23702.65386402256,13964.85483573699,12589.608413217582,5615.17400467458,7322.688341731531,5409.406249523284,3689.2013414116013,3058.526058055992,2654.9520171388604,2057.721137050246,1696.5679183403265,1663.319072369209,1360.1947844135398,832.1352356257236
[1.5-2.0),,,,40384.83279581575,26114.081448618526,25031.31896347254,14163.539345498413,13539.67748281222,12288.478603182997,6015.814891084588,4325.262272169708,3432.9430023394552,3029.923381998942,2875.855739533994,2398.666585298363,1298.9739230483433,920.5197148585069,1034.4084881416509,708.5063539908153,578.1991440623,424.3196523005108,474.0739384328231
[1.0-1.5),,,26531.50324846534,21226.164742520614,14407.741004286514,9924.676710918657,8879.08746944027,5500.191641950771,4343.446879490501,2376.302843797672,2187.2390418418763,1168.5926434587286,1989.5217169934558,866.9165021236429,861.1146616332608,734.1160052662292,725.2250343677825,430.33475194250434,251.77036853307547,285.194731316041,153.84831439376188,118.87262598930478
[0.5-1.0),,9332.72703567399,9865.416579086153,8411.140646430547,5542.0262627631255,3927.5427731770183,2674.371289747094,1383.6043587709028,1008.6659346817099,781.2652346331187,520.302016516644,515.8708497796771,284.52179342225224,249.58037016378856,170.40459334112626,160.09747550322658,111.80327292609441,83.53494451654409,71.22719376389874,46.76501480163895,49.506241688177504,39.61041396378575
[0.0-0.5),302.4882009694457,1115.8096196680017,1195.3618336673776,1472.6006061399462,743.918960117213,692.729099876276,481.2770745112884,248.1191693780484,171.60945346835763,115.81354212130918,58.79035816489063,46.22607558326723,29.099052581783546,25.559218895403625,27.67247886211284,12.709875961065045,10.365798553369991,8.40324580812176,5.2538910995634955,4.072024536063119,3.1975684221341654,3.835356101743663
