"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,12919.814066422445,11181.288595406071,8780.929549853152,8179.152125729105,7455.947052069224,6420.448356795373,4722.505795477683,4384.475868051591,3819.8354218188083,3545.5407752643328,2813.4801879936467,2140.0421106391864
[8.0-8.5),,,,,,,,,,14097.136678380277,11608.788470444922,10218.972282042521,8164.018497909915,7556.8407175412585,6016.528922879455,5085.544860897234,4245.755960780652,4045.573159537011,3252.199765244315,2448.205787465549,2241.347394872976,1879.1181432228038
[7.5-8.0),,,,,,,,,,11945.028880211808,10162.651065662472,8828.399796626865,7320.53367453701,5879.5398362738915,5046.69848680393,4427.650707115928,3793.2561016206055,3260.857659417035,2477.47877307905,2165.2866704183793,1955.6451328725598,1642.3991976191408
[7.0-7.5),,,,,,,,,,10507.709295959554,8420.342396149437,7208.908861764817,6123.767021618348,4987.758724690393,4200.973882290031,3607.597775981253,3135.6964429772124,2812.2711884072455,2031.822578263649,1681.2814505775975,1567.6363020253075,1263.5533142013599
[6.5-7.0),,,,,,,,,,8758.5748080988,7499.600770076258,6139.264363219612,5294.318982905149,4149.4916870312145,3805.9091291623345,3011.825526721039,2687.4369055136217,2166.855925049633,1779.2417346605368,1538.7705272752135,1419.05524047056,1244.2137556960486
[6.0-6.5),,,,,,,,,9360.329595645155,7329.5826700471725,6314.673313964117,5217.216138994958,4072.8675901413158,3675.453594999545,3112.7358091234128,2586.0005006952233,1990.1089314406702,1749.6436756597964,1493.2621672089997,1191.339372483174,1165.3250031176553,846.5248056232459
[5.5-6.0),,,,,,,,,7825.13063239088,6548.9058546546785,5122.545866121491,4087.6670808376666,3344.2928116287458,2821.605064941909,2353.5724227850123,2022.42399582213,1516.0499281871425,1367.628004201893,1171.375867596767,1077.6425529876772,830.3734797459197,698.909372780758
[5.0-5.5),,,,,,,,8149.585042102306,6441.799700937201,5208.51649715383,4144.484073953537,3233.9895464147544,2757.5239826633124,2198.528972853551,1841.9551425197499,1466.0165783104073,1193.6733676413664,1067.7494059239032,861.2403036035005,729.694798892224,665.3327986687138,445.66553099227554
[4.5-5.0),,,,,,,,6660.290172762027,5041.831806337209,3771.9151436432085,3208.9283810838187,2595.1478999335013,2045.7466613440133,1721.256716800483,1449.0125174344746,1130.705030926058,992.6138223623263,778.3581791672545,640.5453387030619,540.7749838331672,431.3977831051244,442.0085654953624
[4.0-4.5),,,,,,,6794.635515034701,5139.634295971266,4141.60815603801,3016.8138318997503,2488.2544085913682,2003.6782040495589,1581.3806746598464,1282.7913620917464,1105.6230368985484,857.7844032693193,718.3006601069443,569.1958418870963,547.1465411574497,414.64796435431066,321.8959714489204,307.38787057910537
[3.5-4.0),,,,,,6901.959545152624,5153.849794469055,3865.7194949229633,2846.1433190084467,2349.712534900316,1857.8810135863564,1461.820284395111,1149.7904449063449,968.482737968565,733.9643051296466,641.4926202712383,519.9842377221476,409.97144144820743,374.54073266055707,273.2898244032541,267.4768974807513,189.892691626372
[3.0-3.5),,,,,,5160.199726660012,3887.741920462267,2850.5383465085893,2116.0716656740974,1615.0420156787416,1242.018435160088,955.952439357373,801.253906790472,648.405144798506,506.8609582313435,430.9603265922175,362.5539712862274,275.1139184358379,217.02316980336846,190.32313399973668,152.82670758852717,138.77692676927046
[2.5-3.0),,,,,,3665.480716105235,2677.571290456183,1981.7288502366332,1550.7879874241626,1084.9723973457246,851.3985629612545,650.7927632988155,518.5186059985683,416.73069871961997,315.69138100840394,262.9015987672637,224.02356769170436,165.12350035535155,147.97597264157767,139.04878913631566,99.01930948571905,85.56574683839546
[2.0-2.5),,,,,3450.042957541299,2431.8232183674413,1753.2812213668587,1242.7404282044386,936.4820240251231,730.6319534621376,528.3198290009542,395.8508198342773,297.23419585899694,238.09033402127142,186.90207116623958,153.90023432514366,123.7604926013426,92.53134493833865,82.2211543498776,71.76753178059042,62.46652999890672,49.66813030929962
[1.5-2.0),,,,2869.714437725049,2114.422994240305,1466.5875116512398,1014.2095022056883,735.1887679844548,547.4355478723543,389.0931431242746,284.0773532800282,207.84665767566102,166.7438954380809,126.73283547315218,103.87992680541241,80.05104400195384,61.68547038288857,51.11208056658111,41.16357357598757,33.69444555333525,26.821015173113146,23.234239213152634
[1.0-1.5),,,1852.1073722824851,1537.9111886821524,1099.3418952885027,768.0753544366969,525.0154156554256,357.6017690734546,253.23253349952716,182.7339416602404,131.3192452062732,98.29347711499507,77.28411256027412,56.60978056911158,42.464377636551,34.59394793767555,26.738273882243924,21.007499854653684,16.52491422028106,12.700228121353499,11.466618966697277,8.651938870120397
[0.5-1.0),,601.9665061416262,707.031687108365,588.8184804624829,422.68379970437513,281.36782160088524,187.14590807058676,128.68954440817208,87.09880269425301,62.094623099534026,43.66980579846542,32.05613265145363,23.82291290828466,17.43712638823559,12.93250228705552,10.303933598321589,7.933215788341258,5.990271955504291,4.554809915988279,3.5118922908833006,2.794149756041965,2.3683078754147533
[0.0-0.5),24.157938516504384,71.02999118639761,84.59271788440593,74.20236009365925,54.2888392494658,35.23382979664267,23.110224298597426,15.135503908593643,10.26693261822477,7.028106464572881,4.805378611526409,3.4236429683538536,2.490847526982226,1.8221258257258228,1.3459028298982751,1.0073902854772443,0.7678647345090215,0.5705020900712039,0.42435780183251604,0.31187794955646714,0.2371515756709594,0.18120617196909702
