"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,3.883441923308184,5.21590473803353,3.867257151161425,4.1842922882979625,4.071737756708927,6.8354224748248456,3.5878177261587982,5.070201102973717,3.9526964179533026,4.191010502364738,4.478056229946789,3.970299378542261
[8.0-8.5),,,,,,,,,,4.968920107679625,4.116912147137996,4.553134759041501,3.342727752098868,3.5983145459456334,4.0651916337162515,2.723032981668695,3.129556759876736,4.256754394210804,3.526192793143276,3.9401355793649806,4.280879586839803,4.651844916241103
[7.5-8.0),,,,,,,,,,3.2628034493802893,3.928706336492829,3.392286281060824,3.735229514858598,3.636123150012013,4.131945373466058,3.752860835308651,3.389989775122334,4.805368659903598,2.9488856545984325,5.095568361196505,4.71575287041874,3.274540312938698
[7.0-7.5),,,,,,,,,,2.858243229238488,2.8973457133555174,3.427591550313124,3.39197095560496,3.2811448371953884,3.519318089591167,4.745325097901188,4.158972383460193,3.540656380124027,2.806732530872466,3.8887883062494395,4.079431155628979,3.463080436900028
[6.5-7.0),,,,,,,,,,4.089934814199724,3.0230026870963504,2.9502614912455005,3.019318388183582,2.689638039212012,2.802134182166892,2.8968152184319735,2.7623785587159877,3.0574167728407904,2.8012674083183158,3.8118568075578287,3.079117264783657,3.293020876431862
[6.0-6.5),,,,,,,,,2.748730445538007,3.2179079082500532,2.464487686719492,2.6521099882234282,2.2633356033385765,3.4774864017622025,3.33124843175696,2.9587376373649934,2.82334123365778,2.60239661522652,3.406183571451527,2.8150561420971125,3.563307083211327,2.844858779919745
[5.5-6.0),,,,,,,,,2.2255863349630687,2.5870599315561664,3.0403489401760697,1.9343933661022654,2.2072980162650997,2.1596711966068027,2.550007622604874,2.1769246228554078,2.5889726678611957,2.1945825701059913,2.5680100127894794,2.809606952707525,3.3469897526256362,2.552210366700699
[5.0-5.5),,,,,,,,2.034030329094751,2.4924603867872857,1.9523727582379375,2.448024480400101,2.062782222674377,2.172771939065893,2.0112675765892893,2.21004755820971,2.0391750515230855,1.4609873509292384,2.3463768316128806,1.9456240014931385,1.9560502902829957,2.2438492720676884,2.080139085195604
[4.5-5.0),,,,,,,,2.011266908646926,1.6974640950683901,1.885845885206627,1.8281109521088572,1.7897359505155783,1.6568294399318895,1.614922309362996,1.8756071663355505,1.5658845353945356,2.1233506349613447,1.8181147852020634,1.5115127124793188,1.9128430487209918,1.8131872547317835,2.397468894994141
[4.0-4.5),,,,,,,1.8764947240176972,1.7513777274978768,1.5810828010997424,1.6276677281165384,1.407300141040796,1.4970548644521886,1.306655565284605,1.3887851188172067,1.5241888564183568,1.4588559621966117,1.496132818924154,1.7979865014462935,1.5207917216282767,2.1109796196480684,1.9076808951331548,1.5511239421185568
[3.5-4.0),,,,,,1.5990683342519927,1.9258572879355147,1.267108954341152,1.2588849497894263,1.388547730628578,1.1456258112158773,1.4225199884188375,1.6260728743110884,1.2940748301667737,1.3889326602051875,1.3399123922603882,1.3366540735166583,1.664644736411057,1.2089323918075274,1.3041132747393909,1.964605717862915,1.5994293135648072
[3.0-3.5),,,,,,1.1464192037835168,1.1852384111444696,1.0683673448577302,1.0955459916736103,1.1603162491344725,1.0787110469856935,1.0851823001763017,1.0799515333737217,1.1789281336659305,0.9998383384724038,1.014469263104821,1.2212149826827439,0.8646743030447412,0.8923319888843644,1.1706599563653082,1.401247392428872,1.1915262697302498
[2.5-3.0),,,,,,1.04245738014044,0.9540387046327726,0.9984785467645564,0.9626089770965721,1.1669397515799087,0.8866750178441155,0.7517130424217028,0.8170263402300373,0.9244042484551681,0.7405560962672912,0.7314622973036794,1.0018081048126637,0.8710119466474787,0.9140945574282743,0.9599154123167392,0.7610125521736149,1.0313553797865356
[2.0-2.5),,,,,0.7615344680747281,0.799863488083536,0.7812747618153824,0.6943616314753891,0.8945433218944374,0.7877657177463261,0.6666392975904888,0.5870239750691902,0.6700701868705359,0.7300677951750519,0.510111723842122,0.6342115891072285,0.8474503860590182,0.5551432891074345,0.6872794163200812,0.6200634075315339,0.8083329310454552,0.5981020467871193
[1.5-2.0),,,,0.6653820738967211,0.6078123553800324,0.6143068885598466,0.5996122073403612,0.5813669679899452,0.5753740342410806,0.48520705647839113,0.48926051492754735,0.3711357701659484,0.5071806252335015,0.4183399403484257,0.3748438533998372,0.4513867616794913,0.36604064785162044,0.33972628975884167,0.48075542932171395,0.5266074738093518,0.39377800822887926,0.5500728933121135
[1.0-1.5),,,0.5237136209215617,0.4910378017646154,0.45172850924069635,0.3896185035348311,0.32186253226032213,0.3075774826636357,0.3432389554182248,0.38148087526450875,0.2745415410825732,0.2801379875989668,0.25294318475995725,0.2875145687303359,0.265988548064696,0.2977154084949099,0.23624853067015716,0.20448844325801774,0.22314677139192468,0.21819557585102528,0.2549853742230796,0.2233374458998533
[0.5-1.0),,0.2784246095642929,0.31200388996394046,0.26623512512810704,0.2521770043043338,0.2321258755707929,0.17363173550212072,0.17409447801614536,0.18714355025662605,0.13785005902878206,0.12321662305484027,0.15179048850770818,0.1353036186805451,0.1108069281077688,0.11844526381488682,0.10622907531266584,0.08932954112826082,0.09155188275542861,0.10649283134370031,0.10549349860860861,0.10219194886687873,0.14014347267273647
