"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,121263.88874456272,91384.82972611817,88486.64658721087,48622.716198973314,41047.890435924644,24938.479400203552,19154.156638960263,21626.618867310415,11258.290011991938,7572.094118963539,5794.920976734692,3198.140831997
[8.0-8.5),,,,,,,,,,188391.78003997955,111645.82045534204,79146.02568441442,57575.554885953585,39744.045491536875,30533.31713376891,23484.90360287434,24258.082910872658,12443.71532652236,10220.641667132757,6619.581711571992,4448.623182472913,4582.246043988846
[7.5-8.0),,,,,,,,,,194918.4858999631,130460.23634814163,83505.50367905614,51056.962644944506,40649.35650071699,31670.00336887911,23044.344983228097,14453.58373719637,9598.110447723213,7134.053639820117,5561.8751387488655,4263.91271860241,3238.6469690735375
[7.0-7.5),,,,,,,,,,152297.58211985417,91279.45329413976,56464.373474105,44432.85801698668,43446.63173585018,26393.665278532782,20099.770241885974,13925.270736710074,10353.323662758057,7391.666782825614,4396.447726014366,3756.5626222981027,2586.5518979796416
[6.5-7.0),,,,,,,,,,126196.40196440792,80365.19924891792,56362.49447527813,52339.19151455876,53376.43508206548,20803.115589492525,23393.773968193665,13761.34595330339,8984.203207137947,5876.6824580265065,4148.43680128921,2808.2958361985225,2198.1953649796924
[6.0-6.5),,,,,,,,,145730.72148315253,137659.13514867923,60509.65197020275,50061.729482929295,39741.61419702969,26445.18506136836,22221.411255037114,13284.751601483425,9823.628685831532,8246.99180020714,5558.00334483243,3559.661737381745,2438.0613067998434,1975.9379946614606
[5.5-6.0),,,,,,,,,120799.17384827124,119023.06475265913,61226.29700749842,54500.185758593514,35108.88068210886,19641.708951903,20335.770542911774,14695.261204461929,7730.3842993463295,6249.457360173862,4616.140182353772,3254.539283806844,2312.4878035629295,2245.4475995626885
[5.0-5.5),,,,,,,,145128.79962892062,108914.00417420967,66441.81809039158,47753.52543818315,53346.530618061326,32336.196295692764,17765.502643791147,16156.869285648332,9641.007249679114,6471.67956375136,6676.750701011818,3221.205923824576,2682.252941911757,1961.9966476983416,1465.090684717921
[4.5-5.0),,,,,,,,193790.455190207,85132.96749075915,76109.00605157501,47371.512709165014,31090.185851745446,19185.173600023696,15271.972606430641,11710.640570098087,7154.155289529364,5315.397276750214,4361.885179298147,2682.318352071251,2519.0451615213983,1565.069821633238,1101.5618608304617
[4.0-4.5),,,,,,,167898.37500686632,121700.46143840392,79045.84833732762,39821.37678596009,33425.237790225736,24689.36060325773,18131.498377559412,9997.78802371797,8455.588267893154,7252.154908533617,5359.749393927481,3435.3551821772203,2968.47760291228,1822.5358475389935,1300.802464200856,824.3952609608206
[3.5-4.0),,,,,,224876.52341799115,148975.14255495873,77341.53029420777,58933.6642650421,38760.55447357889,30562.67193617372,19962.782148336555,13825.918381919862,9207.131708180774,8092.50294073717,4630.743460691216,4519.067846943839,2797.488020616542,1784.470198040079,1344.315643853212,1041.0057258796523,808.2754405390514
[3.0-3.5),,,,,,243866.63559290353,141691.63994991503,55896.21409797696,37362.5888175841,35975.669604635914,20644.40448253985,15737.352941985226,11949.419830791503,7108.513894251471,4922.398138927779,4297.193840979672,3017.240635009097,2292.9587616488025,1400.5674754170261,929.7784992879277,807.4317613767772,493.9593557138806
[2.5-3.0),,,,,,122893.08718935968,68033.21934900984,53053.981817347405,31386.45634276164,21948.52619695392,15587.566044592257,10259.19087411827,8088.772785496272,4833.622477768138,4300.214851964273,2634.3530568381248,1987.8249308267639,1612.2456840951336,930.8650039870961,807.2687788451685,528.4544243693675,360.591982262369
[2.0-2.5),,,,,152184.58293627895,66176.94073718449,52425.29360025788,32501.49617528023,24824.12909338764,12290.717607779983,10475.051512769902,7696.017711759988,5055.119446162825,3200.921802757636,2638.5484324972454,1952.875169642256,1457.92468268874,1080.3125020918344,610.6086293148416,573.4315515722853,350.54631052424713,283.5875948584645
[1.5-2.0),,,,113461.79708857571,75968.84270834504,52962.391207103545,32303.26871800815,19635.99765485518,12941.666543956411,10446.783256025052,5364.713750895954,4086.540950719358,3357.492022798939,2233.343995299687,1428.770807043041,1077.6437108779992,807.310414235133,520.8891969277316,421.36861517663453,338.15391202880835,242.39272872788388,187.95725420286573
[1.0-1.5),,,51748.478513208494,63614.094334091904,41200.40093089352,22778.347805172834,16725.775112996755,10108.005703604214,10102.42892360595,4963.690231209315,2883.382497467978,2454.13439453365,2056.8491367615143,1134.2948458849407,954.7521018942323,613.4184999786821,397.80799988091485,311.09804738708914,256.6786719296632,143.29754143522894,111.44237993169988,82.0570619310572
[0.5-1.0),,7722.540484333625,21053.52764547432,25331.221880636742,17348.856359202124,12697.365794320505,5669.851251407612,4001.76132930051,2689.0141681884297,1619.033415522199,1100.0947441244289,892.9642989747502,689.8860297822814,406.34704110585443,350.29020882308265,215.60505539142994,147.557793930342,93.03443558703106,94.39352690137855,53.1712108039972,45.707918614447706,30.884579086122066
[0.0-0.5),60.00979234021288,796.1401321575743,2458.5770673693087,2207.935048413352,2451.984374013758,1001.5151051812444,694.4992054937837,417.8144922220922,354.6381382101522,202.79077170769006,163.48049819330458,104.52899254313392,63.32119827878177,47.51902375558044,34.61143881565495,21.604904137013925,19.159240499447762,10.65691434509553,9.09452892408118,6.3577936667899255,5.082557543596556,2.7599604671219713
