"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,68067.1254487282,61982.489937950035,46402.29279449816,45545.27155742122,41757.13311864834,31546.54496271858,25714.988895212824,30574.41414858014,20939.448886511153,19682.285899630333,18001.04022641029,15786.36984795341
[8.0-8.5),,,,,,,,,,91241.37665988697,59826.74709442881,49721.11103110088,41574.70497834622,41437.038568380136,32310.002626537003,33686.07830154847,27703.964695523275,21875.411346712062,22327.5971150867,20636.34697833807,16711.788750611875,16921.424552249136
[7.5-8.0),,,,,,,,,,80240.7492598877,77313.78899311242,61648.70195799785,39666.66856325259,38038.27971051819,35880.06064848559,28145.612310193388,21678.370155705292,20590.13242188695,18876.91593731958,17028.824059290226,16892.054851225665,14807.07734374314
[7.0-7.5),,,,,,,,,,57852.01861033311,57668.94742896481,45367.2585520635,43900.54098463757,45103.68359559647,31459.04174943072,29025.870357523647,22999.80388566966,19652.705892631602,20712.968043954355,16886.223941860633,14696.18957281068,14489.616649366497
[6.5-7.0),,,,,,,,,,66607.60176931026,48554.65882473615,42380.960457542904,40672.99695293521,47858.24897728912,26589.23406593327,30110.989299635847,20812.20641313867,19282.803500859427,16732.114280702724,15691.602016444758,13650.94930132397,11492.797261680535
[6.0-6.5),,,,,,,,,77942.31987128966,62092.07361038754,47122.465235285286,45198.00729443754,35557.89356548828,30527.68283994718,28963.6972787423,22684.47069236251,20909.127671072532,18701.955302560465,16656.209253812216,14716.821723776002,13654.13642929998,11933.002674506677
[5.5-6.0),,,,,,,,,70500.08734953577,62017.8492485257,48563.580611475845,39006.52998314726,36913.63669232485,28471.53261013,28269.36695620932,20490.33549636267,16370.082138665013,15870.266325303106,14771.79924178522,13051.572193018164,12222.127259283478,11101.197105685236
[5.0-5.5),,,,,,,,65478.53297628251,66926.60532697893,53622.23631572338,39223.05831248046,35270.487167725645,28999.038955017906,23526.87332454158,24628.440127764956,19038.208433245432,15480.439192303067,15241.70023143783,14078.465713267724,12012.644401781487,11065.697366568,9138.610329969237
[4.5-5.0),,,,,,,,71500.72365469168,48690.67528063934,44514.97048083143,41557.40639036265,33028.11689456912,23845.01843478909,24403.32908245023,20961.427267739462,19595.72163060776,14104.32448632429,14800.112558735043,10734.083859105267,11938.880322789097,9977.857003347093,8118.8988885376975
[4.0-4.5),,,,,,,73777.10054294467,59984.885390884076,43083.30069595328,36396.815427835274,30020.568419109473,27294.596936098413,23393.934671145085,19543.558363305223,18009.170090989854,17115.874934763462,13726.389628093026,12160.899188711808,11502.63155442459,9767.57578479589,9868.780870517454,7402.484029199159
[3.5-4.0),,,,,,80614.91766657628,59047.107547546846,46223.27704601835,38976.00584702871,33063.62501317636,27529.659312526997,25552.811269650894,22152.281897286244,17564.22388325502,17363.04492287761,13056.57368119335,11850.66612339184,11179.199155931788,9742.787680029667,8565.075088984178,7832.757133453409,6833.4454198156645
[3.0-3.5),,,,,,76005.1001385017,67275.13998485447,41693.27366504999,35171.3919325902,30855.666921893266,23182.8213758352,20875.80208946856,17762.356009552906,15409.575266669077,12741.579645611755,12830.557436512905,9709.153418252306,10631.16623467231,8179.875526983997,7126.780802367539,6503.5020202008645,5891.537096037738
[2.5-3.0),,,,,,60158.93270638639,42351.129413375624,40463.515743349024,31633.970580400954,26316.707470863,21590.317086506937,17772.701213292476,15296.130935802268,13960.789544632953,13371.472589143958,10000.780198268767,8151.166541254517,8368.91608605619,6907.6765891450095,6899.303141621338,6379.634650571237,5245.137843329159
[2.0-2.5),,,,,52666.43508295771,41545.449118204866,40565.5990337716,29548.441268692815,28823.094414038813,19094.846469000313,18440.933511552874,14489.02460522638,13308.902541166195,10890.907609001957,10106.826093241187,8632.61242585722,7458.713243793704,6229.768304773406,5880.367444062794,5513.327925524247,4692.24764293152,4292.5099815893345
[1.5-2.0),,,,44396.51545394388,39553.534233442595,32997.243549710925,27086.561029988006,24892.16014794139,18442.72096911105,16051.214755779443,13074.40939549464,11535.951491672871,10328.502970451666,8364.943759209591,7624.008246474004,6383.224484507726,5232.1243282964715,4556.402494741242,4315.328570377194,4337.654504766262,3547.0866786525858,3177.3647082412826
[1.0-1.5),,,45472.51728439092,33594.80579074921,32622.20515350047,24934.6766922497,20467.245232584526,16570.917184379145,16909.7834677243,12518.326484857569,10082.036085913694,9113.313896480666,8612.97225226674,5954.531871693856,6051.997143947707,4499.568631060506,3857.242828608467,3487.291427291021,3476.871239233218,2731.3409783653306,2706.0237873369488,2291.0069744016255
[0.5-1.0),,34217.520588829044,20354.012618288576,21356.24506318926,19106.38057504881,17634.097648484287,13578.284337532892,10530.09010809867,9520.899554718622,6612.090020120429,6251.613860866797,5249.888086852068,4262.450510482461,4153.8027169649995,3527.305824170194,2950.635739975917,2261.404864744878,2042.8006848154753,2214.564367437709,1742.9371930147472,1692.2336547315908,1462.1984593179714
[0.0-0.5),4565.361741251546,6661.015574153749,6181.791256442232,6331.480582920099,6829.375134816683,5426.379469232203,4351.017443996706,3465.2668440403654,3070.1388102467836,2308.3638982347143,2357.2102667147337,1923.1919959499685,1534.9970231590526,1231.9091337617924,1074.8301514594398,965.5246190905447,774.1846332448042,725.9601332010479,668.8226485912543,604.1606639877544,553.6419879694754,443.9350393017868
