"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.454144334822337,4.586075504539377,5.113870172397145,4.483905786040211,4.74132957567219,4.206150659355304,4.114289117572791,5.069860876895786,4.155817037992802,3.927617867794619,4.039789784613583,3.495209261477538
[8.0-8.5),,,,,,,,,,4.991530717326827,4.5773796478205915,4.4809270761105955,4.308545226367257,4.217598077431749,4.163823455468554,4.304996319298781,4.962482288251031,4.064773498717321,4.210912807819245,3.9293076552243353,3.7818884666276067,4.45022003267925
[7.5-8.0),,,,,,,,,,5.21020197301266,5.3102345327972476,4.96366173894276,4.3272333206900395,4.6206965046515505,4.6100745401911265,4.3996650170504354,4.024059039952432,3.7843922986178375,3.7474553082380933,3.823632828910181,3.9263936683707907,3.97608657055596
[7.0-7.5),,,,,,,,,,4.924477968978436,4.645708078663146,4.2102966713489645,4.383856907353614,5.149126735083121,4.591193755574781,4.550551147879793,4.23593888680071,4.1948789550455094,4.060514420158407,3.6312077516816146,3.9323104157747477,3.7895228809856554
[6.5-7.0),,,,,,,,,,4.857646918566679,4.631577949443695,4.404092599344463,4.999816823608715,6.114150557491685,4.181239901819345,5.2999769458052235,4.527883748450959,4.220450732974039,3.864120847221945,3.7678904830751025,3.6474793872680538,3.753289596242917
[6.0-6.5),,,,,,,,,4.818495663237884,5.284998418332545,4.194044108554171,4.691809472701217,4.67279864214197,4.555400402311055,4.734902223627175,4.136880106776224,4.132909950188097,4.360099977346612,4.086455029303461,3.776538853868373,3.6419682986244264,3.842475403761635
[5.5-6.0),,,,,,,,,4.511524548571746,5.378570069392343,4.717859338498438,5.134395894249877,4.929700904431877,4.273687948469848,5.019943632614703,4.734193709416632,3.9583310004566736,4.096428549005787,4.0068405373444556,3.915345209946646,3.883414693617116,4.460889186943254
[5.0-5.5),,,,,,,,4.479961786154898,4.829948382064721,4.614243339294952,4.390709239250995,5.481904194731327,5.1666834150720025,4.264421546029468,4.923534856405065,4.331134309994554,3.9411724290559156,4.632097761675087,3.6006576192454953,3.8928298962650785,3.8925517014221964,3.9323776408738014
[4.5-5.0),,,,,,,,5.59359479649438,4.49696003736724,5.160997135045355,5.00867055103016,4.826361176589057,4.205557462345132,4.577657650967104,4.563714442248258,4.109746533583351,3.9713052235678186,4.131891422021431,3.723633080510735,4.179996691517898,3.861677100847821,3.738989442559039
[4.0-4.5),,,,,,,4.635185010244015,5.006801685769221,4.764897767684774,4.317963147090695,4.484487610150086,4.55890076341206,4.623386651403695,3.9469098046750593,4.195740771078188,4.624174139786467,4.427119809418114,4.116992760322741,4.3359131707289045,3.953959995848531,3.949002724509526,3.6369895789213906
[3.5-4.0),,,,,,4.820269599889152,4.937078417929815,4.445285956617384,4.704135340521534,4.60492048234553,5.034552247170452,4.885847175566252,4.510233823711269,4.302118368997102,4.815011524453525,4.163034269662507,4.559142557638244,4.168579467407611,3.8010642793533362,3.837891824665926,4.000009378452848,4.077661145669002
[3.0-3.5),,,,,,5.711684003765199,5.452673304803927,4.249290639747736,4.504440727018748,5.00633332051125,4.573785118748715,4.716094922016056,4.785491992971851,4.323738945130744,4.194607273622741,4.5990016087815135,4.235811646730128,4.326612597175809,3.906092279173454,3.682304292576987,4.031614134187404,3.6633672693147097
[2.5-3.0),,,,,,4.880279535434983,4.455370188993356,5.002814202952749,4.86714940525392,4.856621176402103,4.921416034093312,4.44932076067831,4.660202238332648,4.351244823547985,4.772438141261502,4.272621759504617,4.1204981999811405,4.325127989007396,3.723353165425205,4.050981978993151,3.8748190705924768,3.729841543386846
[2.0-2.5),,,,,5.100682933805489,4.481317470395246,4.81758973554327,4.63603612109247,4.881750482970179,4.343977514119253,4.725223376707859,4.733130830337358,4.589072269590307,4.132772494877051,4.536490506431272,4.501480582192329,4.329552563383359,4.320177394766675,3.6956395162756497,4.171398862423479,3.8421102703154757,4.014479255953572
[1.5-2.0),,,,4.761388277516804,4.865472717496177,4.859778970185372,4.862854828968828,4.8694432894647015,4.4784129387367875,4.925577561984799,4.234350710426789,4.404148916428051,4.954069213985655,4.451580289931902,4.21065008806504,4.274804871782904,4.012385946875868,3.7941316242705345,3.953553190906496,4.142188408251313,4.105406875231655,4.2057925038896835
[1.0-1.5),,,4.823615473953734,4.896951846028259,4.929668766517645,4.394041740500409,4.6490588547096285,4.587727867661889,5.60604391449702,4.855368159873169,4.51174108043581,4.713813943605687,5.345654686763914,4.637691322122942,4.889823157385714,4.346901601453761,4.03589732203711,4.152683701448154,4.309288426078507,3.7561411490386374,3.899635919207208,3.866729562989878
[0.5-1.0),,5.3606065605138955,4.7694682170809894,5.1270460297135205,4.98997734478202,5.542917297761764,4.650565188441946,4.699710004180883,5.05021485624504,4.48141338801624,4.536684215779744,4.752627168021361,4.933418379302694,4.379942904493787,4.788320674637007,4.437317829918821,4.075154191079306,3.748939703050568,4.3563999812790195,3.788586533667938,4.158623313888244,3.967037067233475
[0.0-0.5),5.179449892220271,4.854554200276461,4.701322012595178,4.395162494498351,5.4025507229515455,4.458585005418995,4.776400466915858,4.556783979094572,5.230834948947012,4.709309269306605,5.28838425591344,5.01565578464954,4.481822493529727,4.67737159121401,4.629788871477906,4.041261083348722,4.402516434493836,3.7967474394646734,4.0313429634881,3.9189253787962883,4.171351615991541,3.5529063832350882
