"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,-3.9999070735119293,-5.57981848934905,-3.7870365984391507,-4.23204131017545,-4.489231188200346,-4.31109418648223,-3.9893939242035383,-4.191021531880091,-4.003105838103407,-3.432894609349755,-3.989130410854152,-3.765034678724462,-3.480483080546053,-3.680029222984108,-5.00439192454934
[4.0-4.5),,,,,,,-4.322985969659392,-4.288787815348365,-4.098985083886842,-3.843474781989863,-3.7292413319829403,-3.8601516755427254,-4.043057216219299,-3.508017527085248,-4.5179942808821885,-3.7565401790729673,-3.589579611021934,-3.8936354735400327,-3.734341926198924,-3.7986463592047754,-3.6533102874989813,-3.2283741245479556
[3.5-4.0),,,,,,-3.3699781936170776,-3.5812437633760132,-3.217159191363545,-3.33157206134008,-3.5938424055824463,-3.203234019165391,-3.3544290383408084,-3.230293417598546,-3.3151886587488115,-3.1660703625153235,-3.7991473877047293,-3.139111071729966,-2.819458879366104,-3.216508855504494,-2.656760049606492,-3.5987633342154197,-2.949470900307785
[3.0-3.5),,,,,,-3.019305433086734,-2.9563585871966667,-2.823407882961025,-2.8693121415875567,-2.5078083800282607,-2.5661802956133566,-2.8665206048006424,-2.9280040142333448,-2.629597387375292,-2.950109266988003,-2.517376751182857,-3.2484659337185553,-2.651025043209306,-2.510854159077125,-2.680561141761215,-3.068255653557328,-2.7776224981584363
[2.5-3.0),,,,,,-2.4459313911214444,-2.7664676674222353,-2.6819743336621102,-2.7880404979410183,-2.74050609822253,-2.269418640502762,-2.39762070331578,-2.5641729646025935,-2.491220445492653,-2.551033532636015,-2.5385555099124204,-2.528784088339036,-2.4011365656509174,-2.451535507795357,-2.9466721353804837,-2.2730403943749766,-2.60806692241085
[2.0-2.5),,,,,-2.0508962304516323,-1.9973640753019644,-2.170671504612184,-2.0288375495015543,-2.7265867187596573,-2.1078555449506338,-2.5384155522658443,-2.090986215592257,-1.8443686958279253,-1.894368723527925,-1.9269371935111699,-1.9369522632513512,-1.941921434255328,-1.9994738074264735,-2.3425984269713074,-1.9150867520300545,-1.8910696646080296,-1.8115363388843733
[1.5-2.0),,,,-1.5578623237637437,-1.6346185294933115,-1.545885710784654,-1.5411933692055344,-1.6886180000494209,-2.032133271899968,-1.8898810680745717,-1.6608830251557658,-1.3929583555153833,-1.750194400497962,-1.7006790384776924,-1.7053016815190951,-1.5580794987681352,-1.349143427314319,-1.6935325037472564,-1.407476709863755,-1.4255764659791021,-1.3365195279374658,-1.6394324097751927
[1.0-1.5),,,-1.1681017336699437,-1.2014583099884724,-1.1638870951919031,-1.159044695575017,-1.174758172987656,-1.225735371967959,-1.2069781749379251,-1.1331708372530873,-1.0924431284537255,-1.1106303942235447,-1.4150030786246213,-0.9606420436034296,-1.0561974368769982,-1.0375013479214172,-0.9646171731986898,-1.1093075867808326,-0.926304037049723,-1.0258083387363819,-0.9664245080005432,-0.9858628737181857
[0.5-1.0),,-0.7254144465917852,-0.721462744754488,-0.8167540422990988,-0.6727375073853703,-0.8127271645596135,-0.6598728874849472,-0.701967064915767,-0.8098146451346073,-0.6472523952056516,-0.6727164607800651,-0.9193892466279869,-0.6302926083082797,-0.7987914332756677,-0.6839199510315483,-0.5758664563477552,-0.6942849088961109,-0.6880966068321446,-0.5982684361072242,-0.6182351985880222,-0.566969213134993,-0.6049348679492847
[0.0-0.5),-0.2411691384264928,-0.2364095222850968,-0.2574681694317223,-0.21301013200540148,-0.2527779202155314,-0.22236769349499275,-0.21316720915628015,-0.2301597118590765,-0.22954339315016506,-0.22429403903821235,-0.21549994536693068,-0.19599653563042677,-0.2195818370740393,-0.19439879613269753,-0.24405016100376214,-0.20446584379187505,-0.2159713625800967,-0.21977766912174262,-0.195877288146028,-0.1961926097462385,-0.22568408160232478,-0.21453584888693827
