"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,1618510.2276738787,4709848.61443512,1475602.0070931995,3766164.951559947,2983700.2097883727,3666531.0120956115,2231468.8420885624,1744909.159252768,1750578.3740819388,702664.2680424948,1467770.957925318,1984798.4751421202,1521339.2455301494,1022611.8803827637,1374850.5695666713
[4.0-4.5),,,,,,,1955032.0769494115,2616308.871792714,1042419.5953818862,1180770.1043177291,1119001.899438763,832274.4320706439,2292075.895615937,639833.9735466607,1896196.1969538396,788637.0874006003,547006.3991257646,1112863.839174722,1148233.0517577254,1947115.7118995201,730402.4805653052,409414.24057319236
[3.5-4.0),,,,,,2120879.882752135,1544358.5732899907,1072076.3511666898,968126.1159341416,830191.34554216,743558.7571241659,757226.5992119025,724226.5113922014,616012.1365422141,516126.9218688968,1167933.7664116884,558891.0181358643,592222.5857100973,436726.19252179144,393195.87269752997,923937.673672755,411571.6148213566
[3.0-3.5),,,,,,1190097.1092040665,1406256.6169053572,1141857.4391081485,1049618.547753334,730565.436324647,583751.4290246295,686422.6964458262,514256.51967311994,535505.5243616241,489908.8262464437,432089.1287695742,490067.51862071187,369375.1744596397,380591.78177511506,347270.69398156716,393794.6636638349,304410.794713301
[2.5-3.0),,,,,,1018726.7358860311,915903.304714994,905427.6124435405,775002.1634126293,680093.9762471879,525861.891357407,486915.7300497098,468337.5052140015,444984.58614501427,430244.81591823034,384397.7043960554,419405.0232074183,366763.3248133299,336260.4494882516,335294.8294490099,282408.8846639353,285290.44729243417
[2.0-2.5),,,,,423138.8259578603,680054.4372549469,675748.94571469,698474.044154651,687575.4643824772,485688.6539025554,593563.5635621799,471337.83209942916,396769.82327819575,383840.25651941483,316863.48930439627,326790.8883119483,379334.68834556727,308541.3274358778,301931.51702420175,260029.61748443142,254996.61906693928,210004.5876041386
[1.5-2.0),,,,348590.2061422938,364688.9588002452,408545.9995951659,484506.2091235656,526977.3446120316,582466.4485827379,396660.7854085778,352478.40075117216,308341.10700733477,314066.89146196214,288711.8606152847,317210.1036437935,254870.6196642915,206013.88076870685,233044.99456608604,233063.89465497277,206878.29586685688,170426.21339702595,183322.27306476195
[1.0-1.5),,,205459.58612922614,210770.31124778782,231339.72985351091,311814.9311170297,326798.65964339906,343304.9003870309,303454.21241830685,314011.7344783603,263675.03308947524,226612.05576738267,261570.23095354848,188439.1354918122,182703.06312535834,186680.52672067977,159253.8936920508,141113.06472607554,132691.15219995982,113496.0746788559,113933.27253275641,106825.49736468348
[0.5-1.0),,102834.50727223165,142515.42817055367,149830.78132226362,115057.12128168839,126959.68516726806,146845.13226401378,140680.65481804486,174723.86394211696,120991.69165175498,136667.6766710101,156610.72618959274,118369.89041070182,110679.27780510162,101816.47969931841,96420.60108947442,82299.2716808599,72229.89362289387,80783.87804155052,72524.66148789758,58834.418720314774,77831.33281978931
[0.0-0.5),14009.108283596104,32713.576570896155,44423.08849766939,41853.49765849096,40051.90023680684,30594.265550054588,32757.085425518482,39571.44833721641,41117.00245501367,37164.83732279239,38392.1370575374,37322.99110698661,38432.04548708559,34344.081362847886,32402.643313124423,26837.431862720787,26390.529862645184,29055.568609279973,20608.825265128275,24492.958494364993,22438.673342842296,24130.879616916496
