"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,-1.934113544703433,-8.127603554618812,-1.8148174416673357,-14.275727305751339,-14.261712975745388,-33.11261314718188,-20.328934058481828,-14.096987143230496,-7.876743565973746,-1.5851724044260451,-26.617777684179682,-20.411387883661572,-7.774211430761927,-13.983902258992636,-26.51259227771128
[4.0-4.5),,,,,,,-1.9909421588158944,-8.003626033245512,-1.75753719593529,-1.759076140033031,-1.7397546168551685,-1.6662310915517722,-7.711078082183066,-1.5356969049965918,-7.793456497598433,-7.87530133759403,-1.5969531654431264,-7.758823665560499,-19.997046365390762,-14.760850102133352,-7.592496118990708,-1.404751546866476
[3.5-4.0),,,,,,-3.556170468207257,-1.8998572812846102,-1.809929605529575,-1.8099200104763196,-1.7045844301843995,-1.6536169158769631,-1.6249455248269886,-1.6761790539512447,-1.5518504066899743,-1.5089644568114189,-7.74350996343231,-1.4795604911921285,-1.5063611762148952,-1.4638371776967811,-1.3937099276348286,-7.6910205017124085,-1.3621817736971742
[3.0-3.5),,,,,,-1.7573911130860744,-1.9052814145462458,-1.7503211500244684,-1.7135731384649517,-1.6792961264564672,-1.6013658250990628,-1.630889995745941,-1.5331068797639529,-1.499546803634712,-1.4469727620254043,-1.4535420381243644,-1.4325800635909711,-1.4057854226476523,-1.4022662777168193,-1.3807168702540553,-1.4052908666046118,-1.3106035524729134
[2.5-3.0),,,,,,-1.7769254111813706,-1.7148052644048226,-1.7619680739241639,-1.6928333078472226,-1.623389392707484,-1.5650624404472628,-1.5349776485169078,-1.5470141992843525,-1.4438353232107661,-1.449484669548642,-1.372478678071385,-1.3589435158944287,-1.3479610811444354,-1.3580954821362785,-1.346045322665042,-1.2009829322947083,-1.280125927373221
[2.0-2.5),,,,,-1.2991017559862668,-1.6270918987827374,-1.7027009219510685,-1.6197417217725558,-1.670015173509722,-1.5684330653100624,-1.5768590843668548,-1.4460772229301475,-1.3887501277983143,-1.3545296340820858,-1.309128847082868,-1.2913200321706368,-1.3269598669875116,-1.3097093428316575,-1.3516894624154436,-1.2735252999271185,-1.2097415455345544,-1.1943523773545452
[1.5-2.0),,,,-0.7152526996799825,-1.1680458650969874,-1.3940456086815005,-1.5905964963204593,-1.4923348421649516,-1.5878275692124455,-1.4215344026900392,-1.3728113743631818,-1.3705316231685245,-1.3336581585912968,-1.3051061527809709,-1.3545509325872074,-1.0926122357187997,-1.1824311618707535,-1.2398744087211973,-1.158137770914627,-1.1660465114758862,-0.9894612384859492,-1.0556273493008588
[1.0-1.5),,,-0.3346830071369179,-0.5106432771570857,-0.773704966790181,-1.2213278964214576,-1.4381393082034535,-1.4429986439760003,-1.287647040040562,-1.2884123881901661,-1.278636886732862,-1.1752668079050552,-1.3375001934008635,-1.020693990903355,-1.0091848991265253,-1.0658151098374402,-1.0339922412027942,-0.9623126816625436,-0.869020105893514,-0.8568789401642738,-0.8271949486219152,-0.8367448246763929
[0.5-1.0),,-0.12429218744902033,-0.2326132858290765,-0.37383843607273115,-0.5584438302508483,-0.8925547407420771,-1.0861549560404007,-0.9929263651757497,-1.080570622995064,-0.9308787621086342,-0.9719369562705303,-1.0891531515210127,-0.9036613987305121,-0.8649861042993674,-0.7648466554355262,-0.7658376663699266,-0.6888517616051363,-0.6521026576651782,-0.6634785033510952,-0.6125180234571598,-0.5469954901847531,-0.645340019067304
[0.0-0.5),-0.021128361350777846,-0.042837311620444955,-0.07615347974684447,-0.10292744273272275,-0.1587695546468697,-0.2527602118202648,-0.35700115096230695,-0.40436054376232333,-0.45237788076119007,-0.40802364967281696,-0.4328207617707864,-0.3806277876832981,-0.42232366517418934,-0.2942684645283455,-0.33862415434483345,-0.28769868198747306,-0.26848734932641627,-0.29172435072160074,-0.2217034905211034,-0.271626546694241,-0.24116661836918943,-0.23606135326785596
