"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,103334.11910193025,93603.61549499091,85797.58897050627,77659.20533215941,73678.61563036332,68364.75894959185,75030.46996382572,69977.69099632872,65119.76416813356,63131.765392751535,57940.16850418957,54629.94703877926,51161.90910222066,55737.28947668928,46715.760601959024
[4.0-4.5),,,,,,,108343.6847552995,97255.2766852017,88470.7093834191,83047.03099268598,74561.61812033398,69169.75823319868,65804.58687247049,72062.23993469827,66603.32934327534,61856.60902897132,58572.98320467788,53909.25581350524,52050.0399451048,49852.15765164591,52909.492484894436,44420.7071473087
[3.5-4.0),,,,,,127664.50016830604,101038.03884633422,92804.0643667333,83210.07645489102,78041.7357112307,71603.15012573938,65274.8141749589,59939.38060614002,67561.2581769952,63139.85504885024,59149.493818728726,54906.89021740544,50684.748880306855,48795.48817653592,46245.921565671284,50401.12334357377,40909.44816316889
[3.0-3.5),,,,,,119065.69452734252,94462.12708394439,86153.99506352426,78620.83259126359,71009.98112700185,66255.8612565476,61359.17814011253,57060.4799422949,61883.05329583482,57407.883949977826,55255.86808054251,51205.83080081256,47726.71862254524,45050.002576099476,42325.86153565376,44789.705620210814,38158.49025563066
[2.5-3.0),,,,,,102927.36777150926,86174.35348797239,79446.59921721794,70778.2770049375,64458.7079700381,60616.53276342158,55689.15015465591,52542.07134335213,55832.338909208745,52244.593795960405,49477.87509004005,45448.96874334078,42609.5908384014,40704.49574960623,38266.38910564122,40452.01123668371,34486.33532449447
[2.0-2.5),,,,,113143.95143706881,88835.00684280656,72744.64889069877,68490.03603237103,63992.58595956567,59226.236663341544,53787.00199516989,49560.96531084183,46261.69055970866,48906.39215925457,46744.7634515246,42111.608791850325,41071.28984432105,37909.850909324305,36474.48666971095,34327.65800840997,35683.87553353228,30408.438786043273
[1.5-2.0),,,,108311.27134642506,87742.76614561818,70278.83489001608,60764.973771576355,57095.34444308765,55084.32872603903,49739.5722807722,45853.87360874717,41735.55759615544,39539.7043320311,41267.60426322221,39105.618108054856,36007.77488846318,34663.208128225786,31782.761955764327,30064.949385062886,28368.235682302868,29261.721578601653,24375.441708486505
[1.0-1.5),,,80261.96974169699,77823.66013600033,63668.095755903225,50419.881258785266,44533.22192844529,44354.571620371906,41077.710063774226,37530.66344613803,35906.424661051286,33891.24561561911,31448.37749978265,32589.395843310565,30467.182006332372,28340.76300567711,26317.523780807573,24953.45972698406,23028.560869418965,21647.775630750544,22765.38091504055,18935.74900159048
[0.5-1.0),,39445.932061069565,48004.07744918997,46771.314770757606,38207.99426249353,30161.07866550337,27867.433821075298,27429.53845532104,27190.417959856106,25526.916214204422,24005.074268323675,22288.43986475664,20777.923692078068,21313.472043012323,19347.892645790285,18503.57577845744,17318.31227800105,16215.337709779336,15221.959272990227,14115.597834073422,13893.700825224383,12345.036652822293
[0.0-0.5),6264.834226492757,13192.160490230059,16250.281840605108,15514.466344098191,12966.867909502049,10044.14658900609,9100.767278221703,9394.131678502757,9828.701459307396,9058.165260431259,8717.251029487858,7912.421971771598,7552.984237534083,7526.401428323159,7295.5668799266205,6468.558275344607,6162.7738004903995,5543.299587902583,5448.731810473447,5012.005925818325,4967.333091611113,4366.701246171136
