"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.049471133952906955,0.04457015179397323,0.03617131933891227,0.03325861147206842,0.0310039965343516,0.027569788603731667,0.021674149425998726,0.02210072937296756,0.02157354529965293
[8.0-8.5),,,,,,,,,,0.07050769375889088,0.05224299167064785,0.0484719443821437,0.03859472232030243,0.035472805968751235,0.02963120292746637,0.026065208092947614,0.023443335317522,0.022470710763043727,0.01949098238513153
[7.5-8.0),,,,,,,,,,0.06667794889971902,0.05093146582215435,0.04782535081266619,0.04210638226578329,0.033299147846604586,0.029421857508645816,0.026064312900717132,0.024709791269969927,0.022913070060109716,0.019029401014159255
[7.0-7.5),,,,,,,,,,0.068673257947161,0.05158511827883299,0.0463574876428239,0.040842015791310686,0.03291377193115855,0.030078623103764416,0.026150939623576577,0.023683460763342875,0.02221757358633044,0.018862690469112667
[6.5-7.0),,,,,,,,,,0.0703060472777022,0.052892709409318256,0.048698136951755594,0.042453429484973895,0.03479225905478189,0.031537268390267034,0.028203490657808677,0.02623195075748522,0.021180261272517736,0.018792575487194416
[6.0-6.5),,,,,,,,,0.09229790000931136,0.0723247494183585,0.05542061854400262,0.050880773880539,0.043024778891488605,0.038343417488306525,0.031460283727333796,0.028679895113598895,0.024680893909697226,0.021516580975523773,0.021023174818549088
[5.5-6.0),,,,,,,,,0.0949559760638232,0.07975139970352181,0.05667176943854828,0.050265615517146624,0.04398924781321044,0.03576113510413539,0.031239357204351937,0.027591987090492834,0.02458734703051621,0.022503976659805035,0.020913132442219092
[5.0-5.5),,,,,,,,0.11209329290045472,0.09285493094937032,0.07513099638321429,0.058525092717065276,0.05139599656143476,0.04385929245983027,0.03561947832819709,0.032533037847898745,0.026589722210215078,0.023674101966287244,0.022774731754142404,0.02115062688622647
[4.5-5.0),,,,,,,,0.11364238188608007,0.0940576815460883,0.07453086391577313,0.05703242199735952,0.05570900181799918,0.04537942898963521,0.03879125034517393,0.033812453007798164,0.027350375344224593,0.0255359795512326,0.022996372389864732,0.02130141108758043
[4.0-4.5),,,,,,,0.13033196944521186,0.11038254378757109,0.09876393373849542,0.08031275757706115,0.05910772366177674,0.0556831709744243,0.04803961320854853,0.039454394705932115,0.03467183107567286,0.029623623836167606,0.027070500626999006,0.02345599463672111,0.022037145300979402
[3.5-4.0),,,,,,0.1556089458811269,0.13611602752608248,0.10821132988301027,0.09423764961946443,0.08278548345401972,0.06241762548327786,0.05579306564467969,0.04749703627047456,0.041712371966806105,0.03351279640470719,0.0311610330570306,0.02736284138646433,0.023057279586054122,0.02264268198677463
[3.0-3.5),,,,,,0.15549121895085982,0.1371114573795028,0.11231975392810575,0.09327581700469206,0.07826831075053486,0.061728684057015905,0.05590415048467387,0.04915445347556103,0.04094602722796011,0.03548478614023072,0.03143830063512371,0.029002084369680915,0.023492143771606515,0.019469043080901517
[2.5-3.0),,,,,,0.1546866478890097,0.13821577409054253,0.11597705265013909,0.10262851737171245,0.08007169416414668,0.06605241011369138,0.05651028306441632,0.051031378495156265,0.04241236042707118,0.0353930495330474,0.03095141464170208,0.028623411835905967,0.0233832821689265,0.02254670250852309
[2.0-2.5),,,,,0.18316749663232543,0.15910964022138643,0.13970012630658593,0.11527589309647145,0.09851188577068135,0.08720811642459772,0.0672998198010221,0.059982160222828956,0.04957734630127497,0.04112936809810445,0.03697111681787883,0.03183339146646925,0.027688406762010537,0.02411299509936129,0.02331049971286137
[1.5-2.0),,,,0.20585999506057484,0.18317646491568246,0.16423199031688993,0.13885897736643807,0.11702570926327063,0.10533026740201909,0.08445993844961067,0.06800498280648401,0.05542985222043998,0.05125526931221075,0.043484463794552675,0.038853817814877234,0.032871647351141856,0.03041116621300726,0.025618905868647616,0.022782248748476
[1.0-1.5),,,0.2009709646723402,0.20676191188794515,0.18728846457888648,0.16438915875506177,0.1391526930824458,0.123676758679704,0.09812174615581472,0.08136768522228244,0.06661733257951533,0.06033924431221144,0.054091903952331384,0.04384865893668596,0.03866298540840085,0.03597573620036161,0.030811621306829604,0.02689603274835807,0.02317103507357875
[0.5-1.0),,0.13907646534022425,0.202433837542516,0.21234680405472092,0.1933035955736101,0.17123550008594535,0.1470487409215489,0.12470689594877904,0.10667739419998722,0.08748529444037251,0.0665061796927365,0.062391167388385,0.054950842355777366,0.04393770577970043,0.03877352496969223,0.03745684452517473,0.033296229602798946,0.027622109844866523,0.024865210083081297
[0.0-0.5),0.13611170678185383,0.15447768557971261,0.227952885439216,0.24291321045632777,0.22763153984821652,0.19369451781200206,0.17091741356021117,0.14604566609988462,0.13577684610468335,0.10992270984779862,0.0820491550017059,0.07089950366711753,0.06467709713207603,0.05524788475819763,0.05620850869918966,0.046434714064833606,0.04228752709447448,0.03802637582708665,0.03324687801271742
