"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,298884.55957483966,349083.8461965452,293689.89940503123,307884.63670224353,283622.4910717644,325542.2216520934,257757.74893918814,326979.8760305331,270510.8808327096
[8.0-8.5),,,,,,,,,,364505.01011016424,328929.69605915505,328810.92064929707,251296.96162057095,300334.0283005069,292556.506022269,263739.4193635364,231155.06167188002,301965.77265351836,233201.41313529192
[7.5-8.0),,,,,,,,,,320688.63689823257,300740.43654737563,236895.99008900643,271881.7921795117,321108.38780452707,278474.0877383918,304180.2640003944,234680.68068972934,314909.19290322834,199134.52186464996
[7.0-7.5),,,,,,,,,,235869.47345008905,282826.85781788995,304743.87475874304,247350.6067717185,244609.19894025856,237251.5151265193,234209.11882821692,264916.5371672404,263752.11815227824,237450.70579372955
[6.5-7.0),,,,,,,,,,365798.422040952,309452.6237624474,234262.66634670907,230738.80446630227,224025.721209473,212391.18416271915,210968.09087353773,194717.47876952012,216933.24677486072,207230.2370582049
[6.0-6.5),,,,,,,,,191577.80381681857,189360.0402862446,255040.9616605168,204931.28709884975,197676.7534663244,228768.50629629163,251517.79366517716,224152.81504867144,150647.21602714164,205523.8236380897,242990.20967561498
[5.5-6.0),,,,,,,,,249484.83242764886,212209.28199395436,323243.0918572268,176257.88237623082,181960.80653947062,179228.61970941577,204045.65834445533,201319.35931104468,173335.10462679376,188441.57094617223,208750.70549712787
[5.0-5.5),,,,,,,,152302.2536176373,160261.7613457075,171797.4720908511,224214.5288376588,161661.74406079293,181088.8232810875,149468.41788579884,166311.7630464385,169287.9014768545,130709.52359896715,170876.92852385071,169783.50961525898
[4.5-5.0),,,,,,,,128818.446766597,140173.8608942749,143095.37452652387,160079.24513039915,172370.03147401763,156607.2913265167,146919.65804690673,168528.1474556441,138248.90357499995,141438.13009495792,146472.55251438555,146033.00655188801
[4.0-4.5),,,,,,,88423.15371567119,104849.95661965068,118895.09349482262,128686.95851620025,166019.23244724795,135382.05955765664,133677.51418168825,135690.67078402755,125665.79786808098,138336.66563270986,125857.78333999525,133945.88271462714,138726.96807421668
[3.5-4.0),,,,,,73073.20869559955,104460.27118339711,91170.0922869592,93500.22881172168,103616.20353517515,118766.03808822075,117330.2117859702,149562.80413818028,119636.99785512789,104704.18285288208,135980.27560655048,104635.39742536908,118352.60409736514,120187.88153759636
[3.0-3.5),,,,,,47307.297244013156,58065.437595859155,74946.51595911708,65981.48920643576,86529.83906991659,97952.50399138761,114546.04354879147,104803.06528875875,90164.98213018358,88945.10449453094,93992.9044853182,107547.26102297693,96625.89403793335,87169.4181036862
[2.5-3.0),,,,,,36450.201203466335,48462.38967082479,51683.188027420336,68157.39537097228,85780.46777309172,77021.75770517359,78562.7524576408,78429.73252768305,88583.71783353442,83906.87370796964,81626.4335988829,87238.63168397904,77330.8939320409,100643.33463850597
[2.0-2.5),,,,,21859.642175393587,26185.93566845482,34036.740870370464,38075.07683495846,44800.644765352234,53413.09473037775,85674.67568325652,69115.42065425034,63749.22026802926,66122.38898361845,65849.20580952367,61313.81378128205,67630.02287556916,70620.11040189554,58242.341459454015
[1.5-2.0),,,,14646.374302851986,16299.172965387583,22382.806843723767,26291.706061088997,40657.828301301815,36722.9257091262,47704.78654978473,50644.267414700604,44125.84063673871,54648.781701696964,49932.23631752652,49275.10231524128,55340.271667671266,47142.547632233385,50589.83925228371,52398.56552714431
[1.0-1.5),,,11168.50940657315,11049.551397210456,13531.842643599051,20663.781425798712,20494.145756252638,37040.248265142756,32534.319573494435,29431.77863207728,35109.31060083864,31945.363650714247,35403.166862120095,29140.502892107223,36387.3451143401,34028.73310605156,31645.298003247048,34309.21602676351,35286.93751961288
[0.5-1.0),,10506.961539620763,13572.753130704885,14332.467060695784,16190.025166735611,16962.388984496585,18936.212420506876,21121.496751852264,23137.177945931096,22885.58533982523,24181.81426807137,25701.79000030106,23795.577528539474,21739.45110021848,20387.492579299018,19565.16638722628,21963.61293073005,24275.516861744683,20610.258835799337
[0.0-0.5),8824.530921267586,9583.238727741053,10144.193192244016,10795.986008884849,11769.906978233092,10844.786814631267,12697.795965454443,12378.086702060915,12937.75567950814,12220.00121929302,13678.615932327317,11879.985143311058,12008.388886874893,12426.533729726318,12748.245264831023,12426.495004147611,11795.315920176909,12056.049358529492,13252.458677857743
