"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,152495.8139415675,149335.25332234986,130889.96004243645,129264.81612752665,128812.37706688746,121934.21793046221,101668.94773111168,109593.94285821784,112762.40998577831
[8.0-8.5),,,,,,,,,,176411.06282658863,143161.38354762137,144377.8140312288,124154.28037387083,122564.17703850825,109441.23588996276,102481.4233346919,97759.15882566737,99057.76978319995,90566.65926840946
[7.5-8.0),,,,,,,,,,147220.07910297028,123162.79374761996,125708.22470354194,119530.08083051958,101530.5263634662,95895.29550616488,90432.75062895528,90929.0473940125,89135.46351492974,78028.85703295222
[7.0-7.5),,,,,,,,,,132692.10214142007,109166.75346809377,106634.57150293731,101463.31823934669,87824.11489641311,85794.16937708705,79403.4488385405,76269.57684872064,75637.38046055441,67687.1726194434
[6.5-7.0),,,,,,,,,,117755.61835899924,97027.15804343135,97100.62294862675,91421.04983709836,80473.01760995878,77975.00812372213,74231.19696927864,73226.5028357469,62503.26408593677,58454.8527994113
[6.0-6.5),,,,,,,,,119913.35958436294,103855.23246068622,87160.82943395943,86979.29167762063,79433.65770069811,76034.54754238817,66687.8135392825,64716.295354676186,59067.83857860839,54437.370113797326,56064.12629980223
[5.5-6.0),,,,,,,,,104417.60020239446,96929.37518349344,75438.39034608181,72729.20128172309,68739.77472602538,60021.53497773519,56048.18937494937,52698.07151731894,49805.52470860302,48190.207606357384,47204.29321216852
[5.0-5.5),,,,,,,,91941.01007744865,85121.50512353543,76123.57310702567,64945.73981305016,61994.05181801418,57135.509881641134,49838.65052174792,48659.43189455006,42335.86737080424,39978.111976175074,40657.03620035088,39798.67128089212
[4.5-5.0),,,,,,,,76302.46765686538,70582.52730230917,61816.553005890986,51808.25748919095,55006.589645858025,48391.83886128976,44430.490785079826,41398.79564992352,35647.29375583101,35299.60946268793,33605.50229956228,32811.21518824559
[4.0-4.5),,,,,,,61813.33735921943,59332.04191052522,59332.40541604476,53326.589318714985,42984.516442768276,44015.3280289389,41011.27217606034,36177.06732464032,33984.30925184197,30909.508510621316,29957.4130175367,27440.723194601764,27174.397095949163
[3.5-4.0),,,,,,49796.92936327309,50260.31146077343,45284.15897330008,44076.05307447999,42795.502938442856,35339.445399304575,34335.619246058835,31568.571193634634,29777.452125594307,25573.90293702616,25313.397413750976,23575.118690323172,21000.73236847518,21737.876876664053
[3.0-3.5),,,,,,37374.729447833495,38027.15572325299,35304.81188365946,32768.11806423856,30390.23738195695,26250.869426518824,25841.213135247264,24538.92159383301,21955.261079195567,20339.146432966536,19182.35127031061,18768.34996851143,16071.381527765572,14039.060649210089
[2.5-3.0),,,,,,26620.95818906476,27445.83020437956,26100.479854749305,25813.634624778806,22260.03356949093,20111.478892804913,18702.298923461803,18240.15677863775,16282.38217368167,14524.700316356602,13521.408885117868,13262.241940213791,11453.407090633254,11640.594058473727
[2.0-2.5),,,,,17855.345015231447,18330.19129647103,18570.14133663185,17366.590677601187,16587.05882799926,16229.433191871272,13717.307955526685,13288.907014179735,11862.444466233443,10570.053522007132,10156.671707133057,9309.449516248216,8588.02227278812,7906.422773158221,8056.443060745145
[1.5-2.0),,,,9932.365207306844,10801.910411813267,11445.619943416812,11166.149394485195,10665.185555402559,10728.648087763455,9508.418050091796,8385.071759243721,7428.856030128327,7418.916727234123,6760.3678782893685,6457.041917564238,5815.320051173567,5706.099385738481,5081.600445807603,4763.206488485626
[1.0-1.5),,,3847.808930644564,5089.735220060362,5634.895358904295,5845.190455014943,5709.065372831751,5750.679411203081,5099.187837920813,4673.619988458928,4190.802711953369,4125.931530020552,3994.6448475797106,3478.0550727990544,3278.228491686838,3247.175570653421,2949.6109506502853,2721.8995266594216,2471.6796546182572
[0.5-1.0),,684.712554125801,1395.2942034340613,1881.7974700200568,2093.7135288193026,2191.9053699595215,2171.886927045508,2087.4882167391042,1995.7706957218923,1809.0017810298639,1506.17168645575,1535.8463228442365,1460.9076399462847,1254.6425615926516,1183.5364045740941,1217.1098302107223,1147.486920294085,1006.3364745865711,954.8636961188917
[0.0-0.5),44.674414260306584,84.50412143977717,174.57629260808957,239.18601088338852,273.9474447217083,275.4880809118016,280.4914991598278,271.63124716458856,282.24187581366976,252.55086096000008,206.46387838132384,193.92122057701445,191.0541237688672,175.28945286297022,190.6364268009923,167.64818187663818,161.92819164129472,153.93195767229136,141.85923365557574
