"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Average [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.00039452197246303203,-0.0005373742246340365,-0.0003367239927417156,0.00021920725455001495,2.892357571818734e-05,0.00018997514400917088,0.00020464171383336393,0.00026205431653935924,-4.8602048342730846e-05
[8.0-8.5),,,,,,,,,,-0.0003197356112445178,-0.0003688943309279077,-3.0716231622576935e-05,-0.0005068755379346222,9.436064550612353e-05,-4.235625244134162e-05,-0.00042237160086036006,-0.00022807314873852675,0.0001042621124786065,-0.0005320195903410257
[7.5-8.0),,,,,,,,,,-4.398978685333179e-05,-0.00033980124839564263,-8.138440661695188e-05,-0.0006433626343700498,0.000167487481896551,8.501149336159377e-05,5.238293316511944e-06,0.0005080859794901845,-0.00022710326194002955,-0.00023259501023109542
[7.0-7.5),,,,,,,,,,-0.0003668171031735326,1.7578355859869428e-05,-0.00046779398081273944,-0.00013299336918699446,1.9063351409423683e-06,-0.00010639585264000142,2.6990238909384413e-05,-0.00020213040248517845,-0.0004743365514571685,0.00019735528389100816
[6.5-7.0),,,,,,,,,,-0.00027767845509374986,-5.061440003445303e-05,-0.00032568527221255044,-0.0003514381403125016,-0.00043526337135027396,-0.00021221341686077804,-0.00013995486023013698,-0.00022507213166996266,-0.00017146706097137282,-0.00024107844707857572
[6.0-6.5),,,,,,,,,-0.0005498598942873794,-6.842238979741442e-05,-1.4847154739029086e-05,1.626190377785163e-05,-5.7950859602646326e-05,-3.0003912021938924e-05,8.021522121886409e-05,-3.9869656050892127e-05,0.00016711675448614528,-0.0006306148639073229,-8.34719923663787e-05
[5.5-6.0),,,,,,,,,5.9195895112566686e-06,-3.106466324227213e-05,-0.00011802952233836527,-0.0001358539608846164,-7.623272514663245e-05,-0.00010231846294351777,-0.0006299949014279059,-0.0001828677448534858,-0.00023664656152603823,-0.0004130358652547077,-3.4967994081556166e-05
[5.0-5.5),,,,,,,,-0.00021370017142948808,-0.00017580146583582885,-0.0004315590112119526,-3.3725058835037163e-05,-0.00024615383641773833,5.39624580528626e-05,-0.0002142015324037063,-0.0002794605273406451,-0.000145985938807047,4.1973515414410254e-05,-6.445832601645337e-05,-0.00011918483470113043
[4.5-5.0),,,,,,,,-0.00020123930741120722,-3.3423568627648624e-05,-4.9686243065978516e-05,-0.00021216362874532788,-0.0003399994439583819,-0.0003760296926625615,0.00011279145571847965,6.0294640252665733e-05,-0.00023020937942783718,3.1322334899619744e-05,-0.00015270637814226537,-5.767339308979627e-05
[4.0-4.5),,,,,,,-0.0001698180925287866,-0.00022038336065229654,-0.00017735523965948258,3.743897963500499e-05,-0.00041376081527713264,-0.0003653600980579792,5.117126683928751e-05,-0.0001915285650126125,-0.0001654806258518201,0.00010221407576216495,0.00023518998722192233,-0.00025973115113228087,-7.603630550240407e-05
