"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-6.232104878189103,-5.955590344533785,-6.224497383287853,-6.1783856794036645,-5.754458975792877,-5.651468835942136,-5.619381634077586,-6.501700406830386,-6.27696904197534
[8.0-8.5),,,,,,,,,,-5.956744735257516,-5.315517276205321,-5.864124526128357,-5.195609236255245,-5.534877178907748,-5.168617409582514,-5.628968233098112,-6.032755949293175,-6.230636435615156,-5.291973958392012
[7.5-8.0),,,,,,,,,,-6.03349016600532,-5.8667742588724465,-5.570656262513342,-5.038793218873358,-5.5086798333959095,-5.2883962121982915,-5.836083538123462,-5.099827645872749,-5.630816410602757,-4.701972425107121
[7.0-7.5),,,,,,,,,,-5.4763415757662655,-5.54755877343603,-4.866984034675779,-5.136901277386793,-4.851561471276493,-5.077450917341546,-4.323461537608831,-5.067708630117696,-6.621025193704845,-4.642094573635326
[6.5-7.0),,,,,,,,,,-5.265492356025155,-5.376271388295162,-5.354350210564559,-4.639086820117677,-4.875737470618902,-4.752123907533311,-4.297035996468458,-5.459721238593608,-4.654945406856405,-4.38876668165137
[6.0-6.5),,,,,,,,,-5.559149745065314,-5.232193057498901,-4.531361305452567,-5.248647185266862,-4.244289256398771,-3.8645087210892615,-3.5788614351405306,-4.206109177750605,-3.8423057949498953,-3.971512284254887,-4.510568941924197
[5.5-6.0),,,,,,,,,-5.151644715556943,-4.594327007482428,-5.717947482093981,-4.078901450324373,-4.168574414246386,-4.581322184585662,-3.969749702451186,-3.2461409416668787,-3.322612621403792,-3.937524790938147,-5.027649861853171
[5.0-5.5),,,,,,,,-4.695886155472295,-4.839909492248277,-4.359352023327009,-4.072326118428989,-4.336649067591686,-3.9711186200895146,-3.540198611115984,-3.494251054898338,-3.4194464757940497,-3.176663028143064,-3.4796474882510777,-3.8291540676504963
[4.5-5.0),,,,,,,,-3.9753921760253896,-5.179058246995579,-3.81492270625099,-3.223780076058608,-3.527891004971042,-3.4495653189738333,-3.149797147557193,-3.0620462626704423,-3.168044900658189,-3.3303296471892914,-3.6613721479445442,-3.5285135415792315
[4.0-4.5),,,,,,,-3.9204603064092014,-4.156090285883112,-3.667589902194994,-3.6577537172241112,-3.8485716047295457,-3.6400271424228308,-3.8715322715036646,-3.505440657077295,-3.5726483875375536,-3.1914681550599173,-3.1871618171799994,-3.0851440837531636,-3.1086773241459906
[3.5-4.0),,,,,,-3.349427493893427,-3.630842665621619,-3.3560091437361805,-3.2865319787178446,-3.5114091450615925,-3.0762916861350353,-3.0485967821698465,-2.623001168123052,-2.7364122853850175,-2.8115938982186317,-2.510886062567421,-2.7991413533726406,-2.761940200600925,-2.897797374807853
[3.0-3.5),,,,,,-2.8537827574236654,-3.078911224656205,-2.819545437927182,-2.9445793369754183,-2.5090586065837925,-2.6382293929541514,-2.4802477989483642,-2.5576176474355243,-2.5757253902569173,-2.3529530331437845,-2.389261522187535,-2.5821831952640486,-2.1041776355694326,-2.0900121939832
[2.5-3.0),,,,,,-2.596444719960953,-2.6846409477904882,-3.0225502374067785,-2.807781404183377,-2.698477261082282,-2.44401965861911,-2.3975308773982897,-2.231215445574573,-2.493069423204637,-2.102223561880802,-2.3120406001643135,-2.0617372963556244,-1.86701534908289,-2.0490415866884057
[2.0-2.5),,,,,-1.7781148761404015,-1.9566672932428177,-2.231580273509984,-2.032850801224415,-2.7929613370357904,-2.141859747478058,-2.64532275099818,-1.9680771552487168,-1.7096753684192216,-1.8498779995486978,-1.685467240498683,-1.6785896060816865,-1.7243124820598665,-1.6730871091470558,-2.266640387187044
[1.5-2.0),,,,-1.3318415028453077,-1.7419522503553355,-1.5189907274052556,-1.63572186439651,-1.7588894069712273,-2.1023920388853656,-1.8993883479272071,-1.7787300047905803,-1.4883269926737408,-1.4451631156794615,-1.617505625873616,-1.6772983776412849,-1.400237786948414,-1.135310997384878,-1.2723489517469793,-1.315793983504572
[1.0-1.5),,,-0.7880452716098088,-0.997165963188274,-1.2100013359314712,-1.3021220879408886,-1.3522487971414137,-1.3451986106489355,-1.128172661882962,-1.2348031629693905,-1.2182833477352348,-1.0125398980040659,-1.379419914897956,-0.933745398723437,-0.9411788234399877,-0.9246314838048162,-0.9230281823460944,-0.9779411775012915,-0.9209528335260676
[0.5-1.0),,-0.26238911709531654,-0.4605130148372759,-0.5264820307831342,-0.7103178739811415,-0.8070412955448185,-0.7999651943500042,-0.7905853865651972,-0.8575110225444533,-0.6722096010351238,-0.7042064909921442,-0.9394978047974422,-0.6205086018520479,-0.6326153024135099,-0.6429453171472246,-0.5667792580566403,-0.6762885679591363,-0.5359963474164001,-0.5458391974741864
[0.0-0.5),-0.015883108828896174,-0.0999753890611162,-0.16232348679601452,-0.18946709653774627,-0.2315667257840221,-0.23835538295394648,-0.24733935524276432,-0.21307666710282028,-0.2742977454520406,-0.22362935877786164,-0.24592289516740232,-0.19744322915724294,-0.21024326628303233,-0.17555322191616046,-0.25365157798720395,-0.19336616918650212,-0.21541486126620643,-0.21551106211369095,-0.1848394721373476
