"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Maximum [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2100762.0174968434,2266970.166954953,1989309.0602642158,2153357.1890608226,2013711.7243190587,2404277.1821488715,1806589.5160424898,2121479.9922293536,2074128.9857381254,2143458.6676799534,1730974.898483313,1661401.3474135946
[8.0-8.5),,,,,,,,,,2104355.3296912857,2232818.4048594926,2032261.827790677,1672101.753154635,1910527.31553029,2002098.75324228,1783869.2236893715,1573689.4471499156,2303876.229687974,1958245.5622808605,2192114.71485367,1810653.2113659962,1996537.0758127708
[7.5-8.0),,,,,,,,,,2005304.5132433975,2017934.5893044022,1760420.1752695197,1869498.050029367,2170313.387710984,1843795.0890559908,2098112.783868257,1639103.4652704136,2320267.909163629,1710496.4084094202,2177301.935115378,1685577.4241140818,1617576.1827651176
[7.0-7.5),,,,,,,,,,1642049.8669684224,1961086.457527764,1921357.4102473373,1433779.091228081,1738520.8621847592,1767940.5596899819,1727680.1887955074,1715287.132420192,1915294.1705596654,1609881.3937181,1844741.6620865331,1808898.969466105,1619988.927343914
[6.5-7.0),,,,,,,,,,2265972.7229192657,2125154.0427678255,1695134.4763202465,1638871.4170637322,1539278.657557014,1509785.3017900235,1469889.9737119095,1512221.9900359213,1854378.2866797652,1545329.750263561,1959401.7109330634,1539751.0986691199,1635814.1625558662
[6.0-6.5),,,,,,,,,1552829.093337837,1567506.7602053354,1800321.576260985,1476529.7140642446,1425560.2542245255,1882702.781787066,1657158.7403073248,1518291.8723351795,1201482.0214164006,1566228.17561421,1660944.995197927,1406654.598891627,1436586.6524230388,1305143.2853067452
[5.5-6.0),,,,,,,,,1750207.553148179,1699496.5621495743,2168855.8214587355,1259242.69902103,1452869.7698602816,1462084.6111320695,1420518.7325320246,1473470.7956444155,1269850.628707283,1336282.6568855844,1592909.6671923008,1613471.8346197659,1434383.7331338965,1425429.3593094607
[5.0-5.5),,,,,,,,1277503.171767769,1534324.099844141,1412993.3887461463,1525781.7308197143,1183210.6860684396,1368708.4802685333,1361870.5736785186,1254215.1179011853,1267440.8754834991,987920.6018584291,1316208.6213928098,1348025.8325820616,1280752.8425385712,1357255.521945678,1154494.0939384531
[4.5-5.0),,,,,,,,1230654.245268348,1149111.5568853805,1345410.3260548303,1305715.393424109,1224408.613274551,1118352.5181413505,1018342.7665877715,1204328.244156842,1098464.3941891168,1183626.7767204014,1143517.6261454683,1319097.5567365447,1170194.7899869643,1010454.3750588192,1206565.983175322
[4.0-4.5),,,,,,,1080540.7266449723,1143702.7929493617,1064386.8847886885,1162599.743322081,1374436.9060448194,1106594.5808570297,1113968.0868148063,1050056.4794918795,1094459.8096608007,1101028.8509270744,1025342.6045024667,1148538.9858682877,1133126.6213778427,1255268.2844868456,1014884.2129668896,999120.1354190268
[3.5-4.0),,,,,,1010545.6784106079,1112502.245915004,1025314.0170875639,843000.0799694868,978901.7857074349,943645.6027663987,976493.1226933365,1110235.9380926846,976279.6174102833,1015515.4451180603,1060834.6686630293,817370.3968105098,925762.1553809006,908474.8673369861,827378.7268717226,1049301.7785744634,903471.0114296015
[3.0-3.5),,,,,,795303.6657121886,808153.583690222,780017.0680726226,813167.4463956895,812678.6140881726,897464.9349378274,987359.8710464167,811389.8222818295,899753.2938812306,820512.8082240019,760839.9690618219,859433.5769426322,721151.4794096281,736918.307223135,846327.4611712297,822640.1726765726,836816.3849055833
[2.5-3.0),,,,,,671867.1699793172,716882.7794373854,766518.8483529468,801180.2480094545,761902.7710906962,766481.0051132371,650140.6443102759,732679.4478918961,783184.0663069993,594832.9667928162,671195.9062253382,667498.565142795,737553.5376388862,822529.0678747728,718533.7940174154,530533.2250878001,715636.8351398255
[2.0-2.5),,,,,487223.0263973572,563211.4662330643,578753.2651131606,582899.9415987389,694898.489641906,682873.1738680648,818236.1590460184,600493.4775080509,536048.418840259,716076.5736981459,512138.6755002337,609536.576997868,620296.3841743254,606578.0034743266,747548.8809446982,528455.8326036141,573744.1727935043,459427.13876668
[1.5-2.0),,,,351076.4867341718,440306.36471235816,439352.94583753473,437292.0077439282,543825.3020975397,458145.6392987242,503950.49190528714,567814.1248280611,441530.59451605484,447522.9939034032,471887.7713167042,475392.3371981018,486709.88572182273,356614.7731175091,405710.01117439405,474094.27549947845,462557.46093385445,383671.81317213824,460401.6280083318
[1.0-1.5),,,155265.81664954295,221620.4766486145,308413.8020904313,359891.14007892,342982.35955646256,361759.2073488329,325637.93186522945,383528.21816879313,395521.00078119396,323814.08174621,354161.342988592,310335.52373248804,303399.12862113566,346702.07665221096,281273.2130913252,315529.8120212667,259898.6981293552,305618.82854965347,311548.0644795863,297158.42349336285
