"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Average [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,378165.90518338635,311143.5771575547,288168.56149014935,310896.94763405004,293556.26606203464,293779.0694337584,246771.6308764287,292272.51601206145,322913.63143340463,320472.92151019035,272840.3741565304,269748.4698901626
[8.0-8.5),,,,,,,,,,323903.3820703162,362463.7920691457,302628.82577572763,280919.164792726,305285.2565993972,274643.6047279692,278443.55260469293,238456.45720401095,280287.7129601378,286816.36122730625,285646.80443668127,250495.28976048445,261087.04424082043
[7.5-8.0),,,,,,,,,,298703.4583397416,337245.713558021,285508.1558683427,273037.6964533997,282663.37858976657,262367.1799420047,258992.2678814747,225173.00839435376,261123.569894907,260236.65113452007,268065.6987029132,232910.2268101741,244022.40198991392
[7.0-7.5),,,,,,,,,,284410.58396907727,319934.9970159982,259971.13191984524,252337.060726192,260625.81242036214,245684.41830391577,244588.66623212694,209462.28065697273,248491.34098671586,248802.30716914675,239614.02513782497,220176.45575568176,221356.10597615852
[6.5-7.0),,,,,,,,,,269797.57502781134,299006.318264764,249159.41153993117,240420.62340987838,251305.83008090264,230888.11947084224,234083.47016192452,205460.42037937237,227458.49657815255,231128.69039420338,246285.1830939513,215165.02874833855,231370.75440701772
[6.0-6.5),,,,,,,,,247503.76810289454,254125.5195088567,283595.4046581401,237180.2178438327,224093.45353428015,242359.66732340344,214965.09482976492,218467.0803047058,186334.4138259019,211482.39685208382,224056.71278353612,219868.91413310793,197750.94080980401,193889.84705210596
[5.5-6.0),,,,,,,,,230149.82898158111,244976.84555844456,262087.2241796902,220382.0541031267,209038.11855958766,218479.97045713203,200520.16618344386,198697.63035491086,171748.14962306165,197522.42031940244,204274.85215438597,211897.0291885352,167819.50940996187,189626.0979756453
[5.0-5.5),,,,,,,,217617.29178009043,208599.95153967562,214845.5623259307,246973.5007515277,202564.5787983226,190859.93408557595,200048.63145064245,187271.87247139832,179990.30035819137,155276.782228556,183611.1753313356,190028.95652219106,188977.6379923796,163846.2718545445,164231.05814022303
[4.5-5.0),,,,,,,,196941.18975157294,190657.7158799168,198039.12610101333,221543.69701749357,190895.87529487422,176876.7192194682,189817.42282364523,174461.37276924792,164083.44633387553,145723.9181649072,165999.00261079182,172260.02123289488,167718.85351973498,139864.88570261665,159342.61317878257
[4.0-4.5),,,,,,,168296.69904804928,173835.48983163302,173122.38749167116,181347.47346533788,201415.84318763277,170263.2911983988,164037.4304854254,169968.04844731692,156275.42458340686,155380.8607218008,129904.85373469818,150246.12516068394,154742.7970450273,156898.73622836868,128791.29710572575,142081.73195331517
[3.5-4.0),,,,,,135823.83325466097,150051.03711215672,152239.279657521,149373.3510558333,162508.34781495156,185549.09456816525,150889.42115778782,143719.96114657042,155323.0399379698,137685.4987253816,138912.31719239213,117558.68733072927,132707.25216035513,141297.36398787308,135758.64913875127,121978.75541626748,117951.25478805488
[3.0-3.5),,,,,,120429.51520193242,132610.01912242736,134291.83754091183,129079.36125995372,138102.87914825423,159145.60148765403,130814.45402448096,125779.45867456862,133163.18504498413,123512.33497201081,122494.52367736162,105381.58301614887,117793.2961213787,114421.23080948663,116988.15220306357,102719.94812320008,111265.89242920201
[2.5-3.0),,,,,,100037.09981876335,111790.06111379206,114213.75839663505,113727.38722661731,116225.12889005631,138752.45427046387,109912.05637592972,109525.00363710625,114623.82100978815,103832.40221642793,102713.39569620468,88885.5608707722,97892.69252885667,105286.24104553873,109980.40043119068,87699.74338390185,91081.53930043905
[2.0-2.5),,,,,72839.98978068841,84062.9341251631,90605.56567355919,93845.3037727244,91735.45351063173,99391.28600983469,113655.77605581633,93253.50400240604,88398.63250037639,93352.21454118488,87399.59023344338,84200.11223342782,72187.13505663133,82079.86359716005,86444.09695758713,86184.41957480257,74451.48928411539,77604.18569209689
[1.5-2.0),,,,42279.788810641614,56717.24478963958,65844.79972230158,71577.82174761944,72630.48686037351,74141.94329312301,76975.10922772634,88877.00320230155,69917.5559448535,69760.86981518414,73655.3123922957,69107.28466387298,66457.47335474826,59871.07801745667,66376.343000773,68090.8000959388,68035.91994103185,57785.22447936873,59256.99703422702
[1.0-1.5),,,18344.064756959542,30196.156683428027,41107.95582808427,47053.87837673779,51173.74284522115,54089.84155654771,50780.23503360409,53413.39362681038,63103.476829731735,52595.069541654186,50742.08488869556,53347.649135776104,49139.82214130805,50421.056843634906,41838.35486990583,48082.361469200616,49199.6764601529,48966.69301938309,44649.45171881356,44764.89976388908
[0.5-1.0),,4605.692575576499,10961.944952426391,18576.07975043558,24782.34129269535,28607.575885891558,31543.47277369844,32653.676198174893,31959.35929929509,33492.59205458198,37928.132804173714,31816.744741345414,30605.85278013067,32016.542714493906,29897.801985290538,30817.419459965702,26457.65573518748,30009.859238281413,30528.130975159453,30537.739417960805,26135.987572248152,28203.086935695388
[0.0-0.5),5575.432717084631,1647.244412750372,4022.7338160808363,6604.123758757542,9235.459474600644,10346.039367196989,11515.78925443178,11790.533944358742,11975.421574853715,12531.079385204488,13970.485927225971,11382.951165571856,11100.933613723313,11985.526195104487,11852.617526585258,11602.647960765635,9992.661141033186,11787.087450205558,11762.287892498542,12080.35530646261,10478.020941954976,11421.077315660606
