"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[2.5-3.0),,,,,,-2.4459313911214444,-2.7664676674222353,-2.6819743336621102,-2.7880404979410183,-2.74050609822253,-2.269418640502762,-2.39762070331578,-2.5641729646025935,-2.491220445492653,-2.551033532636015,-2.5385555099124204,-2.528784088339036,-2.4011365656509174,-2.451535507795357
[2.0-2.5),,,,,-2.0508962304516323,-1.9973640753019644,-2.170671504612184,-2.0288375495015543,-2.7265867187596573,-2.1078555449506338,-2.5384155522658443,-2.090986215592257,-1.8443686958279253,-1.894368723527925,-1.9269371935111699,-1.9369522632513512,-1.941921434255328,-1.9994738074264735,-2.3425984269713074
[1.5-2.0),,,,-1.5578623237637437,-1.6346185294933115,-1.545885710784654,-1.5411933692055344,-1.6886180000494209,-2.032133271899968,-1.8898810680745717,-1.6608830251557658,-1.3929583555153833,-1.750194400497962,-1.7006790384776924,-1.7053016815190951,-1.5580794987681352,-1.349143427314319,-1.6935325037472564,-1.407476709863755
[1.0-1.5),,,-1.1681017336699437,-1.2014583099884724,-1.1638870951919031,-1.159044695575017,-1.174758172987656,-1.225735371967959,-1.2069781749379251,-1.1331708372530873,-1.0924431284537255,-1.1106303942235447,-1.4150030786246213,-0.9606420436034296,-1.0561974368769982,-1.0375013479214172,-0.9646171731986898,-1.1093075867808326,-0.926304037049723
[0.5-1.0),,-0.7254144465917852,-0.721462744754488,-0.8167540422990988,-0.6727375073853703,-0.8127271645596135,-0.6598728874849472,-0.701967064915767,-0.8098146451346073,-0.6472523952056516,-0.6727164607800651,-0.9193892466279869,-0.6302926083082797,-0.7987914332756677,-0.6839199510315483,-0.5758664563477552,-0.6942849088961109,-0.6880966068321446,-0.5982684361072242
[0.0-0.5),-0.2411691384264928,-0.2364095222850968,-0.2574681694317223,-0.21301013200540148,-0.2527779202155314,-0.22236769349499275,-0.21316720915628015,-0.2301597118590765,-0.22954339315016506,-0.22429403903821235,-0.21549994536693068,-0.19599653563042677,-0.2195818370740393,-0.19439879613269753,-0.24405016100376214,-0.20446584379187505,-0.2159713625800967,-0.21977766912174262,-0.195877288146028
