"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[2.5-3.0),,,,,,604531.5363151692,91154.09727974066,76251.11875638444,70164.07185438595,61756.66712580531,50421.48568124444,47050.46313842126,38759.06467376768,40570.691525341936,35667.34285320076,26047.04476346979,23378.42572232402,19780.10188605056,21518.220421952537
[2.0-2.5),,,,,108196.168435339,98574.67274674351,80001.42583229988,78791.76347889456,54312.65775570867,52278.483458557974,53164.86689726093,32868.514944471266,27415.997782601586,27281.317174953605,19313.237417423603,18975.39788990567,21692.53624187656,19559.69557747068,12871.100540223333
[1.5-2.0),,,,103305.00559896827,90948.42391306812,80641.50140600777,66275.24344203914,51174.09079182608,49788.661979243036,38625.63962335418,26976.945797600674,22280.632827385503,21386.429018669245,19404.810942374155,26153.237119281406,10868.342757711078,9603.512244969163,7754.980505869993,9209.905914962374
[1.0-1.5),,,158851.00184937683,79222.66301489418,70104.87005523214,59599.915364225715,38364.976395798854,28315.28908436319,31056.028558842758,18633.695402404348,15662.20745114656,15527.322544047229,18168.37374456286,8820.118972916498,8966.936172998214,6448.921374111992,4299.459073845592,4138.30004231861,3650.6276653084433
[0.5-1.0),,65318.62342293261,80939.4602173288,42591.821323645694,42735.56044089362,35409.50315333216,26575.981240079345,15781.413464112917,12482.194730661915,10182.927928595629,7775.155083392773,8899.286609591101,5274.816482499326,6012.768424144212,4248.246785578026,3123.1351883630837,2563.2880883441235,1733.1069359839403,1691.3060618585544
[0.0-0.5),1111.5868613784012,7177.997727319823,12249.913683503522,9103.124708571413,12835.12312051249,6163.160679574701,4905.320383025652,3961.410818053697,3790.565805706588,1960.7332323109465,2096.4566656685433,1447.29649735435,1086.8394495910725,707.8502830163334,597.265804522265,501.8627286924147,361.43723069604016,264.8270889200503,187.64100097394544
