"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[3.5-4.0),,,,,,5.081950425481063,0.0,3.3052005055122645e-06,4.688326099815524e-10,5.383834132318495e-05,5.065437206239067,0.0,0.0,9.246987361795471e-08,1.7095980229610357e-07,0.0,4.848519882478351,0.0,4.812929202893233,0.0,4.615866346889361,4.66369752306012
[3.0-3.5),,,,,,7.174601988433808e-06,4.1668897217695305e-10,4.630826494012519,5.30627632954558,1.8401115572950225e-07,0.00010148439566749049,4.832118891448887,9.149983075293435e-05,4.876669460872727,1.3806422673285758e-05,4.727114084302036,0.0,4.669766473404215,4.716162436938852,4.750273955527067,4.646623071956186,0.0
[2.5-3.0),,,,,,1.6439395399062172e-05,7.865625233943607e-06,1.8766328894235707e-09,0.0,5.113005322223953,1.5752159990954885e-08,4.842493643978747,0.0,1.8199430385074618e-05,0.0,2.53292955364746e-05,4.4365595719060974e-05,4.599724539393132,4.725661521497406,4.712911241842904,4.561951636350206,4.521838222145238
[2.0-2.5),,,,,4.951889449526618,4.592714289652022,4.432018024308701,9.694775744709242e-06,5.1798957033927415,1.375765183161109e-07,1.4242844636713195e-08,4.830842397822355,2.435681485002032e-09,4.764008776641666,9.612492379656174e-06,5.760741212103871e-06,1.0973916250782896e-10,0.0,1.666450384708942e-06,4.517908629389477e-06,0.0,3.807922453284381e-05
[1.5-2.0),,,,1.127161562664479e-05,1.9061010811769272e-07,3.9537769537206566,3.8793826894986836,4.481462177805226,0.0,4.872146725221816,2.110098524962483e-07,4.7107332258515875,2.4459426233251083e-07,4.670350581683132,4.724018249823992,8.672867805959917e-06,4.442343706649213,4.423004661802196,4.454233636837251,4.557850984874881,4.381772122781065,4.385002357632774
[1.0-1.5),,,4.0954705977676093e-05,2.8265356170591804e-05,7.175177458703579e-07,4.085765316602512,9.241369720197745e-06,4.293184923111389,3.721358625132692e-05,3.8865683473840175e-06,4.428760119954799,7.13635677886957e-08,4.274400065614439e-05,4.468155935472825,6.888524925052014e-06,4.343529714000347,0.0,4.268383351868452,0.0,4.319778005825854,4.2104671725543374,7.488270183974938e-09
[0.5-1.0),,2.326031098822559e-05,3.3922962077027456,6.888637604170073e-08,3.657847156213161,1.680017239823968e-07,3.687392818031179,7.43448289168063e-07,3.9614768315621935,5.254496786336459e-06,3.844787240611749e-06,0.0,4.100501780330139,0.0,9.303680971352909e-10,4.059760087533029,1.9167892905309816e-06,3.9246558078696894,4.270624275742646e-06,3.860926981243997e-08,0.0,3.953458007062932
[0.0-0.5),3.160643433679888,2.182280354960729e-06,5.468961856903188e-06,6.831945191437527e-06,3.3780718795558937e-07,3.631657756991991,6.188911551399739e-07,1.1335786398658648e-14,3.6317483872554748,1.490758007821296e-08,3.6317460767259284,3.4594727178788527,3.4605016609628034,4.0668427252541075e-07,3.459619624681034,3.426552662687124,0.0,2.1972234669420303e-09,0.0,3.4026601941540444,3.5450646111077986e-12,3.4122107432833584
