"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.8928565731645803,0.7659149936420901,4.0699113282476524,3.7512623848478497,2.7505543219909345,2.7912405816099146,1.850747465432232,1.6232896896534803,1.8565984364690113,0.7158346468466047,0.8201624488681551,0.8172230398705915
[8.0-8.5),,,,,,,,,,1.9854992097175725,0.6949309313800285,0.511381190738164,2.950750624209748,2.7922625745884724,2.313447537843958,1.8471537307447718,1.5115243942876364,1.0143602741526108,1.98829422460218,0.47875127686143787,0.5868618202691834,0.8122192655418775
[7.5-8.0),,,,,,,,,,1.4408219514937974,0.8665313951390169,0.6751452455477432,4.021811532314344,2.333286713729169,2.4217555784610325,2.0402742685744313,1.7391249940964277,1.2589139389759767,0.5157751729239515,1.466485178647883,0.8379456092225819,0.3189489535422204
[7.0-7.5),,,,,,,,,,0.862039142470581,0.5124375871133415,0.40704593176061243,3.89602996944619,2.666679987258495,2.307179106618999,0.9233828606567005,1.8678172543150422,1.2656865029249158,0.516596473002477,0.34679040437335473,0.7628573893369511,0.36823268134338744
[6.5-7.0),,,,,,,,,,0.6869260386200136,0.5189130155885106,0.3553294299337727,2.5148489392755713,2.378027611923371,1.123281534806757,0.6151345804419606,0.6225992759985225,0.7616266846945763,0.371806733705493,0.3580465479235418,0.34314067235107804,0.36250714050194466
[6.0-6.5),,,,,,,,,0.9834449172962678,0.630372492276073,0.42434785231656624,0.3512082606587625,1.1933462630914256,0.8140380794670194,2.1243787588822762,0.6885940744031652,0.4978019626032015,0.3973842138560747,0.4471084899143698,0.2850544496673951,0.29014214224877277,0.2454884262051043
[5.5-6.0),,,,,,,,,0.8159075763404697,0.5578430958485955,0.3993726412518621,0.26630553701831594,1.21307662157565,1.124853251128725,0.7432302451856021,0.552811188457816,0.4584676210280968,0.352488355237107,0.38316911694338396,0.28131790456120803,0.25679022674913443,0.25176297064847547
[5.0-5.5),,,,,,,,1.0161973392818886,0.6988453496561651,0.4306134281301971,0.3247620064344282,0.2673140802550058,0.8142664842782187,0.6576903110224186,0.6325158421766294,0.427526627423099,0.35512770150715767,0.38878236267341737,0.30232276328581725,0.21819573384422378,0.23479675995604488,0.2066781501342157
[4.5-5.0),,,,,,,,0.7728813156024015,0.7451085802448979,0.41962961676336086,0.2816105327833174,0.2429946646763403,0.7018145260532491,0.6344725267268776,0.5018018399238783,0.43148670487112145,0.31853030216806805,0.31870206200558493,0.25433956729445417,0.23350585716277866,0.21247057627663402,0.19813874561722578
[4.0-4.5),,,,,,,0.762339674992175,0.765092985755732,0.6012297627447007,0.38404847231876504,0.2308887283262644,0.21720505549816746,0.6769420398826711,0.5089258056213055,0.46250705441147466,0.37518771630661113,0.3524572069822882,0.27911540197379975,0.24070028784491276,0.19285772205291546,0.20229954799973182,0.1737756655317261
[3.5-4.0),,,,,,1.0063365216718068,0.8065495569610774,0.5631357015004145,0.44562957754674104,0.3334425391406032,0.2079508987515375,0.1681895537504588,0.5977283749647464,0.4293261392277439,0.4849611932253881,0.3101904185149007,0.2929331620503523,0.26874293893284545,0.22198298528326404,0.1666743928629625,0.16147141916222102,0.14010459244271856
[3.0-3.5),,,,,,0.772975941700625,0.6259980977058823,0.5705529202238293,0.4218266728495952,0.26683273578482536,0.1857258258026098,0.13068225995040836,0.4277081321968954,0.3748691233934086,0.330385059655964,0.26963708705804756,0.22660855804586333,0.20148866651509112,0.18549107706096543,0.1421903572667471,0.1308060412053645,0.14006640014669555
[2.5-3.0),,,,,,0.6191766716813981,0.5302326700063524,0.4382504085673581,0.3410418152937376,0.2242632185556519,0.16153097318546764,0.1186235531229182,0.3743238549532554,0.3238542048985173,0.3162255151029091,0.20859412166038738,0.18686347710037715,0.1764880107621033,0.15042262532386314,0.13281731056308366,0.12514680748384563,0.11549926363360082
[2.0-2.5),,,,,0.7348789111359777,0.5417796856234172,0.39941532439627586,0.32678657289662194,0.30645958592734734,0.17179521577651263,0.13855053994611433,0.09471281759627806,0.2925630761324366,0.25991965447439913,0.21885939372146063,0.18329739638929504,0.16905784020085313,0.1545662325989529,0.1207890583747173,0.11510601382052307,0.10555349301731445,0.0998165318245065
[1.5-2.0),,,,0.7466058323654362,0.5394145755181419,0.38738091417295906,0.3124744521930546,0.2706430433190845,0.20521582038493594,0.1308738359566043,0.09830391063837121,0.08005047057350964,0.24687540663589064,0.20385270327744306,0.1684130755333661,0.12911906457212055,0.1227111745260395,0.11539661158659253,0.10007362794685007,0.10021652133107177,0.08201882071191549,0.08060316457098603
[1.0-1.5),,,0.7222021491469395,0.5148535400793997,0.4125267155306027,0.2811514848851011,0.22432960748390793,0.22287368829866544,0.1354225861536661,0.09703575696367636,0.06323053292553113,0.05090845538683224,0.18605948241808865,0.14049206334500863,0.14267074887362433,0.1045668458990667,0.09957532525452206,0.08113810695484255,0.08177776960006457,0.06077018233959856,0.05712265546451346,0.05480639518662676
[0.5-1.0),,0.6762581401598984,0.44099556911208715,0.2986868904455637,0.23418317945828354,0.1779094947719836,0.12853316522263344,0.10713010851868736,0.08234652968162112,0.05820094906013546,0.04042702689496901,0.03423106936216094,0.09435362060126112,0.09000785559486629,0.07792574670641905,0.057097014840225065,0.05208061712246484,0.048279375034627356,0.04853642899001776,0.035580840113274906,0.03439819310880597,0.031169639950506263
[0.0-0.5),0.25970132452458383,0.24745293387899103,0.16109040732024354,0.11949931898935712,0.08902278235081686,0.06422270778306552,0.043867816908781554,0.03620180988627337,0.029917198870176995,0.018386681589182375,0.014214483916485948,0.011657286378791617,0.03498143234070132,0.02948728696117214,0.024882324546478443,0.018875071081495248,0.017363800536265163,0.01713804161701732,0.013776948244538763,0.012776578126873193,0.010277222787680795,0.010131137672395416
