"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.086372981684864,8.102633420273161,7.5764105341602175,8.311900898557985,7.276482115023659,9.241111838572667,6.878861390380978,8.283392264364535,7.224603580732893,7.704317539374348,7.400640474347481,7.335206294493743
[8.0-8.5),,,,,,,,,,7.474285818579908,7.1900802958982135,7.306665668485175,6.087854754169291,7.1356455719560055,7.230437564266635,6.178170519619686,6.9796396576203765,6.777485312947539,6.872547494364816,6.322031041091435,6.862737239798538,7.283081789130746
[7.5-8.0),,,,,,,,,,6.080205289937528,6.831910908607405,6.771641494730357,6.741280811409009,6.696447684961373,6.5624153393009355,6.833558898624199,7.448656376309435,8.884428253629652,6.372985181568902,5.907891985694399,5.7791640792725065,5.876110556266325
[7.0-7.5),,,,,,,,,,5.853787601566816,5.416602923755295,7.044647523717066,6.741512590463139,5.959829293048509,6.591829719816065,8.130635827718727,7.322904042779431,7.1639615042863705,5.2869213022854655,5.916380361325897,6.587348440316083,5.574546222125831
[6.5-7.0),,,,,,,,,,8.045232898832634,5.814471198509903,5.94380895024632,5.902894202663289,6.085270154777972,6.262422899222704,6.063384082485982,5.420503842575811,6.026648735789471,5.014819105116096,5.501205025762671,5.527699957700094,5.487938791873687
[6.0-6.5),,,,,,,,,5.8573044460503185,5.295061452757347,5.413434414304422,5.293737408441418,5.669849175803602,6.245699818721157,6.373093519968956,5.58498633577886,5.435179377089525,5.250502486494262,5.996959733358506,5.124706969026905,5.563414742964206,5.870690746866776
[5.5-6.0),,,,,,,,,4.496333957058284,5.503679539697548,6.010669486797168,4.570643686811671,4.867133320082102,4.848496291221157,5.501281648319797,5.9336479539942815,5.508561897180014,4.293154215645688,5.101266856389394,5.279800013358219,4.453615615918761,4.233852740289267
[5.0-5.5),,,,,,,,4.591970164678145,4.5773539730320705,4.32498127264696,4.982554106535212,4.289464774071542,4.622749842721234,4.314879266902915,4.881447124511047,4.977258333933795,3.81454827394609,4.95553560975241,4.896067021409303,3.509259050411501,3.869088471997513,4.85253938448325
[4.5-5.0),,,,,,,,4.120943352699846,4.360925342973403,4.987667085787526,4.376692717291245,4.046089417105289,3.861933588506833,3.76377766694727,4.193924641408873,3.7139453631212413,3.8135042441717957,4.159975671106755,4.151420083296426,3.8383182267419187,4.019503164392607,3.96403617718532
[4.0-4.5),,,,,,,3.4745833177814656,4.337243631184981,3.757190413353407,3.437334078612141,3.973848434828164,3.793860828891707,3.602599116747314,3.7815317714042087,3.6307560613216405,3.841959719404617,3.845966462888462,4.162765389739439,3.659957722186932,3.693349329191682,3.4928360945957326,3.8276626295008453
[3.5-4.0),,,,,,3.5273830401223654,4.189669840157512,3.230214913012199,2.9589885272759133,3.552560480667709,3.1693224723618574,3.082981846386135,4.379743466638391,3.09555238284753,3.345308360690564,3.446863625783498,3.1538717396488587,3.267370297595806,3.4357625115793855,2.9610918785221494,2.91149321369462,3.019186413483985
[3.0-3.5),,,,,,2.880955951265843,2.769662864248869,3.094856290154717,3.0435812251148606,2.844470475827367,2.825561258663112,2.5883555069899415,2.930850611493814,2.7889599367129154,2.6964151445524074,2.8259165755724105,3.270699251488649,2.835634589669414,2.485635450141129,2.224448431220792,2.316983488025856,2.63953577237566
