"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,16.674779610514598,27.642918682192292,21.73905563698735,20.310016142516407,18.521121591781974,29.53218046661317,19.632012715525274,24.59036500277615,18.35753726991076,20.235010270328367,16.114693423044912,19.29913612684289
[8.0-8.5),,,,,,,,,,25.89629143905091,18.419286126503664,25.15134385277019,15.730811729096663,16.55884777863674,20.8793575301626,18.863050204739586,17.16536437671787,23.577496414237068,19.113324775405744,24.000018084178734,21.384306589607487,23.02486056607198
[7.5-8.0),,,,,,,,,,21.618862967054596,18.286080452687127,15.466985559008252,24.75885468788232,21.600492971860007,27.22898177770372,26.876890092738606,20.917457979088283,31.852312105224918,14.955601145967556,30.003868521869443,20.303003973109895,23.01080632234781
[7.0-7.5),,,,,,,,,,16.82014212094228,19.641451011199678,24.60381449147674,18.858323823582765,20.141897297730363,21.341313220922185,20.2499145002101,26.73729981818908,25.057694843116597,19.746906237303673,26.649734690513178,27.304386039132062,22.547839581302092
[6.5-7.0),,,,,,,,,,35.00786959939916,28.059903526384097,19.739109825710116,19.81697019260736,18.67531994240557,17.497510569495148,18.933555220825546,18.99737670620664,21.988633539016867,19.50000555623401,26.775306482327572,16.68100254819479,22.24724676946449
[6.0-6.5),,,,,,,,,19.90645205812354,17.911359408889684,21.986939878312402,19.228427899852193,18.760269670908944,24.774910525836386,31.681956657086708,24.113827118542645,17.25958987074563,20.31470264997157,29.424059919643156,17.39652914529897,24.963783281010922,19.71378900486059
[5.5-6.0),,,,,,,,,27.606340660450446,22.102840805279012,33.13989850726532,19.2226781435612,20.4570579576113,22.062690832323668,23.0970177911608,23.520350192737432,21.903356929129796,19.525304338175236,24.567720952625375,21.174835500867687,30.227170245548958,24.196241052281106
[5.0-5.5),,,,,,,,17.70255533931193,25.342397956288657,22.4290237984918,25.93933600597003,16.522886489962364,22.464813039655475,21.513977619831017,18.713713669776,22.8861531381608,15.952716380112808,18.74469372134545,19.08612433431014,19.983137521343206,23.870497204783668,20.99951296025011
[4.5-5.0),,,,,,,,19.21003673176173,19.417405628161017,23.37384768890379,20.595164823977324,20.1910716259325,21.291988325546487,16.19502021893052,21.178693881076157,19.010397688771416,22.50993746371129,20.864830927962064,25.187609319449535,21.21100316382781,21.059163011901006,29.928334170115907
[4.0-4.5),,,,,,,17.347242078205124,19.45413349409667,18.261077745056728,22.452891385057224,23.716686051245862,19.985882757401594,18.249832116320928,19.12853777116433,21.452651210021497,20.533388069922577,23.283114685903737,23.31275786028044,21.946502014563087,27.855078069612727,23.633198587647726,17.47909445768346
[3.5-4.0),,,,,,30.631824615107153,25.7661492389057,19.47255149240049,16.919819273830452,17.50005015037622,16.932656825211197,18.08582901777697,27.459449584036363,19.861801876859662,26.268936855725762,23.085399295148182,18.70039336147007,25.651157092338902,17.565853994821424,16.53073454682036,27.110743030370568,25.09522179994279
[3.0-3.5),,,,,,20.43707281209611,18.03207848637105,16.275210900095757,18.74070111198815,21.000680412407913,17.100362485359927,27.168502115400113,19.646382290414845,20.415126794237864,21.10335440888584,17.045732395352506,24.67105008084403,17.03508133577591,18.5666130343534,19.531025135971536,24.4712786033174,22.534680586656503
[2.5-3.0),,,,,,23.58839161806087,20.019882883115645,19.75694416023618,24.276407779299355,20.755195440271944,16.130765403662846,18.283702287519233,23.872136124257768,23.070874543564646,16.65736055917379,18.783335325108244,26.754856602632266,25.47495677987917,28.30033751031947,19.324019901393378,19.45784788686641,26.235387371535825
[2.0-2.5),,,,,18.242947055401835,20.859387502899413,19.368186651089765,18.83378963892698,25.70365408137812,25.59809917043649,30.644715064305768,19.614199730937294,17.608779770435905,30.532582751096925,20.72954837044955,27.085862238508145,33.24037074085036,20.966818054306973,30.836750676380408,16.022434397518346,23.379757719500134,16.77965760801555
[1.5-2.0),,,,21.713054051065555,19.02256551309514,20.44582805079972,16.910323978527373,24.84324932676906,16.939998453850382,19.741678646127085,20.40525113720575,19.634194191515572,20.798793169372733,21.825321994491976,23.94752852268715,25.58671257153988,16.351769463684896,19.94873821308473,25.508006032118352,21.431627345273476,18.559084606079317,22.60568810028994
[1.0-1.5),,,23.390406865112045,21.75324672508783,22.837451001302192,27.136269432862107,19.267236132120882,21.131267693120172,20.82169934724141,23.501249427134912,21.199929203317357,18.62449305342721,25.768116555276904,20.539524782103644,21.84293913612767,21.72283203899042,25.0172260201677,18.07069196153942,13.462400050478672,17.828730318719455,20.460653726622844,20.333481804319057
[0.5-1.0),,28.46082419860774,20.359939528185258,30.619437762727678,20.88141506012242,20.85489391427922,20.311854949344077,19.504554314453763,22.81560194924341,15.141080175078677,19.47920871327075,25.19763408845235,19.799846965365322,22.989958983243053,21.059427127312823,18.777221388261683,18.31603766044138,15.522728714006512,18.77602254218688,20.583716397156525,20.15333088412449,21.38247055286688
[0.0-0.5),30.328014392240693,30.63284906351908,22.705279936661682,17.99286472948151,22.64240743034814,21.469239379092993,19.15694280305439,20.83203043697386,19.098488496600122,15.743228035351649,16.035852796283994,22.264817357911895,21.702438945839923,27.292442531151693,20.466541320161713,16.005415499043487,19.66574864369154,26.980648901440716,16.977812094921273,19.00245799801273,26.39531910211142,21.826673643055223
