"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Maximum [m/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.889173933257438,4.284691051578474,3.971104335762189,4.257197743813836,3.771296460003926,3.3220402141043786,3.6231507742323616,3.2551960375519644,3.3429535577436567,3.5792214462617156,2.8857897694443344,2.818440905437657
[8.0-8.5),,,,,,,,,,4.960295221250656,4.336217323870102,4.429557006236593,4.224673507214613,3.797523554612119,3.3372704838256984,3.3903509922336057,3.215394166461051,3.199893621634947,3.598800981176432,2.9222339500034225,2.7638390615661406,2.9262375169649535
[7.5-8.0),,,,,,,,,,4.808928896460311,4.997682344652051,4.104933994356773,3.578400741327217,3.882563996046527,3.5400820840442373,3.461621757383123,3.2844896147989453,3.489592708588768,3.0130322166254553,2.7676447558476283,2.87394907796449,2.7430699918868338
[7.0-7.5),,,,,,,,,,4.4662096796529385,3.7818681692081437,3.941985160893698,3.9683726942254425,4.228784583443508,3.3556733309974187,3.0797004039125317,3.22373599805525,2.7510304363521665,3.0964353047137823,2.868981951704608,2.630843428631638,2.9411661222481733
[6.5-7.0),,,,,,,,,,3.782968500936747,4.13946961015528,3.944876389705053,3.4731302368735624,3.1089912083088667,3.2805519058759023,3.167200286241061,2.7932737446387246,2.8936650416334104,2.8116223455899902,2.596788471537044,2.6301894183426713,2.221293568007274
[6.0-6.5),,,,,,,,,4.7398207948193605,3.916424048293845,3.5050826680400133,3.567818022458524,3.722402827414254,3.1161914698077595,3.2364068403156465,2.7432074444797716,2.4946907733483195,2.3004165176102394,3.05906770072468,2.7409319732152113,2.2981095924908463,2.1939958070012593
[5.5-6.0),,,,,,,,,3.794816203265725,3.5101722366287245,3.8911021067845253,3.252395574098682,3.207142928325217,3.287476483580074,3.452349831122151,2.8662679568012788,2.416291295470788,2.4409967400321055,2.6116013669197433,2.4640945274419215,2.133804601086417,2.1599264377626155
[5.0-5.5),,,,,,,,3.9639517936501676,3.554177503586758,3.3732097259391276,3.3000479568726098,3.3735745472124994,2.8484047640607315,2.720402916332226,2.532658296313323,2.6340670370903907,2.3260729899917174,2.383369190539981,2.090964352521331,1.9119426874233922,2.311858898354494,1.9010222294235315
[4.5-5.0),,,,,,,,3.4331740148457945,4.2261856945189535,3.203171802812148,3.1043161084750244,2.752053285184498,2.571679194798152,2.3356241516334295,2.4330681166079904,2.4610878986571665,2.0379547790108252,2.160188743294759,2.6376187543088734,1.7744629838849186,1.6789685776943661,1.7276779597430456
[4.0-4.5),,,,,,,3.52747979181,3.749913923292296,3.2019634134157413,2.789321458809975,2.890267855761189,2.5856281123819964,2.7891299253247146,2.549631633467038,2.566826850788518,2.082170959573217,1.9312771535449844,2.015268187859829,2.0095099465888224,1.5565267905031817,1.4791041487542966,1.5678265238226325
