"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,803143.062617818,1213838.2760887863,824329.6675174296,805500.0224892605,706336.9049368483,1095821.9298326864,598732.1752765955,783682.6345816418,572020.5743875628,648340.9311186052,470105.4179441855,464251.43465705693
[8.0-8.5),,,,,,,,,,1321765.8815194238,830187.8244333515,1040646.5340899145,569614.9620864613,600948.8949619214,685315.5367525803,578651.0354904607,498013.02023194643,694841.3015773651,497188.0437190257,578866.2089856819,527550.8278987933,528395.8235184988
[7.5-8.0),,,,,,,,,,890320.0930027057,706919.9169592675,557043.2953548501,845527.9590740997,635598.3140797443,764463.8768892294,727540.0156473207,554388.627221003,820136.09230433,326487.5128969673,657251.4631783352,415856.8175135365,460621.18973081454
[7.0-7.5),,,,,,,,,,619633.2719458789,644873.2266943722,740278.8133338877,545976.894602425,515024.0967215489,528681.6294791992,479929.73495525576,602479.0331367538,552411.9323062612,372972.05304499273,463132.88288049924,506437.1471483775,377811.76841927046
[6.5-7.0),,,,,,,,,,1106548.3553016176,828096.5509306714,529721.9606147034,510218.90912829735,427994.12758025824,404019.4791483995,407301.447015148,401532.8597464099,408829.33307560714,327264.9822036408,469944.8960952113,303583.43071184494,395384.00920759735
[6.0-6.5),,,,,,,,,626150.2834575735,497548.8735971165,569799.9388632354,451038.5799936992,416260.7547341418,554615.4126765765,609393.0849361415,444958.7064303326,288229.82832019054,321746.5693056675,468846.90406426624,247860.87009106338,369340.6427108037,250849.4550227313
[5.5-6.0),,,,,,,,,754335.0193389558,570268.5424023921,736893.75182024,376387.7779056387,377416.90373050066,379664.6272657142,371763.55130253336,355890.07276090095,305296.8541304944,268301.7948300396,325572.3909965006,282504.8086570999,335166.12798774504,286325.0640441074
[5.0-5.5),,,,,,,,438063.515214816,563633.853427724,452524.17408994236,482623.841804584,271672.30716864974,343329.9631631724,295449.33512156905,253883.26041545803,270155.77829599386,177250.54859719018,221120.97727164984,206376.25821659865,194634.16361515623,246259.54486141098,176219.8225709899
[4.5-5.0),,,,,,,,398597.5045170982,357541.6381549914,375421.3554519607,304822.7970020838,287262.2707076487,269825.1220628226,197411.0717733187,240831.9207459394,187491.65844992374,220881.07726664856,188497.75977865726,224065.69542031697,172810.59180286154,147081.6885526005,240573.77883336457
[4.0-4.5),,,,,,,306766.2039260379,315800.4878477937,282406.98605339177,310893.318615191,287470.8300337676,227036.20228877413,194073.96851448785,186011.38207473847,195680.99973892307,172301.47150312024,189147.7772910933,174014.2215994703,166443.71596960188,191548.8791587999,141724.80904745098,113030.93054729929
[3.5-4.0),,,,,,475599.56776997074,370462.02924782794,244737.4421296388,193642.82573919973,194170.8820034161,165580.02251374497,158806.44675245104,220598.56551555629,157602.56019704853,176308.00995286502,161299.8620750554,119113.69953206563,145611.56904999266,105333.03277799103,83531.93441873604,146824.11191772867,111258.15874423592
[3.0-3.5),,,,,,236860.15590373238,197202.76687670394,158089.00803664268,160361.17456768136,164291.0791779342,122345.28327617985,179076.4029097542,123648.85197891644,116776.7455454128,112234.44719893557,86390.92356293988,121903.94455566733,73270.36729542022,70812.36353621993,76369.46647037391,90504.16124549533,87063.2815895794
[2.5-3.0),,,,,,196269.63569316705,157622.8304835124,141583.23899827478,163729.59998402154,119399.6661877341,86931.12749402915,86938.02348220724,110257.5135940318,94859.05655107864,63132.492341896555,65093.79534140364,93338.04979217245,76108.16477289613,88122.2408864384,63499.59451342857,50657.957599932124,70201.27843882443
[2.0-2.5),,,,,112043.14370781831,118661.61185919758,103533.891876265,89164.21215701193,110901.39548165233,107078.788494996,113140.88788368602,66948.90616634591,53294.30971214229,81328.57142491512,54001.61131185419,65305.226090555836,73146.8853640791,42886.42988194653,65143.13440624116,33067.12089632545,44138.5944031845,30510.607865781232
[1.5-2.0),,,,84571.24120623016,72040.71698796735,71878.08630473408,53964.23202103642,73661.46642697942,46716.27576801108,47946.1409095553,45011.64443013386,37243.350762235284,39793.24795096592,37521.539587714,39387.92857007255,38285.46273737984,23784.9429012949,26551.085460326492,31148.391767581685,26107.172324173618,20546.80526982514,23961.877241342463
[1.0-1.5),,,44033.988900979115,44370.458011686474,45115.93878206823,49456.32056427135,31875.469058448307,32947.1070851336,28167.22166912262,28680.44604283439,23873.291995694035,19665.94417497611,26706.00623666133,18466.80030124057,18166.90333159335,17907.112707961907,18679.406438376118,12724.40859667158,8552.719220462663,10315.0524929491,12590.88805451594,10997.060518304526
[0.5-1.0),,13788.513798201744,14408.016915761807,23448.00224283292,15360.92160061006,14173.634705633898,12487.376973168904,10704.950557806682,11602.99405001712,6845.391743448553,7944.017112500568,9941.770245989466,7207.066509888694,7567.52990353967,6181.83401937762,5741.154195667046,5160.1967574425325,3860.6722244121775,4487.324282849311,4492.488217815227,4282.598671617139,4686.872879680421
[0.0-0.5),391.33227623247046,1754.476275355257,1879.9742349782664,1621.0612681653597,1934.266204389052,1676.4251347347233,1350.5003066933407,1336.9935178809312,1176.2918197849654,825.0040513615008,739.8599303995935,897.5198324534898,860.7189913139206,954.1003454576908,729.1480668185466,496.59389008155705,615.818027692059,759.9852027496985,466.45913611363113,495.02977028314854,646.676511947723,539.2208886099828
