"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,25326.235652027914,15637.048820182192,15160.495621065173,15017.208838935016,7409.65904028682,10927.431317713994,5564.84167430574,5645.561981889934,6751.068174795876,3830.288202426418,4014.4588631578113,3263.353106589722
[8.0-8.5),,,,,,,,,,35543.76473489294,16453.358868281666,14162.770197808251,10716.904802845887,9727.90198105025,5825.17295374248,5108.807523467921,4947.466172541863,4958.386204074821,6610.115611982697,3438.906361487944,3548.4878783555937,3776.5468450059743
[7.5-8.0),,,,,,,,,,29280.66494467424,27437.21539692997,15934.929900344878,16844.040508069033,7099.575372891101,7437.825391927106,6406.95875941697,4461.290840740497,3545.002810411733,3445.4612243353145,5913.791441523242,3630.8695016332117,2768.431092040151
[7.0-7.5),,,,,,,,,,15227.63433464812,10025.399120507414,10227.019762410602,16316.95559091149,9222.899845838698,5841.332101813259,4689.332558860737,5242.75394447648,3562.875394076122,3277.132561839203,2908.898033775898,3110.4833644370133,2522.8267775740414
[6.5-7.0),,,,,,,,,,13658.406170520147,12245.381038806312,8251.580785501359,7299.68684029427,7028.805431050023,4874.328827001254,5061.297844057391,3636.699775591693,3460.687882128155,3036.8618275938143,2533.9431863522573,2540.3731082502454,2438.505854172091
[6.0-6.5),,,,,,,,,18734.130174831356,10312.395818967023,10582.180342266134,8979.904542403438,5839.218018652709,5265.491285404771,4660.705744350853,3877.9786412304193,3867.8611367080216,2953.011447870672,3372.6935627688977,2437.3104561153705,2228.4210870129145,2313.8687722206105
[5.5-6.0),,,,,,,,,15039.467143139209,10383.647079838613,8935.57354209993,6527.296992355391,5603.733986940511,5205.4492186743,5195.239254595366,3267.969270198177,3022.798705837149,2963.9464813964173,3356.8965631074775,2197.3505276247315,2468.4013988421943,2240.1417069133176
[5.0-5.5),,,,,,,,14011.939774035716,13785.824714097698,7696.965290258347,6398.09957975757,7701.182414321609,5106.265652362141,4038.1892555610348,3702.5267417803575,3682.6914895834757,2681.613454609585,2810.9411133634,2455.676673929463,2257.2143515026933,2028.7823385680776,2020.9196092082937
[4.5-5.0),,,,,,,,11956.328015632975,9506.367203305394,6835.9741063005295,5695.8007354714155,5379.985432362996,3713.089247710787,4024.671301146598,3171.4892499911425,3325.490509011474,2643.8959685659615,2634.8250663764525,2005.8853266603126,2067.8347163089425,1833.0096775990369,1684.659518775221
[4.0-4.5),,,,,,,12156.19102728398,11858.554939214802,9442.871841019965,5671.640145293064,4814.10623720085,4706.355351925155,4229.850682904701,3251.0457283193296,3254.599433582213,2916.239341446319,2364.913888900975,2047.6516822972915,1954.1749946679017,1760.155763336199,1681.5475699779715,1465.2751509869101
[3.5-4.0),,,,,,18722.089501117924,11372.614290484027,6998.529584614556,6122.596399655196,5298.557619871775,4532.394599499065,3913.9007124627456,3658.034917047679,3096.5114840050387,3275.1675104270294,2285.037193160332,2390.923164526165,2179.2901257427657,1729.652695987429,1609.0562764174879,1391.5578741559555,1210.0531777612316
[3.0-3.5),,,,,,10795.869636620824,9612.825391062075,6253.760290823639,6318.356486016668,4782.178650448869,3473.9959138816657,3600.943177014932,2745.620185984721,2592.0512283083035,2152.6105334556537,2023.6213077084226,1730.1133488339813,1923.9121491677633,1406.6909620422146,1257.7401392352929,1308.662383832833,1174.6565535008226
[2.5-3.0),,,,,,8574.119277886055,6661.900731280913,5280.436131279527,5348.283618938,4042.195211561597,3504.171743077862,2604.66868324388,2349.765453098449,2257.894381601578,2358.8702141575304,1777.8023811757612,1452.1408319581374,1341.4158994796726,1277.5071073901831,1057.8351075445544,1029.1460529911208,972.1934218013278
[2.0-2.5),,,,,8797.93582999815,6912.371838438845,5708.906193030955,4162.849465046586,4472.17493182476,3150.0564792523137,2741.452358989086,2117.3889867308308,1938.5998861896978,1757.598462899493,1751.0435937771192,1322.3619660846064,1237.1273576298363,1173.5539610914473,1036.8275911589308,1041.1592799358978,842.3595404198833,812.7148319536044
[1.5-2.0),,,,10738.7596687711,6165.555613511857,4839.652452462844,3944.019702541455,3953.055148223923,2991.303810896243,2362.67000416121,2066.392688443899,1670.6666825481545,1640.1753981134684,1410.639564787932,1281.2763649931014,1089.232134914358,889.7155984012394,1014.2136788760333,825.8302021881591,823.1972263165429,687.2413165950682,652.3339317961884
[1.0-1.5),,,8378.742897992386,5437.758461104011,4276.735872802957,3789.670586670208,2975.4581319569916,2638.605042657706,2060.534492664353,1661.2644124698265,1426.048028403196,1238.0051424763706,1297.0541182612656,1006.7081090857591,948.2156627253089,765.2588578955756,803.8258242038178,616.7605725670064,611.8998227127033,518.0710777776326,481.83314066551395,540.6265836066773
[0.5-1.0),,7268.604824794263,4764.257563362362,3486.5608785004047,2774.6280275835693,2542.5251990681636,1755.2081967869517,1499.4921154786932,1201.9608395872183,939.925530040656,891.264123082887,785.285711042478,647.9962253162822,619.8534527849481,533.5192392646751,458.4136421671075,430.7824242337126,352.0440488098527,362.60995170496506,274.2398732341446,278.2109769685914,262.7716969175553
[0.0-0.5),1953.526891826867,1750.4428910690228,1455.4364370835985,1183.023886866623,1091.540251121746,713.3371192012619,558.8023452234892,472.5567387870148,430.24984528308954,330.2488488766413,303.2927681521655,332.5029867537856,246.23531252211117,210.77999967334296,179.20161636083523,140.53613131835553,138.7724517094883,125.8740351113746,112.0170725751874,113.23310711856888,96.2247145190135,79.5289112772244
