"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,11591.03442465641,8365.91931237275,7365.974723703808,5700.823899987173,3869.8840270500227,4397.884705420627,2365.257411353179,2588.390666333656,4353.484456784765,2641.6496198395125,2552.5693588120416,1980.8135511674716
[8.0-8.5),,,,,,,,,,21063.98649174026,7696.88113452007,7018.237793738561,5087.212094229255,3953.934204781478,3193.5978092470073,2684.445019474804,2310.252010066167,2046.3148894579465,4876.712097711987,2294.851590711485,2127.5506631751623,2431.3356975824795
[7.5-8.0),,,,,,,,,,14551.688522437697,12439.229178907415,7342.57992939969,7668.373998507583,3596.2104910546345,3393.004291758234,2624.64269506723,2219.288380063079,1882.8656602548892,2062.548696540327,3807.134598427291,2296.984407263989,1637.7906278016944
[7.0-7.5),,,,,,,,,,8503.397130772955,5600.825086855028,5345.309318203163,6784.611179867575,3902.2876654388547,2809.5955689385155,2481.2676538358846,2312.848881759262,2216.1310328782843,2381.997125892832,1861.6206624332156,1707.8631602994938,1527.5175312239003
[6.5-7.0),,,,,,,,,,7581.533768914673,5560.134939145021,4946.874937242857,3901.2350612139817,3787.6053069303803,2604.1633250923023,2535.039664133998,2025.413867246912,1799.3628750846192,2058.639185836424,1701.9856660359949,1773.5984336088577,1360.119934466969
[6.0-6.5),,,,,,,,,9631.603502413278,6115.591676285027,4933.866744149159,5108.048170952853,3567.2557250780214,3004.0636016949334,2381.6400877724786,2050.821610246499,1847.388793294863,1707.4480016624655,2014.553993339456,1733.6821251930287,1533.8691655257312,1345.635962301119
[5.5-6.0),,,,,,,,,10191.252935531706,5698.431406513112,4406.78935346984,4133.4745516081475,3244.9385638817876,2748.16296676105,2414.288812547334,1725.251881276251,1549.972729231485,1379.4452427098233,1926.1410624573427,1460.7693559718539,1351.945463540663,1126.3603698979884
[5.0-5.5),,,,,,,,8945.90260594626,8080.863171849323,5186.859166710124,4675.071861147717,4186.801274967416,2737.9887462686293,2370.96851139723,2097.405180914681,1906.196888821232,1338.474726486158,1487.9126926106292,1629.095033727678,1302.4851569671305,1171.6801885554735,968.1903643846105
[4.5-5.0),,,,,,,,8077.851813161343,6447.869102871546,4989.51713103399,4465.982268255407,3078.028379242143,2439.669038163435,2109.177436312549,1618.6559461017705,1507.0200678856436,1426.9404016723197,1103.9535282503184,1130.9022462054093,1299.2737367898214,1044.5037016182475,882.1337777380953
[4.0-4.5),,,,,,,9100.990381394644,7298.334966836899,6851.25331957211,4628.085144392796,3294.2228619457396,2927.8117119987824,2395.5591528777923,1880.4447236367962,1522.9671613598393,1537.2265064701419,1174.148849568854,1071.0071284203757,1255.6575115165178,985.9885765582665,1017.8801407726592,806.7475549159477
[3.5-4.0),,,,,,16596.421342086687,8690.2187791562,5781.333893251709,4045.2586262872837,4121.763928219137,2732.7764215049783,2349.6183151703863,1905.9293310690755,1543.9528539783776,1440.013543806456,1107.6440963521486,1110.6802081747499,930.2712421004882,1039.2859298863366,836.7996336165328,807.3457828906879,703.5700242305311
[3.0-3.5),,,,,,9430.250985229437,7148.88430920923,5297.386574414698,3952.618055149892,3183.3099464095903,2695.2252239295644,2179.639747556384,1655.4031833601146,1384.460999517496,1129.1024541953666,1132.0850409029463,925.741600496834,965.6721669688948,862.2270987292968,722.8038133553572,692.77701929429,678.6433911310758
[2.5-3.0),,,,,,6990.887452274028,5844.04340427078,3556.9649535275853,3866.0905817220396,2604.910415677919,2307.875508982564,1841.655552053178,1356.5992211725975,1235.5768857572639,1044.2189684803373,869.5414679829239,804.6177214843851,815.501315494087,713.9498930290177,692.1124489993531,656.4964936864812,528.2626353667235
[2.0-2.5),,,,,7792.176380583638,5912.910284604496,3976.2790262358235,3760.309489946234,2704.1283180527375,2106.8867398536645,1975.6952530377964,1490.910265691693,1254.1452237377669,971.9666126285113,846.0646271974092,761.8199405631636,602.5986789641203,617.0138291772961,661.9297078704732,569.7015122230142,457.9695720176063,485.36959290172723
[1.5-2.0),,,,10006.992809856849,5600.719972407322,4420.92130062322,3233.240610419571,2700.4283680945136,2098.1813254940976,1641.1425469838982,1329.783536863796,1052.923726605569,910.2324092615283,808.3728923872668,783.7121265040709,524.6991128780863,517.20063859598,432.014813690499,488.8006475942012,413.53364098437567,404.7123688348453,342.33469667133215
