"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,11373.741293618265,8596.224903779474,4782.991815922471,2467.6961367202175,1955.19623818768,875.579595596673,563.5449899691737,732.4147481970712,567.6354680222247,316.33100367226746,219.6217956746723,151.3997885114643
[8.0-8.5),,,,,,,,,,12346.911535752037,9499.020130858584,5296.36480414819,3814.2188028606547,1942.0329843868046,1251.9422868288027,777.5267244068017,654.8757787391124,410.22864143284653,494.6101727119339,319.1674124892617,214.75175623635835,180.1640986934921
[7.5-8.0),,,,,,,,,,12473.461455665762,9483.104889771877,5541.505160976274,2716.4713258153624,1860.158860743394,1281.4705417182718,659.0547704832142,435.456818933831,291.5252654410823,246.46897401056515,250.30305357357793,180.74412781798299,141.99572026908805
[7.0-7.5),,,,,,,,,,9223.27292882307,5590.05129206199,4789.52941079359,3079.2326986995886,2014.0205898567565,1072.0389190405833,552.6644760679137,391.1510375508786,252.11636108796463,377.3536850734524,243.92609562524427,160.06579039796003,160.1190563027458
[6.5-7.0),,,,,,,,,,8256.697909094533,5926.727040165191,4135.365088215392,3416.4046211198784,2468.41053728519,781.2542586848132,830.7539394989835,393.7618207785865,249.15586435028376,250.72513074715053,166.6706047513181,129.29557613380004,114.67242326196558
[6.0-6.5),,,,,,,,,12180.436506429513,6575.302491081564,4307.365194956294,2978.6364841324694,2159.726209265473,1202.2955730618764,738.266136640832,447.99222066244073,318.41269450978785,232.70072191313184,234.0147782755772,129.10672596557828,93.41504102858855,87.14711527773088
[5.5-6.0),,,,,,,,,13075.705671639962,6299.146670305647,3745.950523651457,3332.7014148364665,2131.4997624753146,848.0956661936676,911.6614044972423,371.5675519475238,239.38422768487808,184.337025616082,235.6290102856493,150.77258777636854,97.4228828485706,79.5014906827401
[5.0-5.5),,,,,,,,12114.828319551843,7226.060567252507,4327.640302298011,3807.2768417544667,2494.827432949903,1475.6831119724764,848.8397677727311,558.7639049951737,307.0432511231616,193.087149299661,164.83071996380457,103.29089658262255,104.72576024152197,79.4818459518234,55.62143939959916
[4.5-5.0),,,,,,,,12271.97039171323,6768.440488525249,4606.609856194465,3015.6117615905473,1445.0106632641064,883.0308073695777,723.1757862248273,378.98683856583665,217.81178551998843,153.0028540960688,113.45811255164541,95.54013349733577,88.04037907695634,50.541993865446514,40.09284566321745
[4.0-4.5),,,,,,,14904.01063442153,10374.215760877623,6059.970726299119,3578.7497070385016,1705.1098464335862,1289.2698139582988,846.4896385391961,463.3545776068091,321.7682684617297,275.8347249541343,130.2949823963228,92.36427095594323,96.76684418268613,77.62988933210163,54.87976354417898,31.507908313972468
[3.5-4.0),,,,,,19563.873794112882,13563.286394890278,6754.388873414082,3354.264895520824,3035.8394630280027,1667.3437231236583,1043.162945126377,714.7923547730685,370.32694075250146,297.2714937655451,146.2105697641819,133.98915235664987,85.1486342791091,69.7483246092161,39.08648926962829,35.86610876172658,24.25375109917519
[3.0-3.5),,,,,,18666.848791321012,8995.043915163693,4900.23092580991,3150.9721857487743,2283.296187585106,1295.7421706333207,942.9310624632162,479.5759590429233,314.2795448192038,182.2645459980667,136.6017409854674,85.37902674155566,55.13361243558309,48.43091118956143,29.184680054823424,31.957400027469717,20.135999873550382
[2.5-3.0),,,,,,8763.81687164379,7970.34361699955,2887.405094062485,2322.759045222169,1429.1131263192203,958.3062033878828,525.7605538449831,348.12463356128706,231.94556007674498,174.5894558508392,80.30533243573605,58.045550908010625,39.84757869875841,30.452476007190498,23.12389816037817,19.35534319932558,13.983383619360373
[2.0-2.5),,,,,11848.287965780495,6982.297554142033,3277.0101458158856,2386.4011551700833,1288.952520933338,711.8671099096903,620.4252577947876,294.75062323102713,244.38331394240666,128.18840747253736,107.41595075291292,64.4766588971207,38.66096307004585,29.01061809436302,25.17581956005867,19.956426038674568,12.233381785656963,8.899950984935248
[1.5-2.0),,,,16260.194938631465,8569.575927472984,4400.682330204123,2766.2216425431698,1803.755795520903,778.1857051594433,547.599755749278,350.0614252548116,214.6010678651073,154.65368179317625,83.63445033143495,54.934371689293414,34.23780397651404,21.505782048056346,17.996650385582925,12.521781965307657,9.463684891975529,9.16264937317692,5.593040114406419
[1.0-1.5),,,10669.735342774813,6002.713033593197,4386.23315436606,1518.9390339446818,1136.510515218798,637.8764319233555,460.101844830948,261.7160812479627,172.6380771139116,118.68228035477303,78.25966438733866,53.68612126688753,37.52808326489248,17.70838778053909,11.24125277438486,7.979359502767099,8.261920157368335,4.245575728811042,4.7323587342416715,3.208921382321201
[0.5-1.0),,6425.157004812983,4811.737166614972,2663.3807402131038,1468.8171442630876,690.12534711396,407.3296276102908,249.91975095423237,168.01883797233003,101.63056759383572,57.962791321660376,48.70287767144574,27.24119523991902,14.333118831812639,11.01712237491803,6.252003700550256,4.5540467003959755,2.481858709788909,2.470895884212793,1.8106340371236922,1.7501623422213068,0.9588741542615815
[0.0-0.5),284.49511545886236,804.8270378022142,563.8000152930458,303.8651268207161,225.7288556526421,85.15568328606656,51.63767035000337,32.918024509116606,17.3828567348656,12.116552781057718,8.300041987521865,5.092577337520797,2.8708311547319383,1.5194850646686027,1.11948590958613,0.695719984193135,0.49662572362554097,0.3054526555218343,0.2767074421902496,0.2015797624501797,0.17309624893698763,0.10567876767597116
