"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,17.681946271607956,18.859985655127524,15.631540476975491,12.570203330491285,15.76946956094647,11.069988114301362,10.957624125520883,21.109121913824858,45.712159424398614,24.032731194185523,19.053589492873133,16.397103043971953
[8.0-8.5),,,,,,,,,,14.47198525058322,16.328348901741577,13.036877275239132,14.005102094333981,11.166112212451061,11.36863013216618,11.068074477790312,14.431642845898518,13.244559465374055,38.07762427525974,20.976375668176935,17.55354889228856,20.715835354947888
[7.5-8.0),,,,,,,,,,16.28684299882588,18.535303045076578,15.285593643812929,11.252416547145362,12.043895559668325,13.18828476312162,10.666466483463802,10.788254869910487,10.705202932027928,12.18818991298983,47.25276742120543,18.788089179943896,15.969441503933252
[7.0-7.5),,,,,,,,,,13.995392257842314,12.428870733901679,15.067594355311657,14.528283404706023,14.86283743526482,12.565053214804346,10.218980061838453,11.107443672753613,11.545782423216643,24.374516104047846,21.398627961662523,17.124785230474927,24.710788250770086
[6.5-7.0),,,,,,,,,,14.140886995968678,15.142070913361152,15.056157698108384,18.496276241679965,21.08605707624375,11.060780699054085,17.75044858311839,12.812151889283658,12.00241067747024,17.422101398121097,15.940361856271412,16.697431517853587,20.50387769023747
[6.0-6.5),,,,,,,,,15.960495957934016,13.61797189196374,12.828958507187881,12.590620274972098,13.603863174173119,11.90911444476813,11.557824192297259,11.07490569256328,12.14809414281618,13.042918722528864,17.11290473988996,13.725907243750715,11.894767884273216,16.420090059794934
[5.5-6.0),,,,,,,,,20.10471195647875,14.838465367267673,13.190398289737283,16.580959101056767,15.769245160676801,9.932510984248891,16.966722789100174,10.850387450449661,10.796974233424624,12.262215432169382,28.221925710407525,17.867827832566814,17.026897210400783,18.19345113117383
[5.0-5.5),,,,,,,,15.100834255598006,13.304884757646821,12.1637613727912,15.980848559708097,14.83495071531095,13.088075382920369,11.849151151621339,12.46864858750712,10.75559007814049,10.408673051648796,13.161694380335794,18.285518894070606,16.570149425352977,15.931733466086344,16.80765788071858
[4.5-5.0),,,,,,,,17.723390215104597,15.822670587874255,15.768803338227363,15.397777855283152,10.400780613071499,9.565573548287905,12.368303317079226,10.302249244497695,9.304909572434415,10.002156117562938,11.062370837508062,14.769399481127936,18.105881963240286,13.917900632331948,14.143285741500755
[4.0-4.5),,,,,,,19.677050957684287,19.2481388971537,16.81540357303527,15.250344845309764,10.80253102542918,11.509466852515429,11.332076820919498,9.859085427116296,10.854146678465098,14.688404113531393,10.689257302022838,11.265585323986409,14.276174787337919,16.62006792407603,16.318173195440544,12.177257734471263
[3.5-4.0),,,,,,17.596204841354453,18.982132120294835,15.282329125194925,13.411900916944278,16.474736516656822,14.069360077454308,11.932370164971498,12.280315253489709,10.074070187815352,12.870335470236341,10.008515839060687,14.023044144012012,13.217507464839818,15.190968383325657,12.317678182465544,14.400465780733645,11.623570556023788
[3.0-3.5),,,,,,20.116411260059106,17.636798814888085,14.701604825055655,14.87583546929138,16.455745444535474,13.967144872219011,14.321275177171888,10.880283189225553,11.341908063741675,10.549226056888669,12.340670539518317,11.860579585767882,11.373804320951217,13.972890347068436,12.237446011058424,17.030402499834672,14.074476107535485
[2.5-3.0),,,,,,14.540991536260279,20.353444843807,13.55801114158114,17.577113865760317,14.29819733384442,14.30162467162474,11.042798014447191,11.01211661369909,11.700882561495678,14.058160617966498,10.176086571702687,11.306256656518745,11.585193909907694,13.11130956321305,11.982642609181223,16.946702281301143,14.971131324388999
[2.0-2.5),,,,,14.652677267915102,17.995923478443423,12.334469757773666,14.627491391113056,12.427309779443133,10.932645369133649,13.85148938758911,9.204616409183583,11.528531932001323,9.612590693652981,12.906904982386063,12.218149806821083,11.234691463193561,12.574577682676377,14.922603684831772,18.127596401275856,15.352808308235032,16.369670489217544
[1.5-2.0),,,,19.386670885723312,17.695595187434293,15.979526793365329,17.969747843976414,18.181994996313293,13.64711912149669,13.314505200290489,12.832708493790621,11.05476522437489,11.983113601065511,10.394860345362362,10.8588200802201,10.680989659596277,10.370996102600094,12.781498482743928,12.122452012140695,12.129141429700834,20.08635613224602,12.462774601077644
[1.0-1.5),,,13.734741311744123,12.69199795742247,18.392558823842847,12.367717697189368,13.545944238800162,14.884197054841694,14.273093435078165,12.408112683066404,12.297938978987439,11.830698763890647,11.79987820229441,13.021547291340589,14.566862223591754,10.829186898396287,10.58633466798201,11.13407617474735,16.31054483423988,10.857061158690561,18.25440555682065,17.15712731127167
[0.5-1.0),,15.234505942270454,15.508023412399647,15.09291354489329,17.126243650825785,13.290649114450568,13.405404299239434,13.406370999616957,14.323284922449668,13.277310812974564,11.404140444556177,13.437993449448468,11.391399135201244,9.605407739287088,11.880839708208182,10.590528534586834,11.850623404938721,9.631256965029246,12.972770475167048,13.350723583380182,17.637149320556446,12.614991867026049
[0.0-0.5),16.04836025841546,14.969951716640686,14.57631023704966,15.776771851188895,21.17856215860235,15.165251097354744,15.726640929786425,15.726603430472034,13.128955724203259,14.153208574062894,14.699583177240648,12.610448328291984,10.778621340783056,9.183189184078236,10.833031532021293,10.648734526508076,11.687351456444732,10.678398644223076,12.248442260518434,14.713661701006057,14.524587991934778,11.25761497898758
