"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[3.5-4.0),,,,,,4.524219369938353,4.453485582389318,3.885448444129374,3.5102438247724113,4.196143696082512,3.168524343578877,2.9611794790813164,2.6901821285991394,2.54400153731439,2.7563899044806743,2.6535397185874174,2.285454432959001,2.019800025392067,2.214155896384077
[3.0-3.5),,,,,,3.652713453469557,3.5295660244763187,3.4329629992030437,3.5065303022957384,3.017646840975216,2.805415960840803,2.7325730397312937,2.4236199639655234,2.4114597089132053,2.296285389430465,1.9710658291743743,2.3391811072709214,1.6664138050150363,1.6988654905950364
[2.5-3.0),,,,,,3.2066159385436057,3.241660942828027,3.3329861428075995,2.5661591307691185,3.1628075245412615,2.449151957099184,2.1366479506615015,2.1646910614200023,2.0540317607361414,2.1651133205465625,2.0199516121368273,1.769406033075076,1.5978094278055601,1.5522124373107238
[2.0-2.5),,,,,2.4492931087599135,2.5920561672270024,2.607527734758101,2.467297686030913,2.9939752659160956,2.113964485054809,2.4974663469556546,1.896550084067646,1.8331232123691954,1.6338017886793752,1.6193743409646708,1.3905523993836937,1.503153458545354,1.14247263967054,1.6659036871783968
[1.5-2.0),,,,1.5015339080173538,1.8704134167902016,1.846555490195491,1.682637758607066,2.1792585344486795,1.7678194702385397,1.9640794475787524,1.6947796092988276,1.428999359855093,1.5033854120334074,1.3991687051195743,1.3156892511506382,1.11713831559807,0.9685211594949397,1.1090082789907287,0.9975638177345311
[1.0-1.5),,,0.7236663720627263,0.8841039199835375,1.2342370549335384,1.330178298008345,1.1908693703810822,1.437937717900043,1.5025037478048249,1.588381438071843,1.1852601639952525,1.1443398550294004,1.347365907750689,1.0575376463663375,1.0829703915369668,0.8182649190188216,0.8421651366134969,0.8106492142518277,0.6835144869999259
[0.5-1.0),,0.34662378592306115,0.520078807851748,0.6296061749780903,0.6458947916641444,0.7322135149991437,0.7444704017846268,0.6034012318930818,0.8042949988087011,0.6086598027739047,0.6797093535344351,0.7716422524885902,0.6104679856792935,0.7230355325528895,0.639809226950975,0.5592171025458087,0.48771969609719584,0.40894923795633387,0.47511087000100677
[0.0-0.5),0.05126412072368879,0.1247808609852599,0.15979624081166224,0.17639864829023932,0.23278081123031824,0.20507173095178707,0.20026648211181305,0.2109225537275666,0.20280439500328695,0.18169891100464722,0.2029900860904133,0.1846004675375765,0.17772814144683918,0.188540093087501,0.18586793660501585,0.15021725200993336,0.1542961240588266,0.15621020236627753,0.13820197279684476
