"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[3.5-4.0),,,,,,457.2607144009255,305.42023717211214,149.39179400249236,193.58932051075652,79.51814818887125,73.46169511104371,42.424162001655844,28.83186444484372,17.362744266832767,10.781115433584576,28.828741883800564,5.501130889645024,3.6516524430882358,9.999403316305592
[3.0-3.5),,,,,,432.6152406874874,354.93969887637036,211.04541662396466,86.04499609058877,73.3967034048089,24.123101501730886,9.721764830723306,4.435103688498948,16.42755626008466,3.95997636667074,4.882626215529623,3.712313356346229,5.793749519580806,5.911045920111576
[2.5-3.0),,,,,,337.8459847329211,261.83496621142456,111.10386039182838,66.86348935955948,30.077740357923624,16.871385431872994,5.774914802562469,3.9036195781995273,3.908536344008496,3.7477467161722737,3.6809359640057977,3.4952900299207226,5.76800486510543,5.89164656242658
[2.0-2.5),,,,,123.45322642826142,160.4044880919825,130.7746764689384,72.80549871831728,23.784148576220947,4.993259519326893,4.732508415333029,5.775191378636704,3.6571482529454795,5.7363912047283385,3.6961914102287188,3.3944111747853465,3.4112054426599476,3.1618441797550916,3.386724100238511
[1.5-2.0),,,,2.6450763594948765,20.96096069661207,34.08199505881508,16.893940994082545,23.06744199207057,16.3585763924958,5.790303734474225,3.757661851332419,5.817653219522061,3.6064096779665964,5.871119902565386,5.9027789740300936,3.258755145660152,5.792738588248758,5.814930094442218,5.8082718845703
[1.0-1.5),,,1.0411054237613633,1.6698477532413403,2.9246361080115615,5.034747784260136,3.0130041871568167,4.370486006173105,3.418577189653793,3.514576629231302,5.577221514161607,3.2647593919559967,3.3079131724239383,5.749403183754749,3.130836602600558,5.81788018121078,2.931391906981555,5.775438851104247,2.7568112443273294
[0.5-1.0),,0.33568655178317064,6.146207049311203,0.8717978879980155,5.98876039896552,1.4879195171996185,5.531537657875722,1.811561034945277,5.409996701487196,2.15496572444186,2.5447933800350127,2.7377614551694065,5.7286139062083805,2.6230454233072367,2.5062907761352364,5.778289399611205,2.3109033410722137,5.801809013413676,2.273905937492717
[0.0-0.5),6.284257330854781,0.11574891924572484,0.20449711416340266,0.2737237829902659,0.37468972371032994,6.245099425436384,0.5012143185626701,0.610121687411374,6.106387003408544,0.7277263979793553,6.088128254180365,6.039490837868493,6.093681423163066,0.8168934353200017,6.027382764135991,6.073081570137413,0.8656911591655572,0.7321955744815796,0.916246230933357
