"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Peak To Average []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,18.62645159815305,30.348204301572768,24.796385794527446,19.233651882609774,13.2876254739817,24.75857426373037,17.30041523559195,18.527495930774553,18.219115156493626
[8.0-8.5),,,,,,,,,,17.160665987763604,21.152677190314705,25.07407546595112,17.842922214579698,17.44944590817491,15.063774635431047,14.339550324813809,17.25466878598514,28.327716432800532,22.687687072654025
[7.5-8.0),,,,,,,,,,27.610186587085135,21.721450881768387,17.99845843950695,18.078680058461128,21.06386830675687,28.649524628784157,20.781883077252008,16.561561977046864,20.925700481257426,22.89029929098175
[7.0-7.5),,,,,,,,,,21.11627628006587,22.82477223239805,18.05882085790362,21.13034654301752,16.49339588310581,25.01301404055432,17.709624353320688,24.190832035425753,20.14814075319992,17.83194785747761
[6.5-7.0),,,,,,,,,,16.334229875211623,27.935572412460818,17.705940344621172,15.678167675260212,25.181466839628236,16.580552016888028,18.112874164281646,14.26870845023587,19.43521983751009,16.94095095371386
[6.0-6.5),,,,,,,,,15.983709308338726,21.53911680826328,24.052749727784395,26.096998464802606,18.14239069866367,20.119394106889068,26.84486050390822,15.963035870079938,23.4532101330317,15.821575491135434,33.8339446497655
[5.5-6.0),,,,,,,,,19.143809226969076,19.97484032542305,32.53910766005281,19.58874546694006,18.07089524528383,20.49152530824186,26.012413811342576,21.6000518837556,16.95655394844003,18.57314169840546,34.1961161752817
[5.0-5.5),,,,,,,,13.799096676784536,21.264218535084424,22.415558501657642,22.88144963834696,25.145063542218708,21.95043366976229,17.533343511547663,18.700059794198904,25.47992811618701,20.395777540821292,18.892514458418823,18.21341057034986
[4.5-5.0),,,,,,,,16.903237063910584,27.238707602556417,18.117026346505266,19.595497909275835,21.659163352020627,18.433734575601758,22.355236033667246,20.437905201282735,17.319944543770923,22.028956590549015,21.22980191205665,16.424253100602964
[4.0-4.5),,,,,,,17.851594566896186,15.865367501435104,16.772386288076525,17.46159714553197,14.762242304221813,17.50279206534146,20.698660461957058,18.354564486839763,26.22040492438045,24.390561052036297,18.3807950345897,22.507016164372875,17.22511748027454
[3.5-4.0),,,,,,15.810029113638759,20.279196697924117,20.649892939590597,20.94165435215116,16.120980882771935,14.117319608636606,18.50308585303174,26.371387791960935,23.227046605183958,27.31763897141652,22.30168708481865,20.51429654965835,29.238488795855478,17.72664860586328
[3.0-3.5),,,,,,14.508864920902441,16.652748076861997,20.562718677822453,18.38654204709584,21.986620009753803,16.23183200174505,19.383677044835732,16.828011065395604,20.24184079857067,19.69475024913542,20.658987862344244,21.957367485315174,29.37799367819195,21.526229070095255
[2.5-3.0),,,,,,15.135717401665543,19.380927563825498,20.93218414096071,21.661309789292158,22.423934468656643,15.862983258867638,19.412061510353375,18.977646939675605,21.29172659524974,23.948330673618763,24.89734236093147,21.505723844127584,19.837813413462435,23.515900934661033
[2.0-2.5),,,,,15.409718789455798,16.17027195318588,16.297593850777275,21.430944935787046,28.719662017299143,22.783995695572333,27.886305160263,17.228126101456503,29.136733864397954,26.836217013072293,21.148671142848983,22.22662782938739,22.733879527818644,23.156661735415447,21.475631711596492
[1.5-2.0),,,,13.815689074215888,14.647431623699267,16.074132316171053,16.783048939536545,19.43898677377433,26.211651452078883,16.28593767528608,18.55707603663169,19.789925448654,22.55553711495932,29.238042569848826,26.6420550920806,17.84113039772351,14.946466757899973,25.08881007214071,17.0535251867031
[1.0-1.5),,,13.214237700453396,15.634361403035072,12.993203794170093,15.423590718171061,18.077168448409292,15.688873156967237,15.895153149672714,15.888885498005921,19.052952238428425,12.613144346791765,29.340317601047182,16.011356153676548,25.83292137696023,24.658500773330406,34.81168918365471,24.96045250247846,17.292558412688
[0.5-1.0),,15.487780570230456,12.656361391785062,14.89363067969467,15.489251015355622,12.588987675144647,14.468225640114145,12.825576252290812,13.91201036743404,14.475506104820674,13.78215178435709,17.340452571241194,14.008993203235331,16.35715110358421,22.325216684686147,21.834394656907516,18.888305033448077,18.57330007958319,20.37361724175717
[0.0-0.5),12.71741617211858,15.139758216631568,13.000283019874573,18.744406650517544,14.242614776070626,16.524294198673758,21.44383370562786,17.578203396829434,15.923572386092879,14.348269872523822,10.682643637818693,11.7313287665371,11.611677858686054,14.340044214200894,23.637135002014016,12.684229109051488,14.279763926413514,15.625773861003433,12.639510387422622
