"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,287317.0040743669,242639.84764148813,215348.89121916625,183462.91691541107,173986.00983577606,163824.32864134153,136177.7986851545,135400.2395805997,129800.33924334828,126522.75516585787,108570.37521439728,92655.9723213412
[8.0-8.5),,,,,,,,,,317160.73098800203,271657.4494215327,223091.8594382031,198457.12003032185,171744.40271839558,148669.06460141463,139215.6553411855,128882.35187542625,121021.38183293022,108736.51327852179,96809.11111549422,92515.51829020074,83808.37341029318
[7.5-8.0),,,,,,,,,,280099.5159894831,248421.57846051088,210453.26222330966,186236.74014501527,144976.91246455416,130494.63426095858,131464.44846365947,118800.72578612396,113716.93161595995,89809.20616547554,92485.90046886176,82284.25950151548,75922.81602897609
[7.0-7.5),,,,,,,,,,257432.40580095566,217301.24628707443,187433.3649691443,170278.71220154344,136040.47331765154,123337.66065872363,122114.3429175813,106243.46221412533,97679.09208406766,82742.2905475929,75316.64371027486,71200.96784932211,65430.08043618372
[6.5-7.0),,,,,,,,,,234913.6470604239,198640.07426390526,172451.3712279184,151781.07346092636,124993.71865435637,111695.12273835832,106322.22676686973,96821.52759682445,83280.03527336771,73992.22248535487,71350.26209737736,62956.6798554156,66262.98537558595
[6.0-6.5),,,,,,,,,280073.94740661886,212472.98117802758,184912.15146528056,156811.88395380703,139464.2000668053,116636.6049221081,101125.96907947428,94442.39251329716,82728.20097674393,77042.02768078027,68453.70781432862,60803.52401213046,61210.298853684035,51182.30763832786
[5.5-6.0),,,,,,,,,254145.2173397735,206702.96100338546,163857.2312440366,142342.4949917147,124889.45325520071,104055.40287668648,90606.88950251725,85341.6826263946,75565.2500483832,68187.8657568527,61886.649071756096,58572.163255557774,50930.7694868024,47224.48693787414
[5.0-5.5),,,,,,,,257650.74196681735,223060.11699216647,175656.8873258593,153668.99563703613,131630.0631382895,110424.06511461466,91651.76547558988,82917.9609875517,74950.64619617398,66157.95372125861,61593.57436036116,53089.99296556421,50252.33802574453,46956.46650443058,40129.11280331583
[4.5-5.0),,,,,,,,221717.205128969,195552.18783664017,158327.29750587814,132100.72657079317,118731.41729981393,100645.77409904606,83143.21377285005,73123.03124620803,65486.58613056062,60924.86363099655,51924.09903109541,46289.80357857308,43436.20684419423,38757.38210985232,37175.852180196984
[4.0-4.5),,,,,,,195220.95242107817,179451.92151931173,168628.37483311963,140869.74626439184,117516.77119505448,101519.9930009367,91465.70069289714,74089.94529074975,64311.55168844852,59281.931504631546,51788.66988386041,45129.36542597894,41798.24494342081,38787.014352875114,33101.94825311422,31579.708649190074
[3.5-4.0),,,,,,161784.57985664776,157948.64259408618,143485.30800130853,136655.18158887737,120376.22893834946,103163.84548245215,87338.81926004386,75222.51910670308,65669.59298976476,55511.117332565394,51656.33044569076,44094.51793892692,38978.36842346261,35575.983650524555,32543.448755686994,29624.668011461905,24742.461617930294
[3.0-3.5),,,,,,122182.52548648311,122445.95751956532,113517.46061316317,108857.1547289191,96965.80660556105,83089.00709355797,72885.08143420701,63319.52215658438,52879.161406448045,46359.5667146893,43277.034469903636,37956.263127360464,32753.933223867,28940.511591967723,26455.60656718426,23643.03736030147,21647.35086300687
[2.5-3.0),,,,,,87601.16928049049,88835.72447472735,85858.89084654633,87547.58251788162,74927.89041172144,67388.46627793404,56021.7322000749,51282.09070561206,42547.42244435953,36925.25337007174,33580.31933640223,29952.05350170376,25117.062894303566,24027.944006068872,22153.685731874364,18789.201100333066,16829.43921817917
[2.0-2.5),,,,,62515.207957392886,60190.828393387485,61015.06844083596,58187.65504584161,59226.18518892142,58477.12451711255,49556.80323176166,43549.06517792238,37765.186705927816,31627.46002840965,29029.41144204618,24100.91431647717,22028.835389374573,19413.36868469377,17932.47545802938,16283.485133658765,14296.659851788463,12725.129960497858
[1.5-2.0),,,,36417.023628216004,37975.17805558468,37022.65127014,37189.870555275455,36673.19997305095,39845.888693449444,37061.10780178803,33016.307153513364,27619.719599846387,25849.580745653704,22111.096180212975,19725.069632304992,16824.31437076093,15806.098907220758,13604.20993700553,12215.418658247003,10591.498894717664,9311.743371698965,8227.784806758438
[1.0-1.5),,,15503.587410545542,18483.800445640787,19533.327858508303,18935.62102699834,19075.950281472196,19576.20546258277,19874.03865916536,20285.900489248816,18159.1651897202,16743.889489125897,15593.735610695156,13388.461421434413,11790.40204614013,10170.49295316407,8819.620107498891,7814.048237335494,6946.089929574817,5703.74087958768,5517.699556476808,4710.809806500045
[0.5-1.0),,3394.2109370658054,5528.682417014638,6619.983754757454,7105.7836675781355,6872.451006564937,7061.187806487176,6990.808429809404,7895.522609699277,8103.129006958279,7244.452786565728,6737.36941592258,6040.18323733004,5532.72181891258,4667.603809220205,4138.34689982698,3673.681206448915,3190.205926725535,2832.100430675001,2314.1995486450746,2031.6198568467669,1905.8632104922879
[0.0-0.5),127.00917573635357,372.84802585905624,620.575642000184,752.6399003166249,806.1750989954757,770.6747753275195,794.9491142880574,805.3972989666827,947.1505581857459,954.7800412899423,870.9000013054754,742.9397359910773,699.1015232243541,668.3912106399496,656.2508196915709,483.2428531842473,432.72900484489867,369.93509802569713,344.1032720104891,286.63895519140414,248.19327525509902,223.20929568502598
